family,reference_variant,task,dataset_group,variant,runtime_ratio_vs_default,downstream_delta_vs_default,curve_recovery_delta_vs_default,depth_delta_vs_default,features_used_delta_vs_default
mirrored,cif_default,classification,real,cif_no_adaptive,0.990406836384094,0.0,,0.0,0.0
mirrored,cif_default,classification,synthetic,cif_no_adaptive,0.9622420116841676,0.0,0.0,0.0,0.0
mirrored,cif_default,regression,real,cif_no_adaptive,0.989300132069422,0.0,,0.0,0.0
mirrored,cif_default,regression,synthetic,cif_no_adaptive,0.990160560803342,0.0,0.0,0.0,0.0
mirrored,cif_default,classification,real,cif_no_bonferroni,0.3357965676026285,0.0005786366788049,,2.857142857142856,22.362
mirrored,cif_default,classification,synthetic,cif_no_bonferroni,0.0258623688407493,-0.0024750753311988,0.0038499999999999,5.275,14.9415
mirrored,cif_default,regression,real,cif_no_bonferroni,0.1381326579576406,0.0,,2.5,1.3789999999999996
mirrored,cif_default,regression,synthetic,cif_no_bonferroni,0.0584200548742601,-0.0041971364466624,-0.0106666666666666,7.299999999999999,34.096000000000004
mirrored,cif_default,classification,real,cif_no_scan,1.3825566666096512,3.0580340470209855e-05,,1.2857142857142847,1.3359999999999983
mirrored,cif_default,classification,synthetic,cif_no_scan,0.9939445288937262,0.0013793677162617,0.0002499999999999,0.5999999999999996,0.2437499999999994
mirrored,cif_default,regression,real,cif_no_scan,5.096742940005576,0.0,,-2.0,-0.4100000000000001
mirrored,cif_default,regression,synthetic,cif_no_scan,1.0492541297657416,-0.003069313543074,-0.0078666666666666,0.2333333333333325,0.7739999999999991
mirrored,cif_default,classification,real,cif_no_threshold_scan,10.726300716207437,-0.0010043271908682,,4.6,1.5377142857142871
mirrored,cif_default,classification,synthetic,cif_no_threshold_scan,7.864820481022751,0.0025910630560426,-0.0019,2.0500000000000007,0.5197500000000002
mirrored,cif_default,regression,real,cif_no_threshold_scan,29.22410309282337,0.002892502002165,,2.5,0.4610000000000003
mirrored,cif_default,regression,synthetic,cif_no_threshold_scan,9.807799343056155,-0.0013922051028686,-0.0101999999999999,2.0666666666666664,0.7223333333333324
threshold,histogram_256,classification,real,exact_all,1.112840270829962,-0.0046588698078497,,0.0068571428571413,0.3217142857142825
threshold,histogram_256,classification,synthetic,exact_all,5.157408054787557,-0.0038424134073493,0.0075,0.0152499999999999,0.0410000000000003
threshold,histogram_256,regression,real,exact_all,21.087246854834103,0.0,,-0.1200000000000001,-0.0119999999999995
threshold,histogram_256,regression,synthetic,exact_all,5.061662977757625,-0.0027613645157615,-0.01,0.0403333333333337,0.155333333333334
threshold,histogram_256,classification,real,histogram_32,0.1573867005947063,-0.0015978104518306,,0.0731428571428569,0.2711428571428556
threshold,histogram_256,classification,synthetic,histogram_32,0.0543527248372216,0.0020572166983623,0.01,0.2035,0.3990000000000009
threshold,histogram_256,regression,real,histogram_32,0.0985998182078716,0.0,,-0.0269999999999992,-0.0819999999999998
threshold,histogram_256,regression,synthetic,histogram_32,0.0657564738126959,0.0006490992712054,0.01,0.2153333333333336,0.4133333333333331
