study,task,n,k,threshold_test,stopping,nominal_alpha,effect,step_quantile,replicates,split_rate,ci_low,ci_high,seconds_per_fit,budget_note
stageb_only,classification,100,16,bonferroni_fixed,adaptive,0.02,0.0,0.5,500,0.008,0.0001914229721414,0.0158085770278585,0.018309883204,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,16,bonferroni_fixed,adaptive,0.02,0.05,0.5,200,0.015,0.0,0.0318463111689176,0.0029864145749999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,16,bonferroni_fixed,adaptive,0.02,0.1,0.5,200,0.12,0.0749626288511418,0.1650373711488581,0.003395784585,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,16,bonferroni_fixed,adaptive,0.02,0.2,0.5,200,0.735,0.6738343380645644,0.7961656619354356,0.0020331309899999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,16,bonferroni_fixed,adaptive,0.05,0.0,0.5,500,0.008,0.0001914229721414,0.0158085770278585,0.002203064152,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,16,bonferroni_fixed,adaptive,0.05,0.05,0.5,200,0.025,0.0033621858774967,0.0466378141225032,0.002523215745,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,16,bonferroni_fixed,adaptive,0.05,0.1,0.5,200,0.15,0.1005124258020258,0.1994875741979741,0.0028088262899998,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,16,bonferroni_fixed,adaptive,0.05,0.2,0.5,200,0.805,0.7500893835401569,0.8599106164598432,0.00167468056,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,16,bonferroni_fixed,adaptive,0.1,0.0,0.5,500,0.02,0.0077284589394811,0.0322715410605188,0.001849260188,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,16,bonferroni_fixed,adaptive,0.1,0.05,0.5,200,0.04,0.01284144333732,0.06715855666268,0.00208881422,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,16,bonferroni_fixed,adaptive,0.1,0.1,0.5,200,0.24,0.1808092980274773,0.2991907019725227,0.002181711955,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,16,bonferroni_fixed,adaptive,0.1,0.2,0.5,200,0.895,0.8525138634375871,0.937486136562413,0.0013558061750001,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,16,bonferroni_fixed,adaptive,0.2,0.0,0.5,500,0.038,0.0212409111464853,0.0547590888535146,0.00161298434,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,16,bonferroni_fixed,adaptive,0.2,0.05,0.5,200,0.09,0.0503372315640978,0.1296627684359022,0.0017590937299999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,16,bonferroni_fixed,adaptive,0.2,0.1,0.5,200,0.38,0.3127288709772164,0.4472711290227836,0.001724905825,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,16,bonferroni_fixed,adaptive,0.2,0.2,0.5,200,0.92,0.8824006808572283,0.9575993191427716,0.0012359646749999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,16,bonferroni_fixed,adaptive,0.35,0.0,0.5,500,0.086,0.0614250075727376,0.1105749924272623,0.0015021425879999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,16,bonferroni_fixed,adaptive,0.35,0.05,0.5,200,0.14,0.0919100509461696,0.1880899490538303,0.001646711215,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,16,bonferroni_fixed,adaptive,0.35,0.1,0.5,200,0.475,0.4057902102300548,0.544209789769945,0.0015367486099999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,16,bonferroni_fixed,adaptive,0.35,0.2,0.5,200,0.945,0.9134035476674992,0.9765964523325008,0.00117413733,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,16,bonferroni_fixed,adaptive,0.5,0.0,0.5,500,0.116,0.0879310480993678,0.1440689519006321,0.0019911832139999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,16,bonferroni_fixed,adaptive,0.5,0.05,0.5,200,0.225,0.1671260421260131,0.2828739578739868,0.00152808984,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,16,bonferroni_fixed,adaptive,0.5,0.1,0.5,200,0.54,0.4709256400681121,0.609074359931888,0.0016285578699999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,16,bonferroni_fixed,adaptive,0.5,0.2,0.5,200,0.955,0.9262691141800328,0.9837308858199671,0.0012985212249999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.02,0.0,0.5,500,0.008,0.0001914229721414,0.0158085770278585,0.0065644873299999,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.02,0.05,0.5,200,0.015,0.0,0.0318463111689176,0.00274600581,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.02,0.1,0.5,200,0.12,0.0749626288511418,0.1650373711488581,0.0030971059099999,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.02,0.2,0.5,200,0.735,0.6738343380645644,0.7961656619354356,0.0018996159400001,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.05,0.0,0.5,500,0.008,0.0001914229721414,0.0158085770278585,0.002379633226,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.05,0.05,0.5,200,0.025,0.0033621858774967,0.0466378141225032,0.0027289690849998,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.05,0.1,0.5,200,0.15,0.1005124258020258,0.1994875741979741,0.002991627935,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.05,0.2,0.5,200,0.805,0.7500893835401569,0.8599106164598432,0.00169589727,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.1,0.0,0.5,500,0.02,0.0077284589394811,0.0322715410605188,0.0023441850499999,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.1,0.05,0.5,200,0.04,0.01284144333732,0.06715855666268,0.0027488730899999,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.1,0.1,0.5,200,0.24,0.1808092980274773,0.2991907019725227,0.0027543344,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.1,0.2,0.5,200,0.895,0.8525138634375871,0.937486136562413,0.00143588031,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.2,0.0,0.5,500,0.038,0.0212409111464853,0.0547590888535146,0.002296603004,fixed 999 per candidate
