task,n,k,threshold_test,stopping,nominal_alpha,effect,splits,replicates,n_shards,rate,ci_low,ci_high,study
classification,100,16,bonferroni,adaptive,0.02,0.0,10,1500,3,0.006666666666666667,0.00320141842259819,0.012225959357031082,stageb_only_pooled
classification,100,16,bonferroni,adaptive,0.02,0.05,15,600,3,0.025,0.014058299889782964,0.040898861299361045,stageb_only_pooled
classification,100,16,bonferroni,adaptive,0.02,0.1,71,600,3,0.11833333333333333,0.09358583418685677,0.1469082098685351,stageb_only_pooled
classification,100,16,bonferroni,adaptive,0.02,0.2,448,600,3,0.7466666666666667,0.7098709659122027,0.7810139500768732,stageb_only_pooled
classification,100,16,bonferroni,adaptive,0.05,0.0,20,1500,3,0.013333333333333334,0.008162854513771585,0.020517459360976174,stageb_only_pooled
classification,100,16,bonferroni,adaptive,0.05,0.05,22,600,3,0.03666666666666667,0.02311883142705228,0.05498936647261927,stageb_only_pooled
classification,100,16,bonferroni,adaptive,0.05,0.1,109,600,3,0.18166666666666667,0.1516113458813373,0.2148938179508368,stageb_only_pooled
classification,100,16,bonferroni,adaptive,0.05,0.2,491,600,3,0.8183333333333334,0.7851061820491632,0.8483886541186627,stageb_only_pooled
classification,100,16,bonferroni,adaptive,0.1,0.0,30,1500,3,0.02,0.013533598879597637,0.028428935227045832,stageb_only_pooled
classification,100,16,bonferroni,adaptive,0.1,0.05,34,600,3,0.056666666666666664,0.03955884856413025,0.07828885460414285,stageb_only_pooled
classification,100,16,bonferroni,adaptive,0.1,0.1,154,600,3,0.25666666666666665,0.22215343638837204,0.29359491816364136,stageb_only_pooled
classification,100,16,bonferroni,adaptive,0.1,0.2,531,600,3,0.885,0.8567241477569648,0.9094131561222372,stageb_only_pooled
classification,100,16,bonferroni,adaptive,0.2,0.0,60,1500,3,0.04,0.030660480693015465,0.05119043378561476,stageb_only_pooled
classification,100,16,bonferroni,adaptive,0.2,0.05,57,600,3,0.095,0.07274691001454957,0.12133062092934678,stageb_only_pooled
classification,100,16,bonferroni,adaptive,0.2,0.1,217,600,3,0.3616666666666667,0.32315002854754216,0.4015525091763372,stageb_only_pooled
classification,100,16,bonferroni,adaptive,0.2,0.2,550,600,3,0.9166666666666666,0.8916098542414705,0.9375175572699869,stageb_only_pooled
classification,100,16,bonferroni,adaptive,0.35,0.0,32,500,1,0.064,0.04418421094671325,0.08915062755086343,stageb_only_pooled
classification,100,16,bonferroni,adaptive,0.35,0.05,29,200,1,0.145,0.09930862255520753,0.20156149617317973,stageb_only_pooled
classification,100,16,bonferroni,adaptive,0.35,0.1,86,200,1,0.43,0.3603855918269887,0.501720847171578,stageb_only_pooled
classification,100,16,bonferroni,adaptive,0.35,0.2,190,200,1,0.95,0.9099724622986486,0.9757658345278915,stageb_only_pooled
classification,100,16,bonferroni,adaptive,0.5,0.0,41,500,1,0.082,0.05948546373558825,0.10959894311096288,stageb_only_pooled
classification,100,16,bonferroni,adaptive,0.5,0.05,35,200,1,0.175,0.12502441077371185,0.23488397063020916,stageb_only_pooled
classification,100,16,bonferroni,adaptive,0.5,0.1,85,200,1,0.425,0.3555611772587056,0.49669586816519024,stageb_only_pooled
classification,100,16,bonferroni,adaptive,0.5,0.2,192,200,1,0.96,0.922708031773984,0.9825751910055194,stageb_only_pooled
classification,100,16,bonferroni,exhaustive,0.02,0.0,11,1500,3,0.007333333333333333,0.0036662916256219864,0.013083394514575906,stageb_only_pooled
classification,100,16,bonferroni,exhaustive,0.02,0.05,15,600,3,0.025,0.014058299889782964,0.040898861299361045,stageb_only_pooled
classification,100,16,bonferroni,exhaustive,0.02,0.1,71,600,3,0.11833333333333333,0.09358583418685677,0.1469082098685351,stageb_only_pooled
classification,100,16,bonferroni,exhaustive,0.02,0.2,451,600,3,0.7516666666666667,0.7150748266460871,0.7857599631269095,stageb_only_pooled
classification,100,16,bonferroni,exhaustive,0.05,0.0,20,1500,3,0.013333333333333334,0.008162854513771585,0.020517459360976174,stageb_only_pooled
classification,100,16,bonferroni,exhaustive,0.05,0.05,21,600,3,0.035,0.021793621965507267,0.05300524321915099,stageb_only_pooled
classification,100,16,bonferroni,exhaustive,0.05,0.1,111,600,3,0.185,0.15471048970528364,0.21842739133879838,stageb_only_pooled
classification,100,16,bonferroni,exhaustive,0.05,0.2,491,600,3,0.8183333333333334,0.7851061820491632,0.8483886541186627,stageb_only_pooled
classification,100,16,bonferroni,exhaustive,0.1,0.0,30,1500,3,0.02,0.013533598879597637,0.028428935227045832,stageb_only_pooled
classification,100,16,bonferroni,exhaustive,0.1,0.05,34,600,3,0.056666666666666664,0.03955884856413025,0.07828885460414285,stageb_only_pooled
classification,100,16,bonferroni,exhaustive,0.1,0.1,155,600,3,0.25833333333333336,0.22373812984665106,0.29532686616094106,stageb_only_pooled
classification,100,16,bonferroni,exhaustive,0.1,0.2,531,600,3,0.885,0.8567241477569648,0.9094131561222372,stageb_only_pooled
classification,100,16,bonferroni,exhaustive,0.2,0.0,59,1500,3,0.03933333333333333,0.030074710968819165,0.05044616448541727,stageb_only_pooled
classification,100,16,bonferroni,exhaustive,0.2,0.05,57,600,3,0.095,0.07274691001454957,0.12133062092934678,stageb_only_pooled
classification,100,16,bonferroni,exhaustive,0.2,0.1,217,600,3,0.3616666666666667,0.32315002854754216,0.4015525091763372,stageb_only_pooled
classification,100,16,bonferroni,exhaustive,0.2,0.2,550,600,3,0.9166666666666666,0.8916098542414705,0.9375175572699869,stageb_only_pooled
classification,100,16,bonferroni,exhaustive,0.35,0.0,32,500,1,0.064,0.04418421094671325,0.08915062755086343,stageb_only_pooled
classification,100,16,bonferroni,exhaustive,0.35,0.05,29,200,1,0.145,0.09930862255520753,0.20156149617317973,stageb_only_pooled
classification,100,16,bonferroni,exhaustive,0.35,0.1,86,200,1,0.43,0.3603855918269887,0.501720847171578,stageb_only_pooled
