task,n,k,threshold_test,stopping,effect,match_size,power_at_match,max_realized_size,note
classification,100,16,bonferroni,adaptive,0.05,0.05,0.11583333333333333,0.082,
classification,100,16,bonferroni,adaptive,0.1,0.05,0.3901388888888889,0.082,
classification,100,16,bonferroni,adaptive,0.2,0.05,0.9305555555555555,0.082,
classification,100,16,maxt,adaptive,0.05,0.05,0.1012280701754386,0.292,
classification,100,16,maxt,adaptive,0.1,0.05,0.37938596491228066,0.292,
classification,100,16,maxt,adaptive,0.2,0.05,0.9156140350877192,0.292,
classification,100,16,bonferroni,exhaustive,0.05,0.05,0.11662162162162162,0.082,
classification,100,16,bonferroni,exhaustive,0.1,0.05,0.3912162162162162,0.082,
classification,100,16,bonferroni,exhaustive,0.2,0.05,0.931081081081081,0.082,
classification,100,16,maxt,exhaustive,0.05,0.05,0.10381818181818182,0.274,
classification,100,16,maxt,exhaustive,0.1,0.05,0.3784848484848485,0.274,
classification,100,16,maxt,exhaustive,0.2,0.05,0.9283939393939394,0.274,
classification,100,64,bonferroni,adaptive,0.05,0.044,0.13,0.044,at largest realized size
classification,100,64,bonferroni,adaptive,0.1,0.044,0.385,0.044,at largest realized size
classification,100,64,bonferroni,adaptive,0.2,0.044,0.945,0.044,at largest realized size
classification,100,64,maxt,adaptive,0.05,0.044,0.095,0.302,matched at largest common realized size
classification,100,64,maxt,adaptive,0.1,0.044,0.3542708333333333,0.302,matched at largest common realized size
classification,100,64,maxt,adaptive,0.2,0.044,0.9040625,0.302,matched at largest common realized size
classification,100,64,bonferroni,exhaustive,0.05,0.044,0.135,0.044,at largest realized size
classification,100,64,bonferroni,exhaustive,0.1,0.044,0.385,0.044,at largest realized size
classification,100,64,bonferroni,exhaustive,0.2,0.044,0.945,0.044,at largest realized size
classification,100,64,maxt,exhaustive,0.05,0.044,0.10240437158469945,0.278,matched at largest common realized size
classification,100,64,maxt,exhaustive,0.1,0.044,0.36352459016393446,0.278,matched at largest common realized size
classification,100,64,maxt,exhaustive,0.2,0.044,0.9280601092896176,0.278,matched at largest common realized size
classification,100,256,bonferroni,adaptive,0.05,0.034,0.11,0.034,at largest realized size
classification,100,256,bonferroni,adaptive,0.1,0.034,0.335,0.034,at largest realized size
classification,100,256,bonferroni,adaptive,0.2,0.034,0.91,0.034,at largest realized size
classification,100,256,maxt,adaptive,0.05,0.034,0.07806666666666667,0.294,matched at largest common realized size
classification,100,256,maxt,adaptive,0.1,0.034,0.31833333333333336,0.294,matched at largest common realized size
classification,100,256,maxt,adaptive,0.2,0.034,0.895,0.294,matched at largest common realized size
classification,100,256,bonferroni,exhaustive,0.05,0.034,0.115,0.034,at largest realized size
classification,100,256,bonferroni,exhaustive,0.1,0.034,0.34,0.034,at largest realized size
classification,100,256,bonferroni,exhaustive,0.2,0.034,0.91,0.034,at largest realized size
classification,100,256,maxt,exhaustive,0.05,0.034,0.07666666666666667,0.28,matched at largest common realized size
classification,100,256,maxt,exhaustive,0.1,0.034,0.31833333333333336,0.28,matched at largest common realized size
classification,100,256,maxt,exhaustive,0.2,0.034,0.9038888888888889,0.28,matched at largest common realized size
classification,200,16,bonferroni,adaptive,0.05,0.05,0.19642857142857142,0.103,
classification,200,16,bonferroni,adaptive,0.1,0.05,0.6428571428571428,0.103,
classification,200,16,bonferroni,adaptive,0.2,0.05,1.0,0.103,
classification,200,16,maxt,adaptive,0.05,0.05,0.18404761904761907,0.298,
classification,200,16,maxt,adaptive,0.1,0.05,0.6183333333333333,0.298,
classification,200,16,maxt,adaptive,0.2,0.05,1.0,0.298,
classification,200,16,bonferroni,exhaustive,0.05,0.05,0.19833333333333333,0.103,
classification,200,16,bonferroni,exhaustive,0.1,0.05,0.643095238095238,0.103,
classification,200,16,bonferroni,exhaustive,0.2,0.05,1.0,0.103,
classification,200,16,maxt,exhaustive,0.05,0.05,0.19575757575757577,0.291,
classification,200,16,maxt,exhaustive,0.1,0.05,0.6344848484848485,0.291,
classification,200,16,maxt,exhaustive,0.2,0.05,1.0,0.291,
classification,200,64,bonferroni,adaptive,0.05,0.05,0.181875,0.059,
classification,200,64,bonferroni,adaptive,0.1,0.05,0.63,0.059,
classification,200,64,bonferroni,adaptive,0.2,0.05,1.0,0.059,
classification,200,64,maxt,adaptive,0.05,0.05,0.1946236559139785,0.31,
classification,200,64,maxt,adaptive,0.1,0.05,0.6147311827956989,0.31,
classification,200,64,maxt,adaptive,0.2,0.05,1.0,0.31,
classification,200,64,bonferroni,exhaustive,0.05,0.05,0.18477272727272728,0.058,
classification,200,64,bonferroni,exhaustive,0.1,0.05,0.6327272727272728,0.058,
classification,200,64,bonferroni,exhaustive,0.2,0.05,1.0,0.058,
classification,200,64,maxt,exhaustive,0.05,0.05,0.20462264150943396,0.299,
classification,200,64,maxt,exhaustive,0.1,0.05,0.6265723270440252,0.299,
classification,200,64,maxt,exhaustive,0.2,0.05,1.0,0.299,
classification,200,256,bonferroni,adaptive,0.05,0.031,0.1275,0.031,at largest realized size
classification,200,256,bonferroni,adaptive,0.1,0.031,0.5625,0.031,at largest realized size
