task,n,k,threshold_test,stopping,effect,match_size,power_at_match,max_realized_size,note,design,power_se,delta_se_bootstrap
classification,100,16,bonferroni,adaptive,0.05,0.05,0.12911764705882353,0.102,,centred_highrep,0.010493998284733994,0.01555825324642292
classification,100,16,bonferroni,adaptive,0.1,0.05,0.3391176470588235,0.102,,centred_highrep,0.014914556647785411,0.02370702238180663
classification,100,16,bonferroni,adaptive,0.2,0.05,0.9351176470588236,0.102,,centred_highrep,0.007851369307324675,0.012053618956450286
classification,100,16,maxt,adaptive,0.05,0.05,0.11810169491525424,0.308,,centred_highrep,0.009653186002558949,0.01555825324642292
classification,100,16,maxt,adaptive,0.1,0.05,0.32757627118644067,0.308,,centred_highrep,0.014505137021069467,0.02370702238180663
classification,100,16,maxt,adaptive,0.2,0.05,0.9098305084745762,0.308,,centred_highrep,0.009653186002558947,0.012053618956450286
classification,100,16,bonferroni,exhaustive,0.05,0.05,0.12811538461538463,0.102,,centred_highrep,0.010458250331675944,0.017097355719053464
classification,100,16,bonferroni,exhaustive,0.1,0.05,0.34090384615384617,0.102,,centred_highrep,0.014936666294725875,0.02547586510246772
classification,100,16,bonferroni,exhaustive,0.2,0.05,0.9341538461538462,0.102,,centred_highrep,0.007906389820898028,0.01263349718622452
classification,100,16,maxt,exhaustive,0.05,0.05,0.11670491803278689,0.30266666666666664,,centred_highrep,0.009815090422405696,0.017097355719053464
classification,100,16,maxt,exhaustive,0.1,0.05,0.33324590163934426,0.30266666666666664,,centred_highrep,0.0147634345597493,0.02547586510246772
classification,100,16,maxt,exhaustive,0.2,0.05,0.9219016393442623,0.30266666666666664,,centred_highrep,0.008771772910877251,0.01263349718622452
classification,100,64,bonferroni,adaptive,0.05,0.048666666666666664,0.117,0.048666666666666664,at largest realized size,centred_highrep,0.010164201887015036,0.017954111838315058
classification,100,64,bonferroni,adaptive,0.1,0.048666666666666664,0.339,0.048666666666666664,at largest realized size,centred_highrep,0.014969268519202935,0.030024903509880674
classification,100,64,bonferroni,adaptive,0.2,0.048666666666666664,0.94,0.048666666666666664,at largest realized size,centred_highrep,0.007509993342207438,0.012594339604703787
classification,100,64,maxt,adaptive,0.05,0.048666666666666664,0.1126470588235294,0.31866666666666665,matched at largest common realized size,centred_highrep,0.00927227048785787,0.017954111838315058
classification,100,64,maxt,adaptive,0.1,0.048666666666666664,0.32999999999999996,0.31866666666666665,matched at largest common realized size,centred_highrep,0.014518815378673288,0.030024903509880674
classification,100,64,maxt,adaptive,0.2,0.048666666666666664,0.9206470588235294,0.31866666666666665,matched at largest common realized size,centred_highrep,0.009004387819280108,0.012594339604703787
classification,100,64,bonferroni,exhaustive,0.05,0.048666666666666664,0.119,0.048666666666666664,at largest realized size,centred_highrep,0.010239091756596383,0.016299960567792888
classification,100,64,bonferroni,exhaustive,0.1,0.048666666666666664,0.34,0.048666666666666664,at largest realized size,centred_highrep,0.014979986648859203,0.02705507023564856
classification,100,64,bonferroni,exhaustive,0.2,0.048666666666666664,0.94,0.048666666666666664,at largest realized size,centred_highrep,0.007509993342207438,0.014458904462231468
classification,100,64,maxt,exhaustive,0.05,0.048666666666666664,0.11890566037735849,0.31,matched at largest common realized size,centred_highrep,0.009894442884771228,0.016299960567792888
classification,100,64,maxt,exhaustive,0.1,0.048666666666666664,0.3393962264150943,0.31,matched at largest common realized size,centred_highrep,0.014799459449588015,0.02705507023564856
classification,100,64,maxt,exhaustive,0.2,0.048666666666666664,0.9342264150943397,0.31,matched at largest common realized size,centred_highrep,0.008068457101577721,0.014458904462231468
classification,100,256,bonferroni,adaptive,0.05,0.03866666666666667,0.107,0.03866666666666667,at largest realized size,centred_highrep,0.009775019181566858,0.019503511379879476
classification,100,256,bonferroni,adaptive,0.1,0.03866666666666667,0.313,0.03866666666666667,at largest realized size,centred_highrep,0.014663935351739656,0.030542975084104064
classification,100,256,bonferroni,adaptive,0.2,0.03866666666666667,0.93,0.03866666666666667,at largest realized size,centred_highrep,0.008068457101577721,0.016389969829733925
classification,100,256,maxt,adaptive,0.05,0.03866666666666667,0.10047058823529413,0.31333333333333335,matched at largest common realized size,centred_highrep,0.009444522221901964,0.019503511379879476
classification,100,256,maxt,adaptive,0.1,0.03866666666666667,0.30319607843137253,0.31333333333333335,matched at largest common realized size,centred_highrep,0.014505137021069467,0.030542975084104064
classification,100,256,maxt,adaptive,0.2,0.03866666666666667,0.9236470588235295,0.31333333333333335,matched at largest common realized size,centred_highrep,0.008430361795320529,0.016389969829733925
classification,100,256,bonferroni,exhaustive,0.05,0.03933333333333333,0.108,0.03933333333333333,at largest realized size,centred_highrep,0.009815090422405696,0.01841346610548415
classification,100,256,bonferroni,exhaustive,0.1,0.03933333333333333,0.314,0.03933333333333333,at largest realized size,centred_highrep,0.01467664811869522,0.02749601185970107
classification,100,256,bonferroni,exhaustive,0.2,0.03933333333333333,0.931,0.03933333333333333,at largest realized size,centred_highrep,0.008014923580421711,0.01589355044113435
classification,100,256,maxt,exhaustive,0.05,0.03933333333333333,0.1025,0.31133333333333335,matched at largest common realized size,centred_highrep,0.009894442884771228,0.01841346610548415
classification,100,256,maxt,exhaustive,0.1,0.03933333333333333,0.3111842105263158,0.31133333333333335,matched at largest common realized size,centred_highrep,0.014811313243598625,0.02749601185970107
classification,100,256,maxt,exhaustive,0.2,0.03933333333333333,0.9291842105263157,0.31133333333333335,matched at largest common realized size,centred_highrep,0.00762600813007697,0.01589355044113435
classification,200,16,bonferroni,adaptive,0.05,0.05,0.16827027027027028,0.11,,centred_highrep,0.012096115078817662,0.018647701146925315
classification,200,16,bonferroni,adaptive,0.1,0.05,0.6092432432432433,0.11,,centred_highrep,0.015267612779999367,0.029867777748180176
classification,200,16,bonferroni,adaptive,0.2,0.05,0.9996756756756757,0.11,,centred_highrep,0.0,0.0010331767285773838
classification,200,16,maxt,adaptive,0.05,0.05,0.15520689655172415,0.30733333333333335,,centred_highrep,0.010599952830083727,0.018647701146925315
classification,200,16,maxt,adaptive,0.1,0.05,0.5727931034482759,0.30733333333333335,,centred_highrep,0.01578477114183161,0.029867777748180176
classification,200,16,maxt,adaptive,0.2,0.05,0.9986896551724138,0.30733333333333335,,centred_highrep,0.0014127986409959495,0.0010331767285773838
classification,200,16,bonferroni,exhaustive,0.05,0.05,0.1664102564102564,0.11,,centred_highrep,0.012069424178476784,0.018097992064034726
classification,200,16,bonferroni,exhaustive,0.1,0.05,0.6082051282051282,0.11,,centred_highrep,0.015259062880793171,0.02771570148016465
classification,200,16,bonferroni,exhaustive,0.2,0.05,0.9996410256410256,0.11,,centred_highrep,0.0,0.0008727775688465384
classification,200,16,maxt,exhaustive,0.05,0.05,0.16478,0.30666666666666664,,centred_highrep,0.011037934589405754,0.018097992064034726
classification,200,16,maxt,exhaustive,0.1,0.05,0.5967600000000001,0.30666666666666664,,centred_highrep,0.01570464899321217,0.02771570148016465
classification,200,16,maxt,exhaustive,0.2,0.05,0.99934,0.30666666666666664,,centred_highrep,0.0009994998749374613,0.0008727775688465384
classification,200,64,bonferroni,adaptive,0.05,0.05,0.17646153846153848,0.062,,centred_highrep,0.011766222843376714,0.01734057704756832
classification,200,64,bonferroni,adaptive,0.1,0.05,0.6191538461538462,0.062,,centred_highrep,0.015431104950715617,0.025717393071489937
classification,200,64,bonferroni,adaptive,0.2,0.05,1.0,0.062,,centred_highrep,0.0,0.0011269690829903436
classification,200,64,maxt,adaptive,0.05,0.05,0.15989830508474578,0.31133333333333335,,centred_highrep,0.01090669519148674,0.01734057704756832
classification,200,64,maxt,adaptive,0.1,0.05,0.5817457627118644,0.31133333333333335,,centred_highrep,0.015744332313566048,0.025717393071489937
classification,200,64,maxt,adaptive,0.2,0.05,0.9986440677966102,0.31133333333333335,,centred_highrep,0.0014127986409959495,0.0011269690829903436
classification,200,64,bonferroni,exhaustive,0.05,0.05,0.17724,0.06133333333333333,,centred_highrep,0.01179453263168999,0.01804987397584943
classification,200,64,bonferroni,exhaustive,0.1,0.05,0.61896,0.06133333333333333,,centred_highrep,0.01542400726140908,0.02448670445076902
classification,200,64,bonferroni,exhaustive,0.2,0.05,1.0,0.06133333333333333,,centred_highrep,0.0,2.1395843095016636e-05
classification,200,64,maxt,exhaustive,0.05,0.05,0.17590909090909093,0.30933333333333335,,centred_highrep,0.01150439046625244,0.01804987397584943
classification,200,64,maxt,exhaustive,0.1,0.05,0.6093454545454545,0.30933333333333335,,centred_highrep,0.015597307459943206,0.02448670445076902
classification,200,64,maxt,exhaustive,0.2,0.05,1.0,0.30933333333333335,,centred_highrep,0.0,2.1395843095016636e-05
classification,200,256,bonferroni,adaptive,0.05,0.028,0.131,0.028,at largest realized size,centred_highrep,0.010669536072388528,0.022211254391260718
classification,200,256,bonferroni,adaptive,0.1,0.028,0.523,0.028,at largest realized size,centred_highrep,0.01579465099329517,0.03883916091496523
classification,200,256,bonferroni,adaptive,0.2,0.028,0.999,0.028,at largest realized size,centred_highrep,0.0009994998749374613,0.0019291270539408148
classification,200,256,maxt,adaptive,0.05,0.028,0.1135,0.314,matched at largest common realized size,centred_highrep,0.008676174272108648,0.022211254391260718
classification,200,256,maxt,adaptive,0.1,0.028,0.483,0.314,matched at largest common realized size,centred_highrep,0.015607690412101338,0.03883916091496523
classification,200,256,maxt,adaptive,0.2,0.028,0.997,0.314,matched at largest common realized size,centred_highrep,0.002230470802319547,0.0019291270539408148
classification,200,256,bonferroni,exhaustive,0.05,0.028,0.133,0.028,at largest realized size,centred_highrep,0.010738295954200556,0.022044175979399963
classification,200,256,bonferroni,exhaustive,0.1,0.028,0.522,0.028,at largest realized size,centred_highrep,0.015796075461962062,0.0414941968799926
classification,200,256,bonferroni,exhaustive,0.2,0.028,0.999,0.028,at largest realized size,centred_highrep,0.0009994998749374613,0.0013231263042587666
classification,200,256,maxt,exhaustive,0.05,0.028,0.119,0.31,matched at largest common realized size,centred_highrep,0.009184280047995052,0.022044175979399963
classification,200,256,maxt,exhaustive,0.1,0.028,0.5036,0.31,matched at largest common realized size,centred_highrep,0.015732132722552274,0.0414941968799926
classification,200,256,maxt,exhaustive,0.2,0.028,0.9988,0.31,matched at largest common realized size,centred_highrep,0.0014127986409959495,0.0013231263042587666
classification,500,16,bonferroni,adaptive,0.05,0.05,0.34844444444444445,0.136,,centred_highrep,0.014936666294725875,0.030938400727078468
classification,500,16,bonferroni,adaptive,0.1,0.05,0.9428888888888889,0.136,,centred_highrep,0.007509993342207438,0.011284297410082116
classification,500,16,bonferroni,adaptive,0.2,0.05,1.0,0.136,,centred_highrep,0.0,0.0
classification,500,16,maxt,adaptive,0.05,0.05,0.34148387096774196,0.3273333333333333,,centred_highrep,0.01482309009619789,0.030938400727078468
classification,500,16,maxt,adaptive,0.1,0.05,0.9392258064516129,0.3273333333333333,,centred_highrep,0.007739767438366605,0.011284297410082116
classification,500,16,maxt,adaptive,0.2,0.05,1.0,0.3273333333333333,,centred_highrep,0.0,0.0
classification,500,16,bonferroni,exhaustive,0.05,0.05,0.35022222222222227,0.136,,centred_highrep,0.014958475858188226,0.029986598658987822
classification,500,16,bonferroni,exhaustive,0.1,0.05,0.9437777777777777,0.136,,centred_highrep,0.007451107300260817,0.011633803178821333
classification,500,16,bonferroni,exhaustive,0.2,0.05,1.0,0.136,,centred_highrep,0.0,0.0
classification,500,16,maxt,exhaustive,0.05,0.05,0.34576315789473683,0.30666666666666664,,centred_highrep,0.015131919904625453,0.029986598658987822
classification,500,16,maxt,exhaustive,0.1,0.05,0.944078947368421,0.30666666666666664,,centred_highrep,0.007084560677981384,0.011633803178821333
classification,500,16,maxt,exhaustive,0.2,0.05,1.0,0.30666666666666664,,centred_highrep,0.0,0.0
classification,500,64,bonferroni,adaptive,0.05,0.05,0.33875,0.09466666666666666,,centred_highrep,0.015022117027902558,0.030367101680159984
classification,500,64,bonferroni,adaptive,0.1,0.05,0.9535,0.09466666666666666,,centred_highrep,0.00655553201502365,0.009903791998459133
classification,500,64,bonferroni,adaptive,0.2,0.05,1.0,0.09466666666666666,,centred_highrep,0.0,0.0
classification,500,64,maxt,adaptive,0.05,0.05,0.34287500000000004,0.33266666666666667,,centred_highrep,0.01482309009619789,0.030367101680159984
classification,500,64,maxt,adaptive,0.1,0.05,0.9492499999999999,0.33266666666666667,,centred_highrep,0.007084560677981384,0.009903791998459133
classification,500,64,maxt,adaptive,0.2,0.05,1.0,0.33266666666666667,,centred_highrep,0.0,0.0
classification,500,64,bonferroni,exhaustive,0.05,0.05,0.3378529411764706,0.094,,centred_highrep,0.015032464867745409,0.02946303274421045
classification,500,64,bonferroni,exhaustive,0.1,0.05,0.9518823529411764,0.094,,centred_highrep,0.006624499981130654,0.009862826400320346
classification,500,64,bonferroni,exhaustive,0.2,0.05,1.0,0.094,,centred_highrep,0.0,0.0
classification,500,64,maxt,exhaustive,0.05,0.05,0.3404871794871795,0.31933333333333336,,centred_highrep,0.015141466243399283,0.02946303274421045
classification,500,64,maxt,exhaustive,0.1,0.05,0.9521538461538461,0.31933333333333336,,centred_highrep,0.006485676526007139,0.009862826400320346
classification,500,64,maxt,exhaustive,0.2,0.05,1.0,0.31933333333333336,,centred_highrep,0.0,0.0
classification,500,256,bonferroni,adaptive,0.05,0.04666666666666667,0.344,0.04666666666666667,at largest realized size,centred_highrep,0.015022117027902558,
classification,500,256,bonferroni,adaptive,0.1,0.04666666666666667,0.949,0.04666666666666667,at largest realized size,centred_highrep,0.006956938982052382,
classification,500,256,bonferroni,adaptive,0.2,0.04666666666666667,1.0,0.04666666666666667,at largest realized size,centred_highrep,0.0,
regression,100,16,bonferroni,adaptive,0.2,0.05,0.11671428571428573,0.14466666666666667,,centred_highrep,0.009444522221901964,0.014516806111032912
regression,100,16,bonferroni,adaptive,0.4,0.05,0.30842857142857144,0.14466666666666667,,centred_highrep,0.014087973594523805,0.025348272111434693
regression,100,16,bonferroni,adaptive,0.8,0.05,0.8705714285714286,0.14466666666666667,,centred_highrep,0.011037934589405756,0.014090336136395328
regression,100,16,maxt,adaptive,0.2,0.05,0.10845,0.304,,centred_highrep,0.010806248192596726,0.014516806111032912
regression,100,16,maxt,adaptive,0.4,0.05,0.3029,0.304,,centred_highrep,0.015141466243399283,0.025348272111434693
regression,100,16,maxt,adaptive,0.8,0.05,0.86175,0.304,,centred_highrep,0.009854897259738428,0.014090336136395328
regression,100,16,bonferroni,exhaustive,0.2,0.05,0.11842857142857144,0.14466666666666667,,centred_highrep,0.009528850927577786,0.013714424578823284
regression,100,16,bonferroni,exhaustive,0.4,0.05,0.3117142857142857,0.14466666666666667,,centred_highrep,0.014135911714495106,0.026219653065712927
regression,100,16,bonferroni,exhaustive,0.8,0.05,0.8757142857142857,0.14466666666666667,,centred_highrep,0.010839926199010766,0.014914456597723861
regression,100,16,maxt,exhaustive,0.2,0.05,0.11152000000000001,0.2986666666666667,,centred_highrep,0.010839926199010766,0.013714424578823284
regression,100,16,maxt,exhaustive,0.4,0.05,0.30676000000000003,0.2986666666666667,,centred_highrep,0.01518812035770062,0.026219653065712927
regression,100,16,maxt,exhaustive,0.8,0.05,0.87512,0.2986666666666667,,centred_highrep,0.009401914698613255,0.014914456597723861
regression,100,64,bonferroni,adaptive,0.2,0.05,0.11951851851851852,0.08133333333333333,,centred_highrep,0.010599952830083727,0.016270762085793034
regression,100,64,bonferroni,adaptive,0.4,0.05,0.32325925925925925,0.08133333333333333,,centred_highrep,0.015022117027902558,0.028877040158174327
regression,100,64,bonferroni,adaptive,0.8,0.05,0.8965185185185185,0.08133333333333333,,centred_highrep,0.009228434320078352,0.0155903512563087
regression,100,64,maxt,adaptive,0.2,0.05,0.11367391304347828,0.30266666666666664,,centred_highrep,0.010772372069326236,0.016270762085793034
