study,task,n,k,threshold_test,stopping,repeats,censored,timeout_seconds,seconds_per_fit,seconds_min,seconds_max,depth
synthetic_scaling,classification,1000,16,bonferroni,adaptive,3,False,1200.0,0.041775887,0.0415123870000115,0.0422063669999914,5.0
synthetic_scaling,classification,1000,16,bonferroni,exhaustive,3,False,1200.0,0.0532801989999995,0.0522506830000111,0.0540284999999869,5.0
synthetic_scaling,classification,1000,16,bonferroni_fixed,adaptive,3,False,1200.0,0.037046604999972,0.0365393939999876,0.0382871780000186,5.0
synthetic_scaling,classification,1000,16,bonferroni_fixed,exhaustive,3,False,1200.0,0.0456408560000056,0.0455193740000083,0.0474418520000199,5.0
synthetic_scaling,classification,1000,16,maxt,adaptive,3,False,1200.0,0.0412895249999962,0.0403882020000025,0.0415965839999898,6.0
synthetic_scaling,classification,1000,16,maxt,exhaustive,3,False,1200.0,0.0600558429999864,0.0599695420000045,0.0626212149999787,5.0
synthetic_scaling,classification,1000,64,bonferroni,adaptive,3,False,1200.0,0.1167720429999974,0.1163676859999895,0.1218572570000162,4.0
synthetic_scaling,classification,1000,64,bonferroni,exhaustive,3,False,1200.0,0.4727936170000077,0.4584261119999837,0.4749507439999831,4.0
synthetic_scaling,classification,1000,64,bonferroni_fixed,adaptive,3,False,1200.0,0.0841433850000044,0.0832321010000214,0.0851537899999925,4.0
synthetic_scaling,classification,1000,64,bonferroni_fixed,exhaustive,3,False,1200.0,0.0625909729999989,0.0625414410000075,0.0631885479999994,0.0
synthetic_scaling,classification,1000,64,maxt,adaptive,3,False,1200.0,0.0405680590000088,0.0404721670000185,0.0412100860000066,4.0
synthetic_scaling,classification,1000,64,maxt,exhaustive,3,False,1200.0,0.1105892520000111,0.1100771090000023,0.1116170669999974,5.0
synthetic_scaling,classification,1000,256,bonferroni,adaptive,3,False,1200.0,0.1399699989999874,0.1388320620000058,0.1417886579999958,5.0
synthetic_scaling,classification,1000,256,bonferroni,exhaustive,3,False,1200.0,0.3878733759999875,0.3604948359999866,0.3978377180000052,5.0
synthetic_scaling,classification,1000,256,bonferroni_fixed,adaptive,3,False,1200.0,0.0805506009999987,0.0790093230000081,0.081158006999999,5.0
synthetic_scaling,classification,1000,256,bonferroni_fixed,exhaustive,3,False,1200.0,0.2357996540000044,0.235265021999993,0.2385780760000102,0.0
synthetic_scaling,classification,1000,256,maxt,adaptive,3,False,1200.0,0.0859563209999976,0.0852231400000107,0.088796402000014,5.666666666666667
synthetic_scaling,classification,1000,256,maxt,exhaustive,3,False,1200.0,0.3082908979999956,0.2938587600000062,0.3177563399999883,5.0
synthetic_scaling,classification,4000,16,bonferroni,adaptive,3,False,1200.0,0.1224546939999982,0.1212553830000047,0.1275685749999979,8.0
synthetic_scaling,classification,4000,16,bonferroni,exhaustive,3,False,1200.0,0.2003775290000078,0.1938124790000017,0.2038191549999908,8.0
synthetic_scaling,classification,4000,16,bonferroni_fixed,adaptive,3,False,1200.0,0.1130578970000044,0.1119458789999896,0.1144857939999894,8.0
synthetic_scaling,classification,4000,16,bonferroni_fixed,exhaustive,3,False,1200.0,0.1401968700000111,0.1396723669999744,0.1445111310000015,8.0
synthetic_scaling,classification,4000,16,maxt,adaptive,3,False,1200.0,0.1007147020000047,0.0995828529999585,0.1037582000000156,8.0
synthetic_scaling,classification,4000,16,maxt,exhaustive,3,False,1200.0,0.2407042570000044,0.2401260519999937,0.242067770999995,7.0
