task,dataset,method,support_size,informative_in_support,n_informative,n_features,fits
classification,synthetic_bias_noise50_levels500,cif,71.04,9.96,10,100,25
classification,synthetic_bias_noise50_levels500,cit,7.8,7.4,10,100,25
classification,synthetic_bias_noise50_levels500,rf,100.0,10.0,10,100,25
classification,synthetic_corr_noise_p100_k10_n1000_noise20_r0.9,cif,101.96,10.0,10,120,25
classification,synthetic_corr_noise_p100_k10_n1000_noise20_r0.9,cit,10.2,5.08,10,120,25
classification,synthetic_corr_noise_p100_k10_n1000_noise20_r0.9,rf,120.0,10.0,10,120,25
classification,synthetic_nonlinear_p100_n1000,cif,51.32,4.8,5,100,25
classification,synthetic_nonlinear_p100_n1000,cit,4.64,3.96,5,100,25
classification,synthetic_nonlinear_p100_n1000,rf,100.0,5.0,5,100,25
classification,synthetic_p1000_k5_n200_sep0.5,cif,90.68,2.12,5,1000,25
classification,synthetic_p1000_k5_n200_sep0.5,cit,1.12,1.12,5,1000,25
classification,synthetic_p1000_k5_n200_sep0.5,rf,800.32,4.56,5,1000,25
classification,synthetic_p100_k10_n1000_sep2.0,cif,58.24,10.0,10,100,25
classification,synthetic_p100_k10_n1000_sep2.0,cit,5.2,5.2,10,100,25
classification,synthetic_p100_k10_n1000_sep2.0,rf,100.0,10.0,10,100,25
classification,synthetic_redundant20,cif,49.48,10.0,10,50,25
classification,synthetic_redundant20,cit,7.0,2.36,10,50,25
classification,synthetic_redundant20,rf,50.0,10.0,10,50,25
classification,synthetic_toeplitz_p100_k10_n1000_r0.95,cif,73.08,10.0,10,100,25
classification,synthetic_toeplitz_p100_k10_n1000_r0.95,cit,2.32,2.28,10,100,25
classification,synthetic_toeplitz_p100_k10_n1000_r0.95,rf,100.0,10.0,10,100,25
classification,synthetic_weak_p100_k10_n1000_sep0.1_flip0.1,cif,34.6,4.12,10,100,25
classification,synthetic_weak_p100_k10_n1000_sep0.1_flip0.1,cit,0.0,0.0,10,100,25
classification,synthetic_weak_p100_k10_n1000_sep0.1_flip0.1,rf,100.0,10.0,10,100,25
regression,synthetic_corr_noise_p100_k10_n1000_noise20_r0.9,cif,80.52,9.56,10,120,25
regression,synthetic_corr_noise_p100_k10_n1000_noise20_r0.9,cit,8.92,5.44,10,120,25
regression,synthetic_corr_noise_p100_k10_n1000_noise20_r0.9,rf,120.0,10.0,10,120,25
regression,synthetic_friedman1_p100_n1000_noise1.0,cif,26.32,4.64,5,100,25
regression,synthetic_friedman1_p100_n1000_noise1.0,cit,4.48,4.04,5,100,25
regression,synthetic_friedman1_p100_n1000_noise1.0,rf,100.0,5.0,5,100,25
regression,synthetic_heteroscedastic_scale4.0_noise5.0,cif,14.2,4.68,10,50,25
regression,synthetic_heteroscedastic_scale4.0_noise5.0,cit,0.0,0.0,10,50,25
regression,synthetic_heteroscedastic_scale4.0_noise5.0,rf,50.0,10.0,10,50,25
regression,synthetic_p100_k10_n1000_noise1.0,cif,40.56,9.04,10,100,25
regression,synthetic_p100_k10_n1000_noise1.0,cit,6.48,6.0,10,100,25
regression,synthetic_p100_k10_n1000_noise1.0,rf,100.0,10.0,10,100,25
regression,synthetic_p500_k5_n200_noise10.0,cif,33.12,4.56,5,500,25
regression,synthetic_p500_k5_n200_noise10.0,cit,2.44,2.24,5,500,25
regression,synthetic_p500_k5_n200_noise10.0,rf,500.0,5.0,5,500,25
regression,synthetic_redundant20,cif,48.0,9.96,10,50,25
regression,synthetic_redundant20,cit,7.72,2.64,10,50,25
regression,synthetic_redundant20,rf,50.0,10.0,10,50,25
regression,synthetic_toeplitz_p100_k10_n1000_r0.95,cif,61.6,10.0,10,100,25
regression,synthetic_toeplitz_p100_k10_n1000_r0.95,cit,2.48,2.2,10,100,25
regression,synthetic_toeplitz_p100_k10_n1000_r0.95,rf,100.0,10.0,10,100,25
regression,synthetic_weak_p100_k10_n1000_noise50.0,cif,40.6,9.28,10,100,25
regression,synthetic_weak_p100_k10_n1000_noise50.0,cit,6.12,5.76,10,100,25
regression,synthetic_weak_p100_k10_n1000_noise50.0,rf,100.0,10.0,10,100,25
