task,signal,method,informative_share_at_5_mean,informative_share_at_5_std,informative_share_at_5_count,noise_highcard_share_at_5_mean,noise_highcard_share_at_5_std,noise_highcard_share_at_5_count,noise_binary_share_at_5_mean,noise_binary_share_at_5_std,noise_binary_share_at_5_count,noise_gaussian_share_at_5_mean,noise_gaussian_share_at_5_std,noise_gaussian_share_at_5_count,informative_share_at_10_mean,informative_share_at_10_std,informative_share_at_10_count,noise_highcard_share_at_10_mean,noise_highcard_share_at_10_std,noise_highcard_share_at_10_count,noise_binary_share_at_10_mean,noise_binary_share_at_10_std,noise_binary_share_at_10_count,noise_gaussian_share_at_10_mean,noise_gaussian_share_at_10_std,noise_gaussian_share_at_10_count,informative_share_at_25_mean,informative_share_at_25_std,informative_share_at_25_count,noise_highcard_share_at_25_mean,noise_highcard_share_at_25_std,noise_highcard_share_at_25_count,noise_binary_share_at_25_mean,noise_binary_share_at_25_std,noise_binary_share_at_25_count,noise_gaussian_share_at_25_mean,noise_gaussian_share_at_25_std,noise_gaussian_share_at_25_count,support_size_mean,support_size_std,support_size_count,informative_share_at_5_se,noise_highcard_share_at_5_se,noise_binary_share_at_5_se,noise_gaussian_share_at_5_se,informative_share_at_10_se,noise_highcard_share_at_10_se,noise_binary_share_at_10_se,noise_gaussian_share_at_10_se,informative_share_at_25_se,noise_highcard_share_at_25_se,noise_binary_share_at_25_se,noise_gaussian_share_at_25_se,support_size_se,downstream_at_5,downstream_at_10,downstream_at_25
classification,0.05,cif,0.48,0.16329931618554522,25,0.192,0.1869046102516825,25,0.20800000000000002,0.1869046102516825,25,0.12,0.14142135623730953,25,0.308,0.09539392014169458,25,0.26,0.11547005383792516,25,0.312,0.10535653752852739,25,0.12,0.09574271077563382,25,0.20800000000000002,0.043204937989385746,25,0.3328,0.06705221845696085,25,0.31200000000000006,0.06429100507328635,25,0.1472,0.06803920438492306,25,37.12,3.9085376634576083,25,0.032659863237109045,0.0373809220503365,0.0373809220503365,0.028284271247461905,0.019078784028338916,0.023094010767585032,0.02107130750570548,0.019148542155126763,0.00864098759787715,0.01341044369139217,0.01285820101465727,0.013607840876984611,0.7817075326915217,0.5122984489275529,0.5192191826625374,0.5261262315983984
classification,0.05,cif_maxt,0.488,0.17397317800933182,25,0.24,0.19148542155126763,25,0.17600000000000002,0.16653327995729064,25,0.09600000000000002,0.13063945294843618,25,0.336,0.10360180178613367,25,0.276,0.09695359714832658,25,0.256,0.10832051206181278,25,0.132,0.09882644720249063,25,0.2288,0.044000000000000004,25,0.3264,0.068,25,0.2912,0.06482797749943049,25,0.1536,0.0512249938994628,25,45.88,6.273754856543248,25,0.03479463560186637,0.038297084310253526,0.03330665599145813,0.026127890589687237,0.020720360357226734,0.019390719429665314,0.02166410241236256,0.019765289440498126,0.0088,0.013600000000000001,0.012965595499886098,0.01024499877989256,1.2547509713086495,0.5079134449647741,0.5143870029070541,0.5181406987063648
classification,0.05,cif_noadjust,0.536,0.16041612554021287,25,0.23199999999999998,0.19731531449264988,25,0.128,0.14,25,0.10400000000000001,0.14282856857085702,25,0.32799999999999996,0.09797958971132714,25,0.32,0.09128709291752769,25,0.23199999999999998,0.11075498483890767,25,0.12,0.09999999999999999,25,0.2192,0.05179446559881342,25,0.3456,0.052763623833091675,25,0.2848,0.05923962637739483,25,0.1504,0.068585712797929,25,45.68,5.90705792534095,25,0.032083225108042575,0.03946306289852998,0.028000000000000004,0.028565713714171402,0.01959591794226543,0.01825741858350554,0.022150996967781535,0.019999999999999997,0.010358893119762683,0.010552724766618334,0.011847925275478965,0.0137171425595858,1.1814115850681899,0.5174898696105852,0.5178463401059544,0.5181228038243537
classification,0.05,cit,0.09600000000000002,0.11718930554164632,25,0.384,0.1907878402833891,25,0.44,0.3055050463303893,25,0.08,0.10000000000000002,25,0.18400000000000002,0.07461009761866462,25,0.348,0.15577761927397227,25,0.38799999999999996,0.20066555924389884,25,0.08,0.04082482904638631,25,0.1456,0.056426943918663534,25,0.37920000000000004,0.05552176750308538,25,0.37920000000000004,0.09389355675444401,25,0.096,0.06633249580710801,25,0.16,0.37416573867739417,25,0.023437861108329263,0.03815756805667782,0.06110100926607785,0.020000000000000004,0.014922019523732923,0.031155523854794455,0.04013311184877977,0.008164965809277263,0.011285388783732708,0.011104353500617076,0.0187787113508888,0.013266499161421603,0.07483314773547883,0.5122861181487183,0.5069622735903281,0.5075644711205317
classification,0.05,lgbm,0.40800000000000003,0.2343786110832926,25,0.392,0.22715633383201095,25,0.0,0.0,25,0.2,0.18257418583505539,25,0.36,0.11902380714238084,25,0.44,0.11902380714238084,25,0.0,0.0,25,0.2,0.10408329997330665,25,0.28,0.04898979485566357,25,0.5024000000000001,0.08089499366462674,25,0.0,0.0,25,0.21760000000000002,0.07031358332498779,25,69.96,0.20000000000000012,25,0.04687572221665852,0.04543126676640219,0.0,0.03651483716701108,0.02380476142847617,0.02380476142847617,0.0,0.02081665999466133,0.009797958971132715,0.01617899873292535,0.0,0.014062716664997556,0.04000000000000002,0.512754437124937,0.5154634297535224,0.5157509667459902
classification,0.05,rf,0.568,0.17009801096230764,25,0.28800000000000003,0.1641137816678823,25,0.0,0.0,25,0.14400000000000002,0.1781385228784985,25,0.41600000000000004,0.10677078252031312,25,0.376,0.10115993936995678,25,0.0,0.0,25,0.20800000000000002,0.10376254944182255,25,0.2784,0.05096403960964371,25,0.4912,0.07350283441246787,25,0.0,0.0,25,0.2304,0.06354001363970058,25,70.0,0.0,25,0.03401960219246153,0.03282275633357646,0.0,0.0356277045756997,0.021354156504062624,0.020231987873991355,0.0,0.02075250988836451,0.010192807921928743,0.014700566882493573,0.0,0.012708002727940116,0.0,0.5194778620497774,0.5185114405890915,0.5161357626435126
classification,0.05,rf_oobperm,0.36800000000000005,0.12489995996796796,25,0.424,0.1854723699099141,25,0.024000000000000004,0.06633249580710801,25,0.18400000000000002,0.16248076809271922,25,0.304,0.08888194417315588,25,0.472,0.13076696830622017,25,0.05600000000000001,0.08205689083394115,25,0.168,0.08999999999999998,25,0.1984,0.0547479071137275,25,0.3664,0.07364781055808786,25,0.2752,0.0819105202848409,25,0.16,0.06733003292241385,25,34.24,5.0767443635989125,25,0.024979991993593593,0.03709447398198282,0.013266499161421603,0.03249615361854384,0.017776388834631177,0.026153393661244036,0.01641137816678823,0.017999999999999995,0.0109495814227455,0.014729562111617573,0.01638210405696818,0.01346600658448277,1.0153488727197826,0.5038039277017488,0.5085078009762227,0.5100901633815758
classification,0.05,xgb,0.15200000000000002,0.1661324772583615,25,0.20800000000000002,0.1869046102516825,25,0.5760000000000001,0.24027761721253468,25,0.064,0.11135528725660045,25,0.244,0.07681145747868608,25,0.292,0.12220201853215573,25,0.368,0.1519868415357066,25,0.096,0.08406346808612328,25,0.2096,0.05805744281887265,25,0.4192,0.07313913681014654,25,0.22560000000000002,0.08073000268384323,25,0.1456,0.04454211490264018,25,69.4,0.6454972243679021,25,0.0332264954516723,0.0373809220503365,0.04805552344250694,0.02227105745132009,0.015362291495737215,0.024440403706431146,0.03039736830714132,0.016812693617224657,0.01161148856377453,0.014627827362029309,0.016146000536768644,0.008908422980528036,0.12909944487358044,0.5081584881646025,0.5195529581231455,0.5122997284142253
classification,0.1,cif,0.8640000000000001,0.16041612554021284,25,0.064,0.11135528725660043,25,0.032,0.07483314773547883,25,0.04,0.1,25,0.636,0.14966629547095767,25,0.16400000000000003,0.10754843869934451,25,0.132,0.09451631252505216,25,0.068,0.08524474568362947,25,0.32,0.04760952285695234,25,0.29600000000000004,0.07023769168568493,25,0.26880000000000004,0.07617523657112373,25,0.1152,0.053316664061685885,25,44.56,5.172684667236797,25,0.03208322510804257,0.022271057451320086,0.014966629547095767,0.02,0.029933259094191533,0.021509687739868902,0.018903262505010433,0.017048949136725895,0.009521904571390467,0.014047538337136987,0.015235047314224745,0.010663332812337178,1.0345369334473593,0.5592892732512699,0.5572183090290449,0.5531409652039898
classification,0.1,cif_maxt,0.872,0.19043809142780935,25,0.064,0.11135528725660045,25,0.032,0.07483314773547883,25,0.032,0.07483314773547883,25,0.6559999999999999,0.1445683229480096,25,0.204,0.11357816691600547,25,0.064,0.08602325267042626,25,0.07600000000000001,0.10908712114635714,25,0.32799999999999996,0.04898979485566356,25,0.3184,0.0687798420081543,25,0.22080000000000002,0.07582435844326897,25,0.1328,0.06997142273814361,25,53.2,5.4696130271406425,25,0.03808761828556187,0.02227105745132009,0.014966629547095767,0.014966629547095767,0.028913664589601918,0.022715633383201095,0.017204650534085254,0.02181742422927143,0.009797958971132711,0.013755968401630861,0.015164871688653794,0.013994284547628721,1.0939226054281286,0.5561562087694932,0.5531967683702989,0.5546707759222297
