dataset,Boruta,CatBoost,CIF,CIT,CPI,ExtraTrees,LightGBM,PI,MC-ptest,RDC-ptest,R-cforest,R-ctree,RF,RFE,XGBoost
ALLAML,0.96,0.93,0.945,0.88,0.724,0.946,0.949,0.765,0.936,0.95,0.766,0.648,0.956,0.94,0.933
CLL_SUB_111,0.799,0.804,0.711,0.663,0.482,0.722,0.762,0.639,0.652,0.733,0.623,0.701,0.732,0.725,0.781
ORL,0.69,0.872,0.858,0.83,0.33,0.8,0.862,0.8,0.6,0.71,0.796,0.822,0.84,0.889,0.874
TOX_171,0.747,0.766,0.705,0.643,0.548,0.703,0.828,0.632,0.697,0.73,0.605,0.576,0.732,0.804,0.778
Yale,0.575,0.65,0.651,0.563,0.252,0.63,0.652,0.505,0.622,0.462,0.513,0.483,0.673,0.654,0.643
arcene,0.737,0.745,0.678,0.694,0.694,0.744,0.739,0.675,0.719,0.642,0.645,0.668,0.734,0.7,0.716
dexter,0.894,0.882,0.733,0.693,0.774,0.869,0.869,0.801,0.873,0.837,,,0.885,0.727,0.859
dorothea,0.799,0.777,0.636,0.524,,0.788,0.748,,0.788,0.756,,,0.784,0.726,0.719
gisette,0.861,0.922,0.855,0.872,0.753,0.898,0.926,0.891,0.899,0.897,0.693,0.651,0.898,0.912,0.925
isolet,0.43,0.841,0.825,0.829,0.578,0.717,0.845,0.779,0.686,0.525,0.662,0.805,0.814,0.857,0.769
madelon,0.586,0.583,0.588,0.596,0.536,0.59,0.59,0.584,0.574,0.584,0.539,0.511,0.588,0.592,0.586
musk,0.738,0.836,0.837,0.814,0.821,0.858,0.818,0.808,0.819,0.813,0.837,0.783,0.853,0.821,0.83
orlraws10P,0.886,0.892,0.907,0.735,0.544,0.886,0.929,0.624,0.664,0.762,0.756,0.834,0.93,0.878,0.952
pixraw10P,0.93,0.962,0.946,0.868,0.766,0.952,0.956,0.766,0.896,0.768,0.926,0.942,0.958,0.93,0.952
spam,0.911,0.917,0.912,0.896,0.913,0.915,0.91,0.912,0.905,0.855,0.9,0.882,0.914,0.914,0.911
synthetic_bias_noise50_levels500,0.904,0.901,0.905,0.88,0.898,0.906,0.904,0.903,0.898,0.899,0.799,0.725,0.903,0.905,0.902
synthetic_corr_noise_p100_k10_n1000_noise20_r0.9,0.906,0.906,0.907,0.906,0.879,0.908,0.904,0.894,0.899,0.904,0.829,0.787,0.907,0.907,0.904
synthetic_nonlinear_p100_n1000,0.823,0.825,0.823,0.83,0.826,0.825,0.823,0.828,0.827,0.825,0.648,0.546,0.82,0.821,0.826
synthetic_p1000_k5_n200_sep0.5,0.58,0.594,0.564,0.54,0.503,0.589,0.59,0.512,0.589,0.597,0.479,0.47,0.541,0.586,0.583
synthetic_p100_k10_n1000_sep2.0,0.992,0.992,0.991,0.981,0.977,0.991,0.99,0.987,0.986,0.989,0.884,0.883,0.992,0.992,0.989
synthetic_redundant20,0.986,0.984,0.986,0.983,0.98,0.987,0.984,0.983,0.987,0.986,0.981,0.963,0.986,0.986,0.985
synthetic_toeplitz_p100_k10_n1000_r0.95,0.78,0.778,0.778,0.757,0.74,0.783,0.778,0.755,0.782,0.782,0.745,0.706,0.778,0.78,0.775
synthetic_weak_p100_k10_n1000_sep0.1_flip0.1,0.499,0.502,0.503,0.495,0.497,0.507,0.511,0.506,0.5,0.503,0.494,0.504,0.506,0.499,0.498
warpAR10P,0.789,0.864,0.855,0.668,0.36,0.85,0.88,0.545,0.779,0.538,0.567,0.719,0.869,0.871,0.881
warpPIE10P,0.943,0.978,0.968,0.94,0.875,0.961,0.968,0.896,0.94,0.935,0.935,0.954,0.962,0.976,0.976
