experiment,alpha,B,stopping,class_sep,n_simulations,rejections,rejection_rate,mean_pvalue,median_pvalue
null,0.01,49,adaptive,0.0,500,4,0.008,0.5013,0.4851
null,0.01,49,fixed_B,0.0,500,0,0.0,0.5106,0.51
null,0.01,99,adaptive,0.0,500,4,0.008,0.5013,0.4851
null,0.01,99,fixed_B,0.0,500,4,0.008,0.5014,0.49
null,0.01,199,adaptive,0.0,500,3,0.006,0.4991,0.4974
null,0.01,199,fixed_B,0.0,500,3,0.006,0.4989,0.495
null,0.01,499,adaptive,0.0,500,3,0.006,0.5004,0.4884
null,0.01,499,fixed_B,0.0,500,3,0.006,0.4961,0.484
null,0.01,999,adaptive,0.0,500,3,0.006,0.5004,0.4884
null,0.01,999,fixed_B,0.0,500,3,0.006,0.496,0.4855
null,0.05,49,adaptive,0.0,500,14,0.028,0.5106,0.51
null,0.05,49,fixed_B,0.0,500,14,0.028,0.5106,0.51
null,0.05,99,adaptive,0.0,500,22,0.044,0.5016,0.4948
null,0.05,99,fixed_B,0.0,500,22,0.044,0.5014,0.49
null,0.05,199,adaptive,0.0,500,21,0.042,0.5015,0.4948
null,0.05,199,fixed_B,0.0,500,21,0.042,0.4989,0.495
null,0.05,499,adaptive,0.0,500,21,0.042,0.5083,0.4848
null,0.05,499,fixed_B,0.0,500,20,0.04,0.4961,0.484
null,0.05,999,adaptive,0.0,500,22,0.044,0.5083,0.4848
null,0.05,999,fixed_B,0.0,500,21,0.042,0.496,0.4855
null,0.1,49,adaptive,0.0,500,52,0.104,0.5106,0.51
null,0.1,49,fixed_B,0.0,500,52,0.104,0.5106,0.51
null,0.1,99,adaptive,0.0,500,51,0.102,0.5015,0.4948
null,0.1,99,fixed_B,0.0,500,51,0.102,0.5014,0.49
null,0.1,199,adaptive,0.0,500,48,0.096,0.5011,0.4948
null,0.1,199,fixed_B,0.0,500,48,0.096,0.4989,0.495
null,0.1,499,adaptive,0.0,500,50,0.1,0.5076,0.4848
null,0.1,499,fixed_B,0.0,500,52,0.104,0.4961,0.484
null,0.1,999,adaptive,0.0,500,50,0.1,0.5077,0.4848
null,0.1,999,fixed_B,0.0,500,53,0.106,0.496,0.4855
alternative,0.01,49,adaptive,0.1,500,260,0.52,0.0908,0.0099
alternative,0.01,49,fixed_B,0.1,500,0,0.0,0.1006,0.02
alternative,0.01,99,adaptive,0.1,500,260,0.52,0.0908,0.0099
alternative,0.01,99,fixed_B,0.1,500,261,0.522,0.091,0.01
alternative,0.01,199,adaptive,0.1,500,267,0.534,0.0875,0.01
alternative,0.01,199,fixed_B,0.1,500,267,0.534,0.0874,0.01
alternative,0.01,499,adaptive,0.1,500,271,0.542,0.087,0.008
alternative,0.01,499,fixed_B,0.1,500,271,0.542,0.0844,0.008
alternative,0.01,999,adaptive,0.1,500,271,0.542,0.0869,0.007
alternative,0.01,999,fixed_B,0.1,500,274,0.548,0.0833,0.007
alternative,0.01,49,adaptive,0.5,500,500,1.0,0.0099,0.0099
alternative,0.01,49,fixed_B,0.5,500,0,0.0,0.02,0.02
