experiment,task,dataset_type,variant,n_features,n_samples,elapsed_seconds_mean,elapsed_seconds_std,spread_at_10_mean,spread_at_10_std,lr_ba_mean,lr_ba_std,ridge_r2_mean,ridge_r2_std
r_baselines,clf,real_iris,r_ctree_bonf,4,150,0.7517616931931116,1.4500903556118783,1.0,0.0,0.96,0.0,,
r_baselines,clf,real_iris,r_ctree_mc,4,150,0.039564895600778985,0.002681854322495296,1.0,0.0,0.96,0.0,,
r_baselines,clf,real_iris,r_cforest_bonf,4,150,1.7672536277998006,0.04236475760379676,0.9333333333333332,0.13333333333333336,0.9546666666666667,0.01066666666666669,,
r_baselines,clf,real_iris,r_cforest_mc,4,150,1.9754527238023,0.20316309192890147,1.0,0.0,0.96,0.0,,
r_baselines,clf,real_wine,r_ctree_bonf,13,178,0.07153324780229013,0.005307537333237819,0.9166666666666666,0.0,0.9617460317460317,0.0,,
r_baselines,clf,real_wine,r_ctree_mc,13,178,0.11136450899939518,0.002053435420189541,0.9166666666666666,0.0,0.9486984126984128,0.010653336341628366,,
r_baselines,clf,real_wine,r_cforest_bonf,13,178,2.447567733397591,0.11061324422163017,0.8333333333333334,0.05270462766947298,0.9436190476190477,0.014728379750265343,,
r_baselines,clf,real_wine,r_cforest_mc,13,178,2.573292855604086,0.09030403937100503,0.9666666666666666,0.04082482904638632,0.9634920634920636,0.018260730286522673,,
r_baselines,clf,real_breast_cancer,r_ctree_bonf,30,569,0.1713789290020941,0.020212240761807863,0.9655172413793103,1.1102230246251565e-16,0.9530838129552508,0.0,,
r_baselines,clf,real_breast_cancer,r_ctree_mc,30,569,0.4773902563989395,0.020192791449627143,0.9655172413793103,1.1102230246251565e-16,0.9617130821102325,0.0002311133733000198,,
r_baselines,clf,real_breast_cancer,r_cforest_bonf,30,569,3.2664306104008576,0.24324254145829094,0.6827586206896552,0.07033130363576255,0.9439970702769589,0.0022761223734309092,,
r_baselines,clf,real_breast_cancer,r_cforest_mc,30,569,3.4621455647982655,0.13394508785693582,0.8206896551724137,0.045746548832488285,0.9647985717925123,0.0065785659932171645,,
r_baselines,clf,real_digits,r_ctree_bonf,64,1797,2.4624182275991187,0.4786027255776064,0.6349206349206349,0.0,0.7220268756151109,0.0,,
r_baselines,clf,real_digits,r_ctree_mc,64,1797,5.522994409000967,0.15094884447207338,0.7904761904761904,0.05714285714285716,0.7317507002801121,0.02096458671552369,,
r_baselines,clf,real_digits,r_cforest_bonf,64,1797,6.0316193868027765,0.44005729887492345,0.5111111111111111,0.06220926330877913,0.73513408534585,0.009549290715630921,,
r_baselines,clf,real_digits,r_cforest_mc,64,1797,13.80657187839679,3.3432947623381852,0.5079365079365079,0.06349206349206349,0.7338930829989654,0.016410619022383742,,
r_baselines,clf,real_openml_madelon,r_ctree_bonf,500,2600,7.151017190198763,0.1709431935039431,0.8557114228456915,1.1102230246251565e-16,0.505,0.0,,
r_baselines,clf,real_openml_madelon,r_ctree_mc,500,2600,55.97206920720055,20.380144181558418,0.8797595190380761,0.030286389558817763,0.5074615384615384,0.006084221517933893,,
r_baselines,clf,real_openml_madelon,r_cforest_bonf,500,2600,58.47357051539584,18.05275547705439,0.871743486973948,0.019635188318903252,0.6070769230769232,0.001230769230769191,,
r_baselines,clf,real_openml_madelon,r_cforest_mc,500,2600,108.93032037359663,8.072566424650933,0.871743486973948,0.019635188318903252,0.606769230769231,0.0007536891516255689,,
r_baselines,clf,real_openml_waveform,r_ctree_bonf,21,800,0.3618197587988107,0.020931171842002192,0.65,0.0,0.7916617889721849,0.0,,
r_baselines,clf,real_openml_waveform,r_ctree_mc,21,800,1.0356140780000715,0.019095195458875964,0.6199999999999999,0.039999999999999994,0.8046188668896772,0.011213297069174052,,
r_baselines,clf,real_openml_waveform,r_cforest_bonf,21,800,5.835922241996741,0.19208858105706383,0.6,0.0,0.8169457553038759,0.00462053883561228,,
r_baselines,clf,real_openml_waveform,r_cforest_mc,21,800,6.562482587006525,0.4696741299541589,0.59,0.019999999999999976,0.8186791373901992,0.0037821574795024386,,
r_baselines,clf,real_openml_optdigits,r_ctree_bonf,64,5620,3.481065611203667,0.4034048676204154,0.8253968253968254,0.0,0.7487374815809994,0.0,,
r_baselines,clf,real_openml_optdigits,r_ctree_mc,64,5620,29.20862201320124,7.267633077607422,0.7682539682539682,0.11428571428571428,0.7479950522698573,0.010381334188552985,,
r_baselines,clf,real_openml_optdigits,r_cforest_bonf,64,5620,11.039159995998489,1.1588372084020002,0.638095238095238,0.006349206349206371,0.745122029778026,0.03152830098868051,,
r_baselines,clf,real_openml_optdigits,r_cforest_mc,64,5620,65.87056060280011,20.16322745219188,0.6412698412698412,0.007776157913597417,0.7293578792836858,0.038614124939576826,,
r_baselines,reg,real_diabetes,r_ctree_bonf,10,442,0.05107918339490425,0.008427241784638844,1.0,0.0,,,0.4821946640868401,0.0
r_baselines,reg,real_diabetes,r_ctree_mc,10,442,0.09981287219852675,0.003603021044942545,1.0,0.0,,,0.4821946640868401,2.482534153247273e-17
r_baselines,reg,real_diabetes,r_cforest_bonf,10,442,4.654715299402596,0.8698054733530175,1.0,0.0,,,0.48219466408684,8.599750569898517e-17
r_baselines,reg,real_diabetes,r_cforest_mc,10,442,4.974052728601964,0.18103036706626596,1.0,0.0,,,0.48219466408684,9.930136612989092e-17
r_baselines,reg,real_california,r_ctree_bonf,8,20640,2.8781396528007464,0.062109062151886066,1.0,0.0,,,0.5530382161908947,0.0
r_baselines,reg,real_california,r_ctree_mc,8,20640,11.870183101197473,0.15007252607841712,1.0,0.0,,,0.5530382161908947,0.0
r_baselines,reg,real_california,r_cforest_bonf,8,20640,25.155374132600265,7.115967625785097,1.0,0.0,,,0.5530382161908947,0.0
r_baselines,reg,real_california,r_cforest_mc,8,20640,43.13575617919851,14.048666870064771,1.0,0.0,,,0.5530382161908947,0.0
