experiment,task,dataset_type,variant,n_features,n_samples,elapsed_seconds_mean,elapsed_seconds_std,spread_at_10_mean,spread_at_10_std,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,f1_at_10_mean,f1_at_10_std,lr_ba_mean,lr_ba_std,confounder_rate_at_5_mean,confounder_rate_at_5_std,confounder_rate_at_10_mean,confounder_rate_at_10_std,ridge_r2_mean,ridge_r2_std
strictness_continuum,clf,clf_standard_easy,r_ctree_bonf,100,1000,0.8726727857952937,0.7686554356808957,0.8424242424242424,0.08441447440717645,0.5399999999999999,0.14966629547095767,0.5399999999999999,0.14966629547095767,0.54,0.1496662954709577,0.7587579957995799,0.1423771192284389,,,,,,
strictness_continuum,clf,clf_standard_easy,r_ctree_mc,100,1000,1.4535337462031748,0.16357152591953547,0.7777777777777779,0.09917525421118042,0.2,0.14142135623730953,0.2,0.14142135623730953,0.2,0.14142135623730953,0.7563841384138413,0.12937996640224286,,,,,,
strictness_continuum,clf,clf_standard_easy,r_cforest_bonf,100,1000,4.148302553597023,0.31659728444591134,0.5757575757575758,0.1586855505992362,0.2,0.2280350850198276,0.2,0.2280350850198276,0.2,0.2280350850198276,0.7139621362136214,0.20148040524314575,,,,,,
strictness_continuum,clf,clf_standard_easy,r_cforest_mc,100,1000,7.394194122197223,1.5887812784428117,0.6222222222222221,0.1492216994959142,0.18000000000000002,0.14696938456699069,0.18000000000000002,0.14696938456699069,0.18000000000000002,0.1469693845669907,0.6536023802380238,0.18812446223663687,,,,,,
strictness_continuum,clf,clf_standard_hard,r_ctree_bonf,1000,200,2.6970738945965422,0.6035248062446453,0.7765765765765766,0.05109774307849697,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,0.5203157894736842,0.04783656388807421,,,,,,
strictness_continuum,clf,clf_standard_hard,r_ctree_mc,1000,200,6.985518345198943,2.0894912641743146,0.8294294294294293,0.1032295598543043,0.34,0.14966629547095767,0.68,0.29933259094191533,0.4533333333333333,0.19955506062794354,0.5090802005012531,0.02758823725305654,,,,,,
strictness_continuum,clf,clf_standard_hard,r_cforest_bonf,1000,200,7.838206609198823,1.7010097440939924,0.08628628628628628,0.037536336317116496,0.04,0.048989794855663564,0.08,0.09797958971132713,0.05333333333333333,0.06531972647421809,0.5384912280701755,0.033839511940753395,,,,,,
strictness_continuum,clf,clf_standard_hard,r_cforest_mc,1000,200,12.257186258598813,0.8958050206786913,0.11391391391391392,0.05943754799283607,0.02,0.04,0.04,0.08,0.026666666666666665,0.05333333333333333,0.443859649122807,0.04713894035711714,,,,,,
strictness_continuum,clf,clf_weak_signal,r_ctree_bonf,100,1000,0.6431940575974295,0.05575171973587991,0.8686868686868687,0.0999948983496128,0.12,0.09797958971132711,0.12,0.09797958971132711,0.12,0.09797958971132711,0.5615798579857986,0.014260687860758315,,,,,,
strictness_continuum,clf,clf_weak_signal,r_ctree_mc,100,1000,2.2834161401959134,0.04997415006102156,0.7939393939393941,0.08750063768770795,0.08,0.116619037896906,0.08,0.116619037896906,0.08,0.116619037896906,0.521412801280128,0.035087323153418414,,,,,,
