method,avg_rank,std_rank,cd
cat,5.0,3.7416573867739413,6.850018384455461
rfe,5.666666666666667,2.494438257849294,6.850018384455461
rf,6.333333333333333,1.699673171197595,6.850018384455461
ptest_mc,6.333333333333333,3.5197853469904796,6.850018384455461
et,6.5,1.7795130420052185,6.850018384455461
ptest_dc,7.0,3.488074922742725,6.850018384455461
cif,7.0,4.546060565661952,6.850018384455461
ptest_pc,7.0,3.488074922742725,6.850018384455461
lgbm,7.666666666666667,4.714045207910317,6.850018384455461
boruta,8.0,4.898979485566356,6.850018384455461
ptest_rdc,8.5,4.708148963941845,6.850018384455461
xgb,9.333333333333334,4.496912521077347,6.850018384455461
pi,10.0,2.449489742783178,6.850018384455461
cit,12.333333333333334,4.4969125210773475,6.850018384455461
r_cforest,14.0,1.632993161855452,6.850018384455461
cpi,15.333333333333334,0.4714045207910317,6.850018384455461
r_ctree,17.0,0.0,6.850018384455461
