method,avg_rank,std_rank,cd
cat,5.708333333333333,3.777445859601726,6.659027490953155
rf,6.541666666666667,3.5441167995551286,6.659027490953155
boruta,6.625,2.777326352207581,6.659027490953155
et,6.791666666666667,2.7647960543631824,6.659027490953155
cif,7.125,2.484325864293974,6.659027490953155
rfe,7.125,3.7866266869955196,6.659027490953155
xgb,7.791666666666667,5.35201805137298,6.659027490953155
ptest_rdc,8.25,3.5910769044025406,6.659027490953155
lgbm,8.458333333333334,2.9542224959463623,6.659027490953155
pi,8.625,3.6120458191999725,6.659027490953155
ptest_pc,8.791666666666666,3.338277583159049,6.659027490953155
cit,9.375,4.946063249359703,6.659027490953155
cpi,9.375,3.4588353049352705,6.659027490953155
ptest_dc,9.791666666666666,3.4487819911125466,6.659027490953155
r_ctree,11.291666666666666,3.204543215845625,6.659027490953155
r_cforest,14.333333333333334,3.144660377352201,6.659027490953155
