method,r2_mean,r2_ci_lo,r2_ci_hi,r2_formatted,mse_mean,mse_ci_lo,mse_ci_hi,mse_formatted,mae_mean,mae_ci_lo,mae_ci_hi,mae_formatted
boruta,0.3059767817812876,0.17313135747660413,0.437462009836707,"0.306 [0.173, 0.437]",309459.3663477613,5835.517947633916,864888.2111136543,"309459.366 [5835.518, 864888.211]",176.30263949231016,35.66764773854852,395.40464740493627,"176.303 [35.668, 395.405]"
cat,0.32824228319377974,0.2111328411636531,0.45108450468797634,"0.328 [0.211, 0.451]",307632.77735824324,5835.787142693888,859285.8287545139,"307632.777 [5835.787, 859285.829]",175.2382728657719,35.99764298491138,391.3750784418538,"175.238 [35.998, 391.375]"
cif,0.3039276466881622,0.1750618525867302,0.4315462223844755,"0.304 [0.175, 0.432]",324943.53747900465,5863.759473231516,913027.1984013658,"324943.537 [5863.759, 913027.198]",177.5611404346911,36.227735597708744,399.69667362175426,"177.561 [36.228, 399.697]"
cit,-0.5849789362695411,-1.9836885061055474,0.36395792015085365,"-0.585 [-1.984, 0.364]",185617.12617778507,6048.472642734477,495157.8188524828,"185617.126 [6048.473, 495157.819]",123.3168308297013,36.94873049559988,236.83550504246145,"123.317 [36.949, 236.836]"
cpi,-0.4959333672089236,-2.1167851966208957,0.39381987644234895,"-0.496 [-2.117, 0.394]",326638.3971547528,6014.541257166358,917828.8372361297,"326638.397 [6014.541, 917828.837]",179.69801893804205,36.68447699497564,405.74825168423143,"179.698 [36.684, 405.748]"
et,0.3183493186559275,0.1899401568755891,0.4499968070162564,"0.318 [0.190, 0.450]",290470.3557589646,5835.808076317434,807963.1976816446,"290470.356 [5835.808, 807963.198]",170.10880969720867,36.108342399732265,376.1399256392197,"170.109 [36.108, 376.140]"
lgbm,-0.3158449974033765,-1.657118679803211,0.4199336349777146,"-0.316 [-1.657, 0.420]",325336.5108941695,5835.830634252946,912407.4410893992,"325336.511 [5835.831, 912407.441]",179.6074483868467,36.17271680447484,404.33562940259606,"179.607 [36.173, 404.336]"
pi,0.05855578732284966,-0.5237113869020552,0.41674714765533805,"0.059 [-0.524, 0.417]",324058.04598745314,5835.820860291184,908815.7535527397,"324058.046 [5835.821, 908815.754]",179.05443514294848,36.01698749716791,402.3757939289025,"179.054 [36.017, 402.376]"
ptest_dc,0.08377248934229535,-0.3086877977729404,0.39156215353590046,"0.084 [-0.309, 0.392]",322565.7460611724,5897.821646289695,909891.6208375433,"322565.746 [5897.822, 909891.621]",176.32059950482167,36.37975474186955,398.20198800281946,"176.321 [36.380, 398.202]"
ptest_pc,0.20673402265911303,-0.024424982255869875,0.40657601695791695,"0.207 [-0.024, 0.407]",335092.2362848457,5840.665194040118,947860.136013557,"335092.236 [5840.665, 947860.136]",178.8267051004892,35.970037157340805,406.36383469211876,"178.827 [35.970, 406.364]"
ptest_rdc,0.29266229888395306,0.15434854462376135,0.4293389927226695,"0.293 [0.154, 0.429]",325927.82566857786,5882.487091564434,919094.8375545869,"325927.826 [5882.487, 919094.838]",177.19597018597065,36.13246172875758,400.6214511202084,"177.196 [36.132, 400.621]"
r_cforest,-1.2652803205562753,-3.9702969209543233,0.2858584551469934,"-1.265 [-3.970, 0.286]",368757.58719566715,7424.528922701789,1041617.6881804595,"368757.587 [7424.529, 1041617.688]",189.51806989340093,40.58062187571332,425.8984739810585,"189.518 [40.581, 425.898]"
r_ctree,-0.17008571084406365,-0.9993394018888058,0.33499813673615203,"-0.170 [-0.999, 0.335]",454363.16344398074,7015.81746632953,1297639.260029556,"454363.163 [7015.817, 1297639.260]",204.3782279706668,39.73069771410127,473.18213055207525,"204.378 [39.731, 473.182]"
rf,0.2757836160233232,0.08384822013873537,0.43396628121811304,"0.276 [0.084, 0.434]",312304.7292017124,5835.790110830023,873268.220584444,"312304.729 [5835.790, 873268.221]",177.00345640612292,35.87219727794314,396.8253992811745,"177.003 [35.872, 396.825]"
rfe,0.3320581016906797,0.21218259793445599,0.45296074048890317,"0.332 [0.212, 0.453]",326638.8874891664,5835.483026745682,916413.5933814009,"326638.887 [5835.483, 916413.593]",179.5904901918639,35.89073079519724,404.8495923345491,"179.590 [35.891, 404.850]"
xgb,0.2599987006389803,0.11686322874461852,0.3890517460452456,"0.260 [0.117, 0.389]",397106.29030843015,5882.742801422817,1127663.737000811,"397106.290 [5882.743, 1127663.737]",191.3946688201413,36.18513314943023,439.9411715772049,"191.395 [36.185, 439.941]"
