method,avg_rank,std_rank,cd
r_cforest,1.0,0.0,23.067547886657533
cit,2.0,0.0,23.067547886657533
boruta,7.5,0.0,23.067547886657533
cif,7.5,0.0,23.067547886657533
cpi,7.5,0.0,23.067547886657533
et,7.5,0.0,23.067547886657533
lgbm,7.5,0.0,23.067547886657533
pi,7.5,0.0,23.067547886657533
ptest_rdc,7.5,0.0,23.067547886657533
rf,7.5,0.0,23.067547886657533
rfe,7.5,0.0,23.067547886657533
xgb,7.5,0.0,23.067547886657533
cat,14.5,0.0,23.067547886657533
ptest_dc,14.5,0.0,23.067547886657533
ptest_pc,14.5,0.0,23.067547886657533
r_ctree,14.5,0.0,23.067547886657533
