method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,33.0,0.1353759765625,1.0,False,15,0.039561357585213265,negligible
boruta,cif,56.0,0.846923828125,1.0,False,15,0.025754108679750625,negligible
boruta,cit,50.0,0.5994873046875,1.0,False,15,0.010314973878680255,negligible
boruta,cpi,20.0,0.02154541015625,1.0,False,15,-0.009462265293176373,negligible
boruta,et,49.0,0.5614013671875,1.0,False,15,0.07230652983232935,negligible
boruta,lgbm,39.0,0.25238037109375,1.0,False,15,0.005705936962199246,negligible
boruta,pi,22.0,0.0301513671875,1.0,False,15,-0.007944425850040808,negligible
boruta,ptest_dc,48.0,0.52447509765625,1.0,False,15,0.035368119298761325,negligible
boruta,ptest_pc,49.0,0.5614013671875,1.0,False,15,0.05377810215504832,negligible
boruta,ptest_rdc,52.0,0.67877197265625,1.0,False,15,0.016243615810069233,negligible
boruta,r_cforest,14.0,0.0067138671875,0.7183837890625,False,15,-0.01397876846752101,negligible
boruta,r_ctree,27.0,0.063720703125,1.0,False,15,-0.01366906240569041,negligible
boruta,rf,59.0,0.97796630859375,1.0,False,15,0.01986834709433225,negligible
boruta,rfe,52.0,0.67877197265625,1.0,False,15,0.011895779398472306,negligible
boruta,xgb,40.0,0.27685546875,1.0,False,15,-0.015309893047021626,negligible
cat,cif,34.0,0.15142822265625,1.0,False,15,-0.014430709954048151,negligible
cat,cit,35.0,0.1688232421875,1.0,False,15,-0.02912456738442078,negligible
cat,cpi,11.0,0.00335693359375,0.36590576171875,False,15,-0.04941512264440012,negligible
cat,et,55.0,0.803955078125,1.0,False,15,0.033396750244446424,negligible
cat,lgbm,10.0,0.00262451171875,0.2886962890625,False,15,-0.034524342251407145,negligible
cat,pi,12.0,0.0042724609375,0.46142578125,False,15,-0.04743404815244614,negligible
cat,ptest_dc,41.0,0.30279541015625,1.0,False,15,-0.004780091553844704,negligible
cat,ptest_pc,34.0,0.15142822265625,1.0,False,15,0.013943757659034243,negligible
cat,ptest_rdc,29.0,0.083251953125,1.0,False,15,-0.02379231524257231,negligible
cat,r_cforest,0.0,6.103515625e-05,0.00732421875,True,15,-0.0559596685861182,negligible
cat,r_ctree,14.0,0.0067138671875,0.7183837890625,False,15,-0.05712381439142696,negligible
cat,rf,22.0,0.0301513671875,1.0,False,15,-0.019961679847165716,negligible
cat,rfe,43.0,0.359130859375,1.0,False,15,-0.02861524665172212,negligible
cat,xgb,19.0,0.01806640625,1.0,False,15,-0.05645067375171607,negligible
cif,cit,22.0,0.0301513671875,1.0,False,15,-0.015216914952037705,negligible
cif,cpi,27.0,0.063720703125,1.0,False,15,-0.03559319319210149,negligible
cif,et,42.0,0.33026123046875,1.0,False,15,0.04824353679860077,negligible
cif,lgbm,42.0,0.33026123046875,1.0,False,15,-0.020392229763395775,negligible
cif,pi,37.0,0.207763671875,1.0,False,15,-0.03375787212676933,negligible
cif,ptest_dc,51.0,0.638671875,1.0,False,15,0.009805637870326015,negligible
cif,ptest_pc,53.0,0.7197265625,1.0,False,15,0.028765094166997893,negligible
cif,ptest_rdc,50.0,0.5994873046875,1.0,False,15,-0.009572959547937375,negligible
cif,r_cforest,0.0,6.103515625e-05,0.00732421875,True,15,-0.04147619122478983,negligible
cif,r_ctree,14.0,0.0067138671875,0.7183837890625,False,15,-0.04211047890225828,negligible
cif,rf,58.0,0.93408203125,1.0,False,15,-0.005762806848067716,negligible
cif,rfe,60.0,1.0,1.0,False,15,-0.014285878881628501,negligible
cif,xgb,26.0,0.05535888671875,1.0,False,15,-0.042283556065727174,negligible
cit,cpi,52.0,0.67877197265625,1.0,False,15,-0.019843947164186988,negligible
cit,et,16.0,0.01025390625,1.0,False,15,0.061892952430751325,negligible
cit,lgbm,48.0,0.52447509765625,1.0,False,15,-0.004781258378153896,negligible
cit,pi,53.0,0.7197265625,1.0,False,15,-0.0182217697533472,negligible
cit,ptest_dc,29.0,0.083251953125,1.0,False,15,0.024807232209740893,negligible
cit,ptest_pc,29.0,0.083251953125,1.0,False,15,0.0432226139602949,negligible
