method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,23.0,0.11585149752593009,1.0,False,15,0.006203954960100875,negligible
boruta,cif,29.0,0.24886387493792206,1.0,False,15,0.014120374229332279,negligible
boruta,cit,24.0,0.13295729296233563,1.0,False,15,0.04058921333587391,negligible
boruta,cpi,29.0,0.24886387493792206,1.0,False,15,-0.011310367987288364,negligible
boruta,et,31.0,0.31089682851661204,1.0,False,15,0.027100428672236308,negligible
boruta,lgbm,45.0,0.972125329731665,1.0,False,15,0.0029798520198025293,negligible
boruta,pi,33.0,0.38235208985751545,1.0,False,15,0.009742645810111437,negligible
boruta,ptest_dc,32.0,0.3454475304692258,1.0,False,15,0.019753173993825035,negligible
boruta,ptest_pc,43.0,0.8613042569883052,1.0,False,15,0.019486318318364858,negligible
boruta,ptest_rdc,31.0,0.31089682851661204,1.0,False,15,0.02326861373000075,negligible
boruta,r_cforest,30.0,0.0946044921875,1.0,False,15,-0.018221079590447005,negligible
boruta,r_ctree,11.0,0.015906444101703374,1.0,False,15,-0.06206948605247807,negligible
boruta,rf,40.0,0.700703412251682,1.0,False,15,-0.003306380504765609,negligible
boruta,rfe,34.0,0.421578895217645,1.0,False,15,-0.01526818965888303,negligible
boruta,xgb,40.0,0.700703412251682,1.0,False,15,-0.022381442881334174,negligible
cat,cif,29.0,0.24886387493792206,1.0,False,15,0.00783048179445204,negligible
cat,cit,26.0,0.17295491798842066,1.0,False,15,0.03438446576004534,negligible
cat,cpi,8.0,0.008774633060101174,1.0,False,15,-0.017419696088707234,negligible
cat,et,43.0,0.8613042569883052,1.0,False,15,0.020747142749365836,negligible
cat,lgbm,33.0,0.38235208985751545,1.0,False,15,-0.003319909918475577,negligible
cat,pi,43.0,0.8613042569883052,1.0,False,15,0.003444276847941185,negligible
cat,ptest_dc,25.0,0.15195618574341047,1.0,False,15,0.013459201118434386,negligible
cat,ptest_pc,42.0,0.8067663226228976,1.0,False,15,0.01319165345437984,negligible
cat,ptest_rdc,26.0,0.17295491798842066,1.0,False,15,0.016957452944628935,negligible
cat,r_cforest,17.0,0.012451171875,1.0,False,15,-0.024424154484265197,negligible
cat,r_ctree,5.0,0.004649433819808541,0.5393343230977907,False,15,-0.06791113837712771,negligible
cat,rf,25.0,0.15195618574341047,1.0,False,15,-0.009472019617392032,negligible
cat,rfe,26.0,0.17295491798842066,1.0,False,15,-0.021359146373069023,negligible
cat,xgb,32.0,0.3454475304692258,1.0,False,15,-0.028447444262340745,negligible
cif,cit,15.0,0.03304694365260127,1.0,False,15,0.02701957029885132,negligible
cif,cpi,13.0,0.023129802497359468,1.0,False,15,-0.02536357506345709,negligible
cif,et,44.0,0.916511907863894,1.0,False,15,0.013021584461217898,negligible
cif,lgbm,35.0,0.46307101501458814,1.0,False,15,-0.011321220771663918,negligible
cif,pi,35.0,0.46307101501458814,1.0,False,15,-0.0044589125563726665,negligible
cif,ptest_dc,23.0,0.11585149752593009,1.0,False,15,0.005702747961974338,negligible
cif,ptest_pc,43.0,0.8613042569883052,1.0,False,15,0.005430598381989646,negligible
cif,ptest_rdc,37.0,0.5524933360016062,1.0,False,15,0.009229118709710039,negligible
cif,r_cforest,16.0,0.01025390625,1.0,False,15,-0.03259497621938358,negligible
cif,r_ctree,0.0,0.0014737808438751421,0.17685370126501707,False,15,-0.07613422452730731,negligible
cif,rf,44.0,0.916511907863894,1.0,False,15,-0.01738294237750796,negligible
cif,rfe,39.0,0.6496440323317323,1.0,False,15,-0.029331397216332905,negligible
cif,xgb,34.0,0.421578895217645,1.0,False,15,-0.036481106797389425,negligible
cit,cpi,39.0,0.6496440323317323,1.0,False,15,-0.05129219607003298,negligible
cit,et,25.0,0.15195618574341047,1.0,False,15,-0.014445225574885081,negligible
cit,lgbm,33.0,0.38235208985751545,1.0,False,15,-0.03822493577341745,negligible
cit,pi,26.0,0.17295491798842066,1.0,False,15,-0.03145233012358618,negligible
cit,ptest_dc,22.0,0.1005251728089838,1.0,False,15,-0.02141228719949066,negligible
cit,ptest_pc,20.0,0.07473549830588254,1.0,False,15,-0.021683623717868597,negligible
cit,ptest_rdc,18.0,0.05462393825457164,1.0,False,15,-0.018006865704353153,negligible
cit,r_cforest,24.0,0.041259765625,1.0,False,15,-0.05880698967761086,negligible
cit,r_ctree,25.0,0.15195618574341047,1.0,False,15,-0.1003332112168899,negligible
cit,rf,24.0,0.13295729296233563,1.0,False,15,-0.043649545190106144,negligible
cit,rfe,24.0,0.13295729296233563,1.0,False,15,-0.05513227287196457,negligible
cit,xgb,37.0,0.5524933360016062,1.0,False,15,-0.06208578552590658,negligible
cpi,et,11.0,0.015906444101703374,1.0,False,15,0.03824843753797755,negligible
cpi,lgbm,33.0,0.38235208985751545,1.0,False,15,0.014414098339609844,negligible
cpi,pi,9.0,0.01074678300534386,1.0,False,15,0.02106853340270262,negligible
cpi,ptest_dc,27.0,0.1960509634811064,1.0,False,15,0.030916220530495055,negligible
cpi,ptest_pc,27.0,0.1960509634811064,1.0,False,15,0.03065465011917359,negligible
cpi,ptest_rdc,26.0,0.17295491798842066,1.0,False,15,0.03440621523290703,negligible
cpi,r_cforest,28.0,0.072998046875,1.0,False,15,-0.006630983906877112,negligible
cpi,r_ctree,15.0,0.03304694365260127,1.0,False,15,-0.0505369041430034,negligible
cpi,rf,27.0,0.1960509634811064,1.0,False,15,0.007985695009086477,negligible
cpi,rfe,34.0,0.421578895217645,1.0,False,15,-0.003932435513584086,negligible
cpi,xgb,28.0,0.221330082993901,1.0,False,15,-0.010985986862597172,negligible
