method,avg_rank,std_rank,cd
cif,5.6,2.252406120870154,5.956015253524448
cat,5.7,2.9314387821227537,5.956015253524448
et,6.266666666666667,3.37573037364591,5.956015253524448
rf,6.366666666666666,4.3759443425264095,5.956015253524448
rfe,6.866666666666666,4.828618389928485,5.956015253524448
pi,7.0,3.9157800414902435,5.956015253524448
xgb,7.566666666666666,4.749970760143921,5.956015253524448
lgbm,8.1,4.2980615785878795,5.956015253524448
ptest_rdc,8.3,3.6687872655688283,5.956015253524448
boruta,8.333333333333334,3.7535168694024663,5.956015253524448
ptest_pc,8.733333333333333,4.170797951897881,5.956015253524448
cpi,9.833333333333334,3.704351795148811,5.956015253524448
ptest_dc,10.266666666666667,2.768071932270226,5.956015253524448
cit,10.8,4.475116385823576,5.956015253524448
r_cforest,13.066666666666666,4.63992337101475,5.956015253524448
r_ctree,13.2,2.8095076674273973,5.956015253524448
