method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,17.0,0.00628662109375,0.55322265625,False,16,0.02046451101182971,negligible
boruta,cif,21.0,0.013092041015625,1.0,False,16,0.01787212101524651,negligible
boruta,cit,54.0,0.49542236328125,1.0,False,16,0.03036535088421665,negligible
boruta,cpi,65.0,0.899932861328125,1.0,False,16,-0.03203314728916671,negligible
boruta,et,9.0,0.001007080078125,0.105743408203125,False,16,0.026998289077459433,negligible
boruta,lgbm,32.0,0.065399169921875,1.0,False,16,0.004705514164268968,negligible
boruta,pi,53.0,0.4637451171875,1.0,False,16,0.010968177020811888,negligible
boruta,ptest_dc,27.0,0.033538818359375,1.0,False,16,0.019328657083675718,negligible
boruta,ptest_pc,29.0,0.0443115234375,1.0,False,16,0.020482635982215277,negligible
boruta,ptest_rdc,28.0,0.03863525390625,1.0,False,16,0.0221195248487621,negligible
boruta,r_cforest,24.0,0.021392822265625,1.0,False,16,-0.032138101218700886,negligible
boruta,r_ctree,10.0,0.001312255859375,0.136474609375,False,16,-0.07539101539501104,negligible
boruta,rf,5.0,0.00030517578125,0.0341796875,True,16,0.016557913464594582,negligible
boruta,rfe,32.0,0.065399169921875,1.0,False,16,0.003890884247708709,negligible
boruta,xgb,45.0,0.252227783203125,1.0,False,16,-0.053212632312954956,negligible
cat,cif,43.0,0.21142578125,1.0,False,16,-0.0026822270073989947,negligible
cat,cit,42.0,0.19281005859375,1.0,False,16,0.010146053862562489,negligible
cat,cpi,3.0,0.000152587890625,0.017547607421875,True,16,-0.05148501902132499,negligible
cat,et,62.0,0.781951904296875,1.0,False,16,0.006417746677288324,negligible
cat,lgbm,23.0,0.01824951171875,1.0,False,16,-0.015656633922902827,negligible
cat,pi,14.0,0.00335693359375,0.31219482421875,False,16,-0.0094060443015032,negligible
cat,ptest_dc,42.0,0.19281005859375,1.0,False,16,-0.0011808462991881536,negligible
cat,ptest_pc,53.0,0.4637451171875,1.0,False,16,-2.8127998102518905e-05,negligible
cat,ptest_rdc,42.0,0.19281005859375,1.0,False,16,0.001633277265300888,negligible
cat,r_cforest,20.0,0.010986328125,0.9228515625,False,16,-0.05269151281925271,negligible
cat,r_ctree,0.0,3.0517578125e-05,0.003662109375,True,16,-0.09520137394773225,negligible
cat,rf,50.0,0.375457763671875,1.0,False,16,-0.003952633874867088,negligible
cat,rfe,55.0,0.528167724609375,1.0,False,16,-0.01658129665645784,negligible
cat,xgb,8.0,0.000762939453125,0.0823974609375,False,16,-0.07243129618953921,negligible
cif,cit,39.0,0.14385986328125,1.0,False,16,0.012840120586722126,negligible
cif,cpi,30.0,0.0506591796875,1.0,False,16,-0.04913678963257592,negligible
cif,et,32.0,0.065399169921875,1.0,False,16,0.009144919429960851,negligible
cif,lgbm,42.0,0.19281005859375,1.0,False,16,-0.013056555203132383,negligible
cif,pi,65.0,0.899932861328125,1.0,False,16,-0.00677736184065712,negligible
cif,ptest_dc,52.0,0.433197021484375,1.0,False,16,0.0015021287841651592,negligible
cif,ptest_pc,61.0,0.743560791015625,1.0,False,16,0.0026602024881298525,negligible
cif,ptest_rdc,64.0,0.860260009765625,1.0,False,16,0.004325784248078948,negligible
cif,r_cforest,1.0,6.103515625e-05,0.00714111328125,True,16,-0.05022327757471551,negligible
cif,r_ctree,0.0,3.0517578125e-05,0.003662109375,True,16,-0.09297181919069988,negligible
cif,rf,50.0,0.375457763671875,1.0,False,16,-0.0012819378124709112,negligible
cif,rfe,67.0,0.979949951171875,1.0,False,16,-0.013971172432701245,negligible
cif,xgb,16.0,0.005157470703125,0.469329833984375,False,16,-0.07018309257815533,negligible
cit,cpi,56.0,0.5618896484375,1.0,False,16,-0.060584382210073034,negligible
cit,et,48.0,0.322509765625,1.0,False,16,-0.003866208577418134,negligible
cit,lgbm,51.0,0.40374755859375,1.0,False,16,-0.025564954839328562,negligible
cit,pi,45.0,0.252227783203125,1.0,False,16,-0.019394053219272935,negligible
cit,ptest_dc,41.0,0.17535400390625,1.0,False,16,-0.011334870827199708,negligible
cit,ptest_pc,44.0,0.231201171875,1.0,False,16,-0.010196930848126402,negligible
cit,ptest_rdc,35.0,0.09344482421875,1.0,False,16,-0.008543690402757416,negligible
cit,r_cforest,21.0,0.013092041015625,1.0,False,16,-0.06226498112733027,negligible
cit,r_ctree,12.0,0.00213623046875,0.20721435546875,False,16,-0.1040233708878269,negligible
cit,rf,42.0,0.19281005859375,1.0,False,16,-0.014073290649707894,negligible
cit,rfe,42.0,0.19281005859375,1.0,False,16,-0.02653156730641696,negligible
cit,xgb,37.0,0.116668701171875,1.0,False,16,-0.08122579852823303,negligible
cpi,et,21.0,0.013092041015625,1.0,False,16,0.057829284046489696,negligible
cpi,lgbm,34.0,0.083251953125,1.0,False,16,0.036373205366130944,negligible
cpi,pi,16.0,0.005157470703125,0.469329833984375,False,16,0.04234592896153466,negligible
cpi,ptest_dc,59.0,0.668548583984375,1.0,False,16,0.050463081092634726,negligible
cpi,ptest_pc,60.0,0.705718994140625,1.0,False,16,0.051560275018572896,negligible
cpi,ptest_rdc,43.0,0.21142578125,1.0,False,16,0.05308357377113386,negligible
cpi,r_cforest,26.0,0.02899169921875,1.0,False,16,0.0015438028847442086,negligible
cpi,r_ctree,35.0,0.09344482421875,1.0,False,16,-0.04100790345972197,negligible
cpi,rf,11.0,0.001678466796875,0.16448974609375,False,16,0.04783329252380312,negligible
cpi,rfe,30.0,0.0506591796875,1.0,False,16,0.035744611302562256,negligible
cpi,xgb,39.0,0.14385986328125,1.0,False,16,-0.020677834812300944,negligible
et,lgbm,29.0,0.0443115234375,1.0,False,16,-0.022129312614148047,negligible
et,pi,38.0,0.129730224609375,1.0,False,16,-0.015847810128833725,negligible
et,ptest_dc,48.0,0.322509765625,1.0,False,16,-0.007620134465606106,negligible
et,ptest_pc,54.0,0.49542236328125,1.0,False,16,-0.006461129154648881,negligible
et,ptest_rdc,34.0,0.083251953125,1.0,False,16,-0.004782063150009325,negligible
et,r_cforest,10.0,0.001312255859375,0.136474609375,False,16,-0.0594300013161989,negligible
et,r_ctree,0.0,3.0517578125e-05,0.003662109375,True,16,-0.1018773304090079,negligible
et,rf,62.0,0.781951904296875,1.0,False,16,-0.010408304830139213,negligible
et,rfe,57.0,0.596588134765625,1.0,False,16,-0.023096008296343302,negligible
et,xgb,12.0,0.00213623046875,0.20721435546875,False,16,-0.07878895143671927,negligible
lgbm,pi,60.0,0.705718994140625,1.0,False,16,0.006229026357671654,negligible
lgbm,ptest_dc,52.0,0.433197021484375,1.0,False,16,0.014516077889292453,negligible
lgbm,ptest_pc,49.0,0.348388671875,1.0,False,16,0.015663850375929614,negligible
lgbm,ptest_rdc,50.0,0.375457763671875,1.0,False,16,0.017298081313062007,negligible
lgbm,r_cforest,16.0,0.005157470703125,0.469329833984375,False,16,-0.03670960962364596,negligible
lgbm,r_ctree,15.0,0.004180908203125,0.3846435546875,False,16,-0.07962591802008301,negligible
lgbm,rf,39.0,0.14385986328125,1.0,False,16,0.011759229190804446,negligible
lgbm,rfe,41.0,0.17535400390625,1.0,False,16,-0.0008355018277229687,negligible
lgbm,xgb,13.0,0.002685546875,0.25244140625,False,16,-0.057418273104614,negligible
pi,ptest_dc,68.0,1.0,1.0,False,16,0.00825126265950908,negligible
pi,ptest_pc,65.0,0.899932861328125,1.0,False,16,0.009399352536493934,negligible
pi,ptest_rdc,60.0,0.705718994140625,1.0,False,16,0.011041949899798335,negligible
pi,r_cforest,24.0,0.021392822265625,1.0,False,16,-0.043017326224724685,negligible
pi,r_ctree,12.0,0.00213623046875,0.20721435546875,False,16,-0.0857291040637812,negligible
pi,rf,49.0,0.348388671875,1.0,False,16,0.005492433131372229,negligible
pi,rfe,43.0,0.21142578125,1.0,False,16,-0.007098221259561493,negligible
pi,xgb,19.0,0.009185791015625,0.78997802734375,False,16,-0.06333006291239857,negligible
ptest_dc,ptest_pc,48.0,0.322509765625,1.0,False,16,0.0011553897504820328,negligible
ptest_dc,ptest_rdc,53.0,0.4637451171875,1.0,False,16,0.0028190907336746655,negligible
ptest_dc,r_cforest,3.0,0.000152587890625,0.017547607421875,True,16,-0.05161858322785758,negligible
ptest_dc,r_ctree,7.0,0.000579833984375,0.06378173828125,False,16,-0.09424186548364302,negligible
ptest_dc,rf,41.0,0.17535400390625,1.0,False,16,-0.002777945568007362,negligible
ptest_dc,rfe,68.0,1.0,1.0,False,16,-0.015436624511630024,negligible
ptest_dc,xgb,19.0,0.009185791015625,0.78997802734375,False,16,-0.07145755433311532,negligible
ptest_pc,ptest_rdc,68.0,1.0,1.0,False,16,0.0016652210920295029,negligible
ptest_pc,r_cforest,1.0,6.103515625e-05,0.00714111328125,True,16,-0.05277959648232724,negligible
ptest_pc,r_ctree,5.0,0.00030517578125,0.0341796875,True,16,-0.09536202888482585,negligible
ptest_pc,rf,52.0,0.433197021484375,1.0,False,16,-0.003933569828077705,negligible
ptest_pc,rfe,68.0,1.0,1.0,False,16,-0.01659081174707101,negligible
ptest_pc,xgb,24.0,0.021392822265625,1.0,False,16,-0.07254233008971232,negligible
ptest_rdc,r_cforest,3.0,0.000152587890625,0.017547607421875,True,16,-0.054386732102420475,negligible
ptest_rdc,r_ctree,7.0,0.000579833984375,0.06378173828125,False,16,-0.09686956227894815,negligible
ptest_rdc,rf,41.0,0.17535400390625,1.0,False,16,-0.005593968357766391,negligible
ptest_rdc,rfe,68.0,1.0,1.0,False,16,-0.01823289675132218,negligible
ptest_rdc,xgb,18.0,0.00762939453125,0.66375732421875,False,16,-0.07402755268228275,negligible
r_cforest,r_ctree,39.0,0.14385986328125,1.0,False,16,-0.04452219232372757,negligible
r_cforest,rf,8.0,0.000762939453125,0.0823974609375,False,16,0.04883714630305774,negligible
r_cforest,rfe,8.0,0.000762939453125,0.0823974609375,False,16,0.03605715382305916,negligible
r_cforest,xgb,27.0,0.033538818359375,1.0,False,16,-0.023148938004839262,negligible
r_ctree,rf,10.0,0.001312255859375,0.136474609375,False,16,0.09156458722458245,negligible
r_ctree,rfe,10.0,0.001312255859375,0.136474609375,False,16,0.07918354314964737,negligible
r_ctree,xgb,26.0,0.02899169921875,1.0,False,16,0.019599483220351457,negligible
rf,rfe,55.0,0.528167724609375,1.0,False,16,-0.012664626495728214,negligible
rf,xgb,10.0,0.001312255859375,0.136474609375,False,16,-0.06886065339089764,negligible
rfe,xgb,10.0,0.001312255859375,0.136474609375,False,16,-0.05688641132514344,negligible
