method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,10.0,0.001312255859375,0.1312255859375,False,16,-0.31912827064803284,small
boruta,cif,27.0,0.033538818359375,1.0,False,16,-0.2161658841435322,small
boruta,cit,65.0,0.899932861328125,1.0,False,16,0.23077416918547677,small
boruta,cpi,60.0,0.705718994140625,1.0,False,16,0.23772403054917787,small
boruta,et,14.0,0.00335693359375,0.322265625,False,16,-0.294723715663175,small
boruta,lgbm,40.0,0.1590576171875,1.0,False,16,0.11002938568543237,negligible
boruta,pi,52.0,0.433197021484375,1.0,False,16,0.058656041034176556,negligible
boruta,ptest_dc,51.0,0.40374755859375,1.0,False,16,0.04860531921302899,negligible
boruta,ptest_pc,47.0,0.2978515625,1.0,False,16,-0.06962241407059229,negligible
boruta,ptest_rdc,43.0,0.21142578125,1.0,False,16,0.009851324141412588,negligible
boruta,r_cforest,12.0,0.00213623046875,0.21148681640625,False,16,0.37129954667163834,small
boruta,r_ctree,5.0,0.00030517578125,0.03387451171875,True,16,0.3101563618809929,small
boruta,rf,7.0,0.000579833984375,0.062042236328125,False,16,-0.2338161337653978,small
boruta,rfe,12.0,0.00213623046875,0.21148681640625,False,16,-0.3573469989649838,small
boruta,xgb,53.0,0.4637451171875,1.0,False,16,-0.20427970803056533,small
cat,cif,30.0,0.0506591796875,1.0,False,16,0.14538440978290118,negligible
cat,cit,15.0,0.004180908203125,0.388824462890625,False,16,0.4362054837950132,small
cat,cpi,8.0,0.000762939453125,0.079345703125,False,16,0.3554205065198542,small
cat,et,46.0,0.274444580078125,1.0,False,16,0.03763683126799242,negligible
cat,lgbm,9.0,0.001007080078125,0.101715087890625,False,16,0.3113567461691649,small
cat,pi,17.0,0.00628662109375,0.57208251953125,False,16,0.30874893165932465,small
cat,ptest_dc,21.0,0.013092041015625,1.0,False,16,0.3710549456793431,small
cat,ptest_pc,26.0,0.02899169921875,1.0,False,16,0.2939483217634979,small
cat,ptest_rdc,22.0,0.0155029296875,1.0,False,16,0.34307609715321263,small
cat,r_cforest,5.0,0.00030517578125,0.03387451171875,True,16,0.4559107095862671,small
cat,r_ctree,1.0,6.103515625e-05,0.0072021484375,True,16,0.6659077768786519,medium
cat,rf,24.0,0.021392822265625,1.0,False,16,0.11612118284298989,negligible
