method,avg_rank,std_rank,cd
cat,4.625,3.0998991919093113,5.766886971664383
rf,5.0625,2.1928505991061042,5.766886971664383
rfe,5.125,4.470388685561916,5.766886971664383
et,5.5,2.345207879911715,5.766886971664383
cif,7.25,2.277608394786075,5.766886971664383
pi,7.4375,3.904624661859319,5.766886971664383
ptest_pc,7.5625,4.061538347719987,5.766886971664383
ptest_rdc,7.6875,3.617988909601576,5.766886971664383
ptest_dc,8.125,3.7228181529588578,5.766886971664383
lgbm,8.9375,3.091697551507909,5.766886971664383
boruta,9.875,3.9823830805184977,5.766886971664383
cpi,9.9375,4.943034872424025,5.766886971664383
cit,10.1875,4.347682572359671,5.766886971664383
xgb,11.3125,4.726504390138658,5.766886971664383
r_cforest,13.1875,4.17161164899131,5.766886971664383
r_ctree,14.1875,2.6272311946229627,5.766886971664383
