method,avg_rank,std_rank,cd
cat,4.4375,2.621277121938846,5.766886971664383
rfe,5.0625,4.160359810160655,5.766886971664383
et,5.4375,3.334830392988525,5.766886971664383
rf,5.75,2.48746859276655,5.766886971664383
cif,6.8125,2.5792137852454187,5.766886971664383
pi,6.875,3.838538133196022,5.766886971664383
ptest_rdc,7.625,3.370367190678191,5.766886971664383
ptest_pc,7.75,4.3084219849035215,5.766886971664383
ptest_dc,8.25,3.5089172119045497,5.766886971664383
lgbm,9.4375,3.278123510485839,5.766886971664383
cpi,9.75,4.548351349665063,5.766886971664383
boruta,9.875,3.9666579131556077,5.766886971664383
cit,10.3125,4.311594107751795,5.766886971664383
xgb,11.1875,4.939872847553872,5.766886971664383
r_cforest,13.625,3.6550478793033614,5.766886971664383
r_ctree,13.8125,3.1467989687935263,5.766886971664383
