method,avg_rank,std_rank,cd
cat,4.3125,2.8661548719495253,5.766886971664383
et,5.125,2.5708704751503917,5.766886971664383
rfe,5.375,4.357106264483344,5.766886971664383
rf,5.75,2.6339134382131846,5.766886971664383
cif,6.9375,2.633171804117612,5.766886971664383
pi,7.0625,4.1453098496976075,5.766886971664383
ptest_pc,7.8125,4.156602428666951,5.766886971664383
ptest_rdc,7.8125,3.0866395562164364,5.766886971664383
ptest_dc,8.1875,3.694907813464363,5.766886971664383
lgbm,9.1875,3.3018697354680726,5.766886971664383
boruta,9.75,4.0697051490249265,5.766886971664383
cpi,10.0,4.55521678957215,5.766886971664383
cit,10.375,4.328322423295196,5.766886971664383
xgb,11.5625,4.716576486181476,5.766886971664383
r_cforest,13.1875,4.096015594452736,5.766886971664383
r_ctree,13.5625,3.4815361193013636,5.766886971664383
