method,r2_mean,r2_ci_lo,r2_ci_hi,r2_formatted,mse_mean,mse_ci_lo,mse_ci_hi,mse_formatted,mae_mean,mae_ci_lo,mae_ci_hi,mae_formatted
boruta,0.23141985412824606,-0.1866973012219488,0.5136501194178482,"0.231 [-0.187, 0.514]",1258052.4501154001,12137.984023830772,3483598.8659025766,"1258052.450 [12137.984, 3483598.866]",266.5218728782967,43.48512075407519,601.8660543187054,"266.522 [43.485, 601.866]"
cat,0.42502419013352855,0.2572462575134129,0.5714572966735421,"0.425 [0.257, 0.571]",1201890.7366800457,11393.444977661038,3352908.6690214383,"1201890.737 [11393.445, 3352908.669]",254.28266145820254,40.75262265152963,580.9957700284393,"254.283 [40.753, 580.996]"
cif,0.36876214554882386,0.15603306176610948,0.5491869938394386,"0.369 [0.156, 0.549]",1195174.3183761737,11498.082586763923,3318275.3826331277,"1195174.318 [11498.083, 3318275.383]",255.865126845688,40.44086720028684,585.680902342336,"255.865 [40.441, 585.681]"
cit,-0.04134130033019934,-0.8403560739492272,0.49985592904427106,"-0.041 [-0.840, 0.500]",1284970.0084404598,11882.655721068106,3621563.953077853,"1284970.008 [11882.656, 3621563.953]",248.23599640304164,39.90000080763821,574.0085168765027,"248.236 [39.900, 574.009]"
cpi,-0.2096827880737987,-1.4996849588280339,0.5222614138141177,"-0.210 [-1.500, 0.522]",1452492.6837084906,11556.710005901019,4078477.688368345,"1452492.684 [11556.710, 4078477.688]",287.17066720523076,42.39959938734301,658.4599085299393,"287.171 [42.400, 658.460]"
et,0.411922740794888,0.2351226868491155,0.5681442787059846,"0.412 [0.235, 0.568]",1139155.8656447479,11411.284907638697,3165105.299420137,"1139155.866 [11411.285, 3165105.299]",250.5193643425447,39.694613617467176,575.4183591351557,"250.519 [39.695, 575.418]"
lgbm,0.10568515233221276,-0.6299040669458299,0.5463169640871423,"0.106 [-0.630, 0.546]",1278497.0490604455,11478.426073514722,3556358.3674225993,"1278497.049 [11478.426, 3556358.367]",263.67108288930535,41.206810175614144,606.0314161506999,"263.671 [41.207, 606.031]"
pi,0.1755664316068322,-0.39372640618308347,0.5422140884526729,"0.176 [-0.394, 0.542]",1219486.9947050991,11392.11292398834,3392797.181775207,"1219486.995 [11392.113, 3392797.182]",259.90157580638464,41.34011883923228,594.578381322278,"259.902 [41.340, 594.578]"
ptest_dc,0.19231637073315053,-0.24604707075870597,0.5208561320502083,"0.192 [-0.246, 0.521]",1209577.5407045973,11376.455159481699,3363348.1919514704,"1209577.541 [11376.455, 3363348.192]",254.98034473262962,38.5829231185877,582.402327578436,"254.980 [38.583, 582.402]"
ptest_pc,0.2804449323078865,-0.04177485736756976,0.524878106874309,"0.280 [-0.042, 0.525]",1180578.0120329564,11362.625217523251,3276283.731700977,"1180578.012 [11362.625, 3276283.732]",254.29926932805893,38.09776565062572,579.4786083179725,"254.299 [38.098, 579.479]"
ptest_rdc,0.2238022489036254,-0.17473308864697237,0.5252810011968541,"0.224 [-0.175, 0.525]",1207443.0930838373,11396.017470337716,3361286.724222952,"1207443.093 [11396.017, 3361286.724]",253.3179737806022,37.90329860174155,581.7614717787671,"253.318 [37.903, 581.761]"
r_cforest,-0.7184461385483324,-2.5865422862755207,0.3507866240272874,"-0.718 [-2.587, 0.351]",1289844.4317762805,16074.653161512471,3509620.822083812,"1289844.432 [16074.653, 3509620.822]",286.16546601773604,50.81305008589965,616.3259893003222,"286.165 [50.813, 616.326]"
r_ctree,-0.033056223139265206,-0.5203216022480864,0.3041629486693549,"-0.033 [-0.520, 0.304]",1363917.4739635056,17629.86458968864,3661193.1098285993,"1363917.474 [17629.865, 3661193.110]",315.2044610993629,51.456765586213315,676.207525840172,"315.204 [51.457, 676.208]"
rf,0.38003712250769317,0.1640167367872191,0.5579968063383172,"0.380 [0.164, 0.558]",1214579.4029391771,11370.501904668334,3378100.0236928174,"1214579.403 [11370.502, 3378100.024]",256.6212747421661,41.169219139702676,585.9352159630555,"256.621 [41.169, 585.935]"
rfe,0.4445453545097506,0.2959903329268418,0.5778473914493217,"0.445 [0.296, 0.578]",1228489.8691713498,11381.773955442588,3395679.481705611,"1228489.869 [11381.774, 3395679.482]",264.17610281151366,40.82447300827871,595.1029798381879,"264.176 [40.824, 595.103]"
xgb,0.35464815663983246,0.1906753230720407,0.4973843260111338,"0.355 [0.191, 0.497]",1590451.6767742103,12268.174493770117,4422797.336081543,"1590451.677 [12268.174, 4422797.336]",301.5523248734382,44.11295402595766,700.7332751289434,"301.552 [44.113, 700.733]"
