method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,17.0,0.00628662109375,0.49664306640625,False,16,0.008663414321306125,negligible
boruta,cif,22.0,0.0155029296875,1.0,False,16,0.005953763739061384,negligible
boruta,cit,59.0,0.668548583984375,1.0,False,16,0.009351657392148978,negligible
boruta,cpi,67.0,0.979949951171875,1.0,False,16,-0.013974341048569894,negligible
boruta,et,9.0,0.001007080078125,0.09466552734375,False,16,0.013824776736625447,negligible
boruta,lgbm,34.0,0.083251953125,1.0,False,16,0.0001637247502815936,negligible
boruta,pi,52.0,0.433197021484375,1.0,False,16,0.004247358384571615,negligible
boruta,ptest_dc,18.0,0.00762939453125,0.5950927734375,False,16,0.00636132179062468,negligible
boruta,ptest_pc,16.0,0.005157470703125,0.417755126953125,False,16,0.007960441559440746,negligible
boruta,ptest_rdc,42.0,0.19281005859375,1.0,False,16,0.006193102627950357,negligible
boruta,r_cforest,14.0,0.00335693359375,0.28533935546875,False,16,-0.024849205244163744,negligible
boruta,r_ctree,10.0,0.001312255859375,0.119415283203125,False,16,-0.045538844316613536,negligible
boruta,rf,5.0,0.00030517578125,0.03173828125,True,16,0.007600612459870743,negligible
boruta,rfe,13.0,0.002685546875,0.23095703125,False,16,0.0025136185206544328,negligible
boruta,xgb,30.0,0.0506591796875,1.0,False,16,-0.02434799552829287,negligible
cat,cif,42.0,0.19281005859375,1.0,False,16,-0.002717922146124999,negligible
cat,cit,38.0,0.129730224609375,1.0,False,16,0.0006884573382693032,negligible
cat,cpi,5.0,0.00030517578125,0.03173828125,True,16,-0.022424760868007286,negligible
cat,et,57.0,0.596588134765625,1.0,False,16,0.00510696067845842,negligible
cat,lgbm,31.0,0.05767822265625,1.0,False,16,-0.00843794256477128,negligible
cat,pi,7.0,0.000579833984375,0.056243896484375,False,16,-0.004383266877271037,negligible
cat,ptest_dc,53.0,0.4637451171875,1.0,False,16,-0.0023053650837086214,negligible
cat,ptest_pc,54.0,0.49542236328125,1.0,False,16,-0.0007232650475131549,negligible
cat,ptest_rdc,32.0,0.065399169921875,1.0,False,16,-0.002455095207319526,negligible
cat,r_cforest,8.0,0.000762939453125,0.0732421875,False,16,-0.033482652692737994,negligible
cat,r_ctree,0.0,3.0517578125e-05,0.003662109375,True,16,-0.0540838685300085,negligible
cat,rf,51.0,0.40374755859375,1.0,False,16,-0.0010705189157648582,negligible
cat,rfe,62.0,0.781951904296875,1.0,False,16,-0.006150541662069721,negligible
cat,xgb,3.0,0.000152587890625,0.016937255859375,True,16,-0.03277094371068717,negligible
cif,cit,45.0,0.252227783203125,1.0,False,16,0.0034069730080956277,negligible
cif,cpi,32.0,0.065399169921875,1.0,False,16,-0.019794218967085837,negligible
cif,et,25.0,0.02496337890625,1.0,False,16,0.007847027602050197,negligible
cif,lgbm,43.0,0.21142578125,1.0,False,16,-0.005747442012773382,negligible
cif,pi,66.0,0.93988037109375,1.0,False,16,-0.0016798532073226398,negligible
cif,ptest_dc,52.0,0.433197021484375,1.0,False,16,0.00041137802920425886,negligible
cif,ptest_pc,59.0,0.668548583984375,1.0,False,16,0.0020003619765585883,negligible
cif,ptest_rdc,62.0,0.781951904296875,1.0,False,16,0.0002556815814213217,negligible
cif,r_cforest,1.0,6.103515625e-05,0.00714111328125,True,16,-0.030805452979733635,negligible
cif,r_ctree,0.0,3.0517578125e-05,0.003662109375,True,16,-0.05145217196215453,negligible
cif,rf,40.0,0.1590576171875,1.0,False,16,0.0016488091155206423,negligible
cif,rfe,50.0,0.375457763671875,1.0,False,16,-0.003438266737939074,negligible
cif,xgb,11.0,0.001678466796875,0.147705078125,False,16,-0.030158012023230794,negligible
cit,cpi,59.0,0.668548583984375,1.0,False,16,-0.02309567546073114,negligible
