method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,21.0,0.013092041015625,1.0,False,16,0.004856231162488429,negligible
boruta,cif,26.0,0.02899169921875,1.0,False,16,0.0026182545963154146,negligible
boruta,cit,51.0,0.40374755859375,1.0,False,16,0.0006125951135602465,negligible
boruta,cpi,63.0,0.820892333984375,1.0,False,16,-0.015417944240887924,negligible
boruta,et,14.0,0.00335693359375,0.32562255859375,False,16,0.009906158183110603,negligible
boruta,lgbm,37.0,0.116668701171875,1.0,False,16,-0.003824332982086413,negligible
boruta,pi,56.0,0.5618896484375,1.0,False,16,0.0015765007605002702,negligible
boruta,ptest_dc,36.0,0.104583740234375,1.0,False,16,-0.0008717669349159286,negligible
boruta,ptest_pc,20.0,0.010986328125,0.933837890625,False,16,0.0027496945879613324,negligible
boruta,ptest_rdc,43.0,0.21142578125,1.0,False,16,-0.00021955304714595719,negligible
boruta,r_cforest,5.0,0.00030517578125,0.03265380859375,True,16,-0.007216764574600474,negligible
boruta,r_ctree,27.0,0.033538818359375,1.0,False,16,-0.011031331548375949,negligible
boruta,rf,7.0,0.000579833984375,0.059722900390625,False,16,0.0020274523001011114,negligible
boruta,rfe,23.0,0.01824951171875,1.0,False,16,0.0018788607997061212,negligible
boruta,xgb,24.0,0.021392822265625,1.0,False,16,-0.021997910376011565,negligible
cat,cif,32.0,0.065399169921875,1.0,False,16,-0.0022367445846500494,negligible
cat,cit,38.0,0.129730224609375,1.0,False,16,-0.004221037885428497,negligible
cat,cpi,7.0,0.000579833984375,0.059722900390625,False,16,-0.02019097067234836,negligible
cat,et,65.0,0.899932861328125,1.0,False,16,0.005031560872816264,negligible
cat,lgbm,22.0,0.0155029296875,1.0,False,16,-0.008653456224684126,negligible
cat,pi,6.0,0.00042724609375,0.04443359375,True,16,-0.0032697729913328277,negligible
cat,ptest_dc,28.0,0.03863525390625,1.0,False,16,-0.005715187199192384,negligible
cat,ptest_pc,38.0,0.129730224609375,1.0,False,16,-0.002107783474477983,negligible
cat,ptest_rdc,36.0,0.104583740234375,1.0,False,16,-0.0050641530410288306,negligible
cat,r_cforest,1.0,6.103515625e-05,0.0072021484375,True,16,-0.012077346471821475,negligible
cat,r_ctree,10.0,0.001312255859375,0.1312255859375,False,16,-0.015963863846022663,negligible
cat,rf,53.0,0.4637451171875,1.0,False,16,-0.002820204307903928,negligible
cat,rfe,56.0,0.5618896484375,1.0,False,16,-0.00298182184915365,negligible
cat,xgb,3.0,0.000152587890625,0.01678466796875,True,16,-0.026786305917475658,negligible
cif,cit,27.0,0.033538818359375,1.0,False,16,-0.001993695691758783,negligible
cif,cpi,53.0,0.4637451171875,1.0,False,16,-0.017987961363826153,negligible
cif,et,30.0,0.0506591796875,1.0,False,16,0.007275495946745332,negligible
cif,lgbm,39.0,0.14385986328125,1.0,False,16,-0.00642711174279917,negligible
cif,pi,63.0,0.820892333984375,1.0,False,16,-0.00103681055687596,negligible
cif,ptest_dc,64.0,0.860260009765625,1.0,False,16,-0.0034829356693918765,negligible
cif,ptest_pc,59.0,0.668548583984375,1.0,False,16,0.00013007691496616172,negligible
cif,ptest_rdc,63.0,0.820892333984375,1.0,False,16,-0.0028315167188627177,negligible
cif,r_cforest,1.0,6.103515625e-05,0.0072021484375,True,16,-0.00983556696780153,negligible
cif,r_ctree,15.0,0.004180908203125,0.4013671875,False,16,-0.01368770864149271,negligible
cif,rf,44.0,0.231201171875,1.0,False,16,-0.0005867143562790477,negligible
cif,rfe,56.0,0.5618896484375,1.0,False,16,-0.0007422546620186822,negligible
cif,xgb,8.0,0.000762939453125,0.077056884765625,False,16,-0.02457466438533317,negligible
cit,cpi,53.0,0.4637451171875,1.0,False,16,-0.015953865350178096,negligible
cit,et,34.0,0.083251953125,1.0,False,16,0.009244305091402186,negligible
cit,lgbm,59.0,0.668548583984375,1.0,False,16,-0.0044163078993405165,negligible
cit,pi,47.0,0.2978515625,1.0,False,16,0.0009578856547241377,negligible
cit,ptest_dc,33.0,0.07391357421875,1.0,False,16,-0.0014787919744354602,negligible
cit,ptest_pc,41.0,0.17535400390625,1.0,False,16,0.002124204003992532,negligible
cit,ptest_rdc,32.0,0.065399169921875,1.0,False,16,-0.0008297029201493484,negligible
cit,r_cforest,3.0,0.000152587890625,0.01678466796875,True,16,-0.00779714870095395,negligible
cit,r_ctree,19.0,0.009185791015625,0.799163818359375,False,16,-0.011602285652037898,negligible
cit,rf,39.0,0.14385986328125,1.0,False,16,0.0014065767114416778,negligible
cit,rfe,38.0,0.129730224609375,1.0,False,16,0.001257014452958509,negligible
cit,xgb,34.0,0.083251953125,1.0,False,16,-0.022508113782512815,negligible
cpi,et,20.0,0.010986328125,0.933837890625,False,16,0.02520507160357507,negligible
cpi,lgbm,52.0,0.433197021484375,1.0,False,16,0.011577597617722887,negligible
cpi,pi,5.0,0.00030517578125,0.03265380859375,True,16,0.016938497998878685,negligible
cpi,ptest_dc,50.0,0.375457763671875,1.0,False,16,0.014523237367770198,negligible
cpi,ptest_pc,49.0,0.348388671875,1.0,False,16,0.0181243768440882,negligible
cpi,ptest_rdc,57.0,0.596588134765625,1.0,False,16,0.015167942914225817,negligible
cpi,r_cforest,33.0,0.07391357421875,1.0,False,16,0.008334675556778243,negligible
cpi,r_ctree,44.0,0.231201171875,1.0,False,16,0.004798642000385203,negligible
cpi,rf,17.0,0.00628662109375,0.5657958984375,False,16,0.017385817120653926,negligible
cpi,rfe,37.0,0.116668701171875,1.0,False,16,0.01727782685022507,negligible
cpi,xgb,36.0,0.104583740234375,1.0,False,16,-0.0064326225246285175,negligible
et,lgbm,25.0,0.02496337890625,1.0,False,16,-0.013688157159863696,negligible
