method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,16.0,0.005157470703125,0.4332275390625,False,16,-0.1702630382384048,negligible
boruta,cif,21.0,0.013092041015625,0.9949951171875,False,16,-0.09227050249455802,negligible
boruta,cit,62.0,0.781951904296875,1.0,False,16,0.20887885710668078,small
boruta,cpi,60.0,0.705718994140625,1.0,False,16,0.24907049658577615,small
boruta,et,10.0,0.001312255859375,0.124664306640625,False,16,-0.2319874478359332,small
boruta,lgbm,54.0,0.49542236328125,1.0,False,16,0.21012586808820216,small
boruta,pi,60.0,0.705718994140625,1.0,False,16,0.04660670712962623,negligible
boruta,ptest_dc,52.0,0.433197021484375,1.0,False,16,0.042706511763553646,negligible
boruta,ptest_pc,35.0,0.09344482421875,1.0,False,16,-0.03789526272254417,negligible
boruta,ptest_rdc,55.0,0.528167724609375,1.0,False,16,0.0616604915630227,negligible
boruta,r_cforest,12.0,0.00213623046875,0.1922607421875,False,16,0.4493624178964918,small
boruta,r_ctree,3.0,0.000152587890625,0.017547607421875,True,16,0.5651697245653939,medium
boruta,rf,6.0,0.00042724609375,0.04571533203125,True,16,-0.19889162358246262,negligible
boruta,rfe,11.0,0.001678466796875,0.1544189453125,False,16,-0.26260895026347925,small
boruta,xgb,46.0,0.274444580078125,1.0,False,16,0.0328533988631249,negligible
cat,cif,39.0,0.14385986328125,1.0,False,16,0.07607525097719516,negligible
cat,cit,10.0,0.001312255859375,0.124664306640625,False,16,0.3274247954639436,small
cat,cpi,15.0,0.004180908203125,0.363739013671875,False,16,0.3310217306076337,small
cat,et,59.0,0.668548583984375,1.0,False,16,-0.06303101512930084,negligible
cat,lgbm,15.0,0.004180908203125,0.363739013671875,False,16,0.3240302693050934,small
cat,pi,7.0,0.000579833984375,0.059722900390625,False,16,0.18910019487137844,negligible
cat,ptest_dc,22.0,0.0155029296875,1.0,False,16,0.19694018722489573,negligible
cat,ptest_pc,27.0,0.033538818359375,1.0,False,16,0.12604087184007046,negligible
cat,ptest_rdc,25.0,0.02496337890625,1.0,False,16,0.20825712284159822,small
cat,r_cforest,5.0,0.00030517578125,0.03326416015625,True,16,0.5173142898350335,medium
cat,r_ctree,0.0,3.0517578125e-05,0.003662109375,True,16,0.7457398844927585,medium
cat,rf,66.0,0.93988037109375,1.0,False,16,-0.028177177764322398,negligible
cat,rfe,66.0,0.93988037109375,1.0,False,16,-0.09444700840827393,negligible
cat,xgb,10.0,0.001312255859375,0.124664306640625,False,16,0.21538701847566338,small
cif,cit,22.0,0.0155029296875,1.0,False,16,0.2737991463074744,small
cif,cpi,29.0,0.0443115234375,1.0,False,16,0.2946178000977294,small
cif,et,21.0,0.013092041015625,0.9949951171875,False,16,-0.1375418033834456,negligible
cif,lgbm,28.0,0.03863525390625,1.0,False,16,0.2726434038981172,small
cif,pi,59.0,0.668548583984375,1.0,False,16,0.12467811144477339,negligible
cif,ptest_dc,49.0,0.348388671875,1.0,False,16,0.12670953986171593,negligible
cif,ptest_pc,47.0,0.2978515625,1.0,False,16,0.05162671359188795,negligible
cif,ptest_rdc,57.0,0.596588134765625,1.0,False,16,0.14169850162979059,negligible
cif,r_cforest,6.0,0.00042724609375,0.04571533203125,True,16,0.48701756655805245,small
cif,r_ctree,1.0,6.103515625e-05,0.00714111328125,True,16,0.6586799629589805,medium
cif,rf,29.0,0.0443115234375,1.0,False,16,-0.10406873699891102,negligible
cif,rfe,44.0,0.231201171875,1.0,False,16,-0.16805149798241723,negligible
cif,xgb,4.0,0.000213623046875,0.02392578125,True,16,0.13072154378577314,negligible
cit,cpi,59.0,0.668548583984375,1.0,False,16,0.0888222539503511,negligible
cit,et,11.0,0.001678466796875,0.1544189453125,False,16,-0.36749515370156155,small
cit,lgbm,68.0,1.0,1.0,False,16,0.006904409322108366,negligible
cit,pi,21.0,0.013092041015625,0.9949951171875,False,16,-0.15699695791284576,negligible
cit,ptest_dc,37.0,0.116668701171875,1.0,False,16,-0.16812749543743238,negligible
cit,ptest_pc,33.0,0.07391357421875,1.0,False,16,-0.23342759312938902,small
cit,ptest_rdc,23.0,0.01824951171875,1.0,False,16,-0.14820629506021066,negligible
cit,r_cforest,19.0,0.009185791015625,0.71649169921875,False,16,0.30230905929800195,small
cit,r_ctree,27.0,0.033538818359375,1.0,False,16,0.220030311383189,small
cit,rf,16.0,0.005157470703125,0.4332275390625,False,16,-0.34628100433006925,small
cit,rfe,21.0,0.013092041015625,0.9949951171875,False,16,-0.3867795543457871,small
cit,xgb,61.0,0.743560791015625,1.0,False,16,-0.1911103149039629,negligible
cpi,et,21.0,0.013092041015625,0.9949951171875,False,16,-0.35795753700853095,small
cpi,lgbm,52.0,0.433197021484375,1.0,False,16,-0.08210435290525628,negligible
cpi,pi,17.0,0.00628662109375,0.50921630859375,False,16,-0.2122570149160398,small
cpi,ptest_dc,52.0,0.433197021484375,1.0,False,16,-0.2203609106893692,small
cpi,ptest_pc,40.0,0.1590576171875,1.0,False,16,-0.266778436240793,small
cpi,ptest_rdc,37.0,0.116668701171875,1.0,False,16,-0.20576271042803895,small
cpi,r_cforest,15.0,0.004180908203125,0.363739013671875,False,16,0.2013263008946432,small
cpi,r_ctree,35.0,0.09344482421875,1.0,False,16,0.0660071801993586,negligible
cpi,rf,17.0,0.00628662109375,0.50921630859375,False,16,-0.3435904646699293,small
cpi,rfe,25.0,0.02496337890625,1.0,False,16,-0.3707456926626675,small
cpi,xgb,45.0,0.252227783203125,1.0,False,16,-0.23608510565378585,small
et,lgbm,23.0,0.01824951171875,1.0,False,16,0.36237772599988155,small
et,pi,24.0,0.021392822265625,1.0,False,16,0.2387481577417285,small
et,ptest_dc,17.0,0.00628662109375,0.50921630859375,False,16,0.2514618712989924,small
et,ptest_pc,19.0,0.009185791015625,0.71649169921875,False,16,0.18514757367157803,negligible
et,ptest_rdc,21.0,0.013092041015625,0.9949951171875,False,16,0.25953796647322963,small
et,r_cforest,6.0,0.00042724609375,0.04571533203125,True,16,0.5394493366535242,medium
et,r_ctree,0.0,3.0517578125e-05,0.003662109375,True,16,0.8094791937968198,large
et,rf,53.0,0.4637451171875,1.0,False,16,0.03536523556399889,negligible
et,rfe,54.0,0.49542236328125,1.0,False,16,-0.03145398502982988,negligible
et,xgb,7.0,0.000579833984375,0.059722900390625,False,16,0.2825245185027327,small
lgbm,pi,40.0,0.1590576171875,1.0,False,16,-0.1602003289242506,negligible
lgbm,ptest_dc,37.0,0.116668701171875,1.0,False,16,-0.17092092708104364,negligible
lgbm,ptest_pc,40.0,0.1590576171875,1.0,False,16,-0.23387786979254185,small
lgbm,ptest_rdc,41.0,0.17535400390625,1.0,False,16,-0.15165669928212214,negligible
lgbm,r_cforest,12.0,0.00213623046875,0.1922607421875,False,16,0.29460798273126476,small
lgbm,r_ctree,39.0,0.14385986328125,1.0,False,16,0.20553851925011615,small
lgbm,rf,9.0,0.001007080078125,0.09869384765625,False,16,-0.3420515028816874,small
lgbm,rfe,26.0,0.02899169921875,1.0,False,16,-0.3807959576896994,small
lgbm,xgb,32.0,0.065399169921875,1.0,False,16,-0.1928782418067536,negligible
pi,ptest_dc,57.0,0.596588134765625,1.0,False,16,-0.006290376380974786,negligible
pi,ptest_pc,57.0,0.596588134765625,1.0,False,16,-0.07817309378258261,negligible
pi,ptest_rdc,55.0,0.528167724609375,1.0,False,16,0.012419348276407328,negligible
pi,r_cforest,9.0,0.001007080078125,0.09869384765625,False,16,0.4145880880583676,small
pi,r_ctree,5.0,0.00030517578125,0.03326416015625,True,16,0.45300742250664094,small
pi,rf,29.0,0.0443115234375,1.0,False,16,-0.2121589931992423,small
pi,rfe,28.0,0.03863525390625,1.0,False,16,-0.26291530566347143,small
pi,xgb,42.0,0.19281005859375,1.0,False,16,-0.020698454536255403,negligible
ptest_dc,ptest_pc,42.0,0.19281005859375,1.0,False,16,-0.07650880761170333,negligible
ptest_dc,ptest_rdc,54.0,0.49542236328125,1.0,False,16,0.01951184774036006,negligible
ptest_dc,r_cforest,7.0,0.000579833984375,0.059722900390625,False,16,0.4233675400176121,small
ptest_dc,r_ctree,9.0,0.001007080078125,0.09869384765625,False,16,0.4851627565621397,small
ptest_dc,rf,23.0,0.01824951171875,1.0,False,16,-0.22231627759272488,small
ptest_dc,rfe,34.0,0.083251953125,1.0,False,16,-0.27819381798362663,small
ptest_dc,xgb,43.0,0.21142578125,1.0,False,16,-0.014775535242800758,negligible
ptest_pc,ptest_rdc,64.0,0.860260009765625,1.0,False,16,0.09363967337593865,negligible
ptest_pc,r_cforest,7.0,0.000579833984375,0.059722900390625,False,16,0.46343519892356594,small
