method,avg_rank,std_rank,cd
rf,4.375,2.117634293262177,5.766886971664383
cat,4.6875,2.822205476218909,5.766886971664383
et,4.75,2.75,5.766886971664383
rfe,5.125,4.090767042988393,5.766886971664383
cif,7.3125,2.44230296032249,5.766886971664383
ptest_dc,7.625,3.887077951366553,5.766886971664383
ptest_pc,7.625,4.075460096725276,5.766886971664383
pi,7.6875,3.53055856062465,5.766886971664383
ptest_rdc,7.75,3.5089172119045497,5.766886971664383
lgbm,9.25,3.25,5.766886971664383
boruta,9.9375,3.7494791304926607,5.766886971664383
cit,10.0,4.623310502226732,5.766886971664383
cpi,10.375,4.688749833377763,5.766886971664383
xgb,11.75,3.881043674065006,5.766886971664383
r_cforest,13.625,3.6550478793033614,5.766886971664383
r_ctree,14.125,2.521780125229002,5.766886971664383
