method,avg_rank,std_rank,cd
cat,4.25,2.5860201081971503,5.766886971664383
et,4.6875,2.7775607554111215,5.766886971664383
rf,4.75,2.358495283014151,5.766886971664383
rfe,5.3125,4.118840097648851,5.766886971664383
cif,7.1875,2.530285309999645,5.766886971664383
ptest_pc,7.25,3.783186487605389,5.766886971664383
pi,7.5625,3.7578043788893534,5.766886971664383
ptest_rdc,7.6875,3.770257782963918,5.766886971664383
ptest_dc,8.125,3.4072532926097527,5.766886971664383
boruta,9.625,3.7728470681966426,5.766886971664383
lgbm,9.875,3.550968177835448,5.766886971664383
cit,10.0625,3.848193569715536,5.766886971664383
cpi,10.125,5.048205126577168,5.766886971664383
xgb,12.1875,3.5393987836919423,5.766886971664383
r_cforest,13.625,3.515590277606308,5.766886971664383
r_ctree,13.6875,3.686440525764657,5.766886971664383
