method,avg_rank,std_rank,cd
cat,3.25,1.920286436967152,8.155609768000478
rfe,4.125,3.7228181529588578,8.155609768000478
rf,4.625,1.7275343701356567,8.155609768000478
et,5.0,2.29128784747792,8.155609768000478
pi,6.25,4.235268586524354,8.155609768000478
ptest_pc,7.375,3.8709656418005056,8.155609768000478
ptest_rdc,7.375,2.8256636388643286,8.155609768000478
ptest_dc,7.5,2.8722813232690143,8.155609768000478
cpi,8.25,4.736823830374104,8.155609768000478
cif,9.0,1.118033988749895,8.155609768000478
lgbm,9.0,3.0,8.155609768000478
boruta,10.375,4.470388685561916,8.155609768000478
cit,10.75,2.7726341266023544,8.155609768000478
xgb,12.625,1.8666480653835098,8.155609768000478
r_cforest,14.75,0.82915619758885,8.155609768000478
r_ctree,15.75,0.4330127018922193,8.155609768000478
