method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,22.0,0.625,1.0,False,12,0.011957058076983414,negligible
boruta,cif,5.0,0.01953125,1.0,False,12,-0.04237246501858331,negligible
boruta,cit,24.0,0.76953125,1.0,False,12,-0.04810054187109708,negligible
boruta,cpi,14.0,0.193359375,1.0,False,12,-0.04747739272195394,negligible
boruta,et,17.0,0.322265625,1.0,False,12,0.07967192380739058,negligible
boruta,lgbm,11.0,0.203125,1.0,False,12,-0.030861132207794666,negligible
boruta,pi,21.0,0.556640625,1.0,False,12,0.002721807520346309,negligible
boruta,ptest_dc,11.0,0.203125,1.0,False,12,-0.0698396272370722,negligible
boruta,ptest_pc,10.0,0.083984375,1.0,False,12,-0.06353635865873734,negligible
boruta,ptest_rdc,4.0,0.02734375,1.0,False,12,-0.07105570168460626,negligible
boruta,r_cforest,3.0,0.00244140625,0.2880859375,False,12,-0.2792365510896117,small
boruta,r_ctree,4.0,0.013671875,1.0,False,12,-0.3074083760303979,small
boruta,rf,18.0,0.65234375,1.0,False,12,0.012437092140040379,negligible
boruta,rfe,20.0,0.4921875,1.0,False,12,-0.030731102854853563,negligible
boruta,xgb,0.0,0.00390625,0.44140625,False,12,-0.1538707367910856,negligible
cat,cif,14.0,0.359375,1.0,False,12,-0.0545199431343677,negligible
cat,cit,26.0,0.921875,1.0,False,12,-0.06144386973917162,negligible
cat,cpi,14.0,0.193359375,1.0,False,12,-0.06021261035664845,negligible
cat,et,20.0,0.4921875,1.0,False,12,0.06818512257717996,negligible
cat,lgbm,15.0,0.232421875,1.0,False,12,-0.0427151773997896,negligible
cat,pi,16.0,0.275390625,1.0,False,12,-0.00926885948252721,negligible
cat,ptest_dc,13.0,0.16015625,1.0,False,12,-0.08140786582889988,negligible
cat,ptest_pc,7.0,0.1484375,1.0,False,12,-0.07517330049548651,negligible
cat,ptest_rdc,6.0,0.02734375,1.0,False,12,-0.08260976173527677,negligible
cat,r_cforest,7.0,0.00927734375,1.0,False,12,-0.2904693252440982,small
cat,r_ctree,15.0,0.42578125,1.0,False,12,-0.3138589995315696,small
cat,rf,15.0,0.232421875,1.0,False,12,0.00047945642555093,negligible
cat,rfe,17.0,0.322265625,1.0,False,12,-0.042577646039226605,negligible
cat,xgb,13.0,0.15234375,1.0,False,12,-0.16379214458865574,negligible
cif,cit,21.0,0.91015625,1.0,False,12,-0.002238098000014408,negligible
cif,cpi,18.0,0.65234375,1.0,False,12,-0.0034016308945707344,negligible
cif,et,3.0,0.01953125,1.0,False,12,0.12214416801618655,negligible
cif,lgbm,27.0,1.0,1.0,False,12,0.010760729782242542,negligible
cif,pi,14.0,0.359375,1.0,False,12,0.04524058274772385,negligible
cif,ptest_dc,24.0,0.76953125,1.0,False,12,-0.02954635522059056,negligible
cif,ptest_pc,19.0,0.734375,1.0,False,12,-0.022965496269410912,negligible
cif,ptest_rdc,20.0,0.4921875,1.0,False,12,-0.030818572933827178,negligible
cif,r_cforest,4.0,0.00341796875,0.39306640625,False,12,-0.24150548388200724,small
cif,r_ctree,8.0,0.048828125,1.0,False,12,-0.28474408360115433,small
cif,rf,15.0,0.232421875,1.0,False,12,0.05500972401672295,negligible
cif,rfe,15.0,0.232421875,1.0,False,12,0.01086938046536287,negligible
cif,xgb,19.0,0.431640625,1.0,False,12,-0.11938587680524188,negligible
cit,cpi,12.0,0.25,1.0,False,12,-0.0013419297629918936,negligible
cit,et,11.0,0.203125,1.0,False,12,0.13716095638035627,negligible
cit,lgbm,26.0,0.921875,1.0,False,12,0.013750749837399294,negligible
cit,pi,19.0,0.734375,1.0,False,12,0.05126748130539802,negligible
cit,ptest_dc,25.0,0.845703125,1.0,False,12,-0.029305982039525846,negligible
cit,ptest_pc,24.0,0.76953125,1.0,False,12,-0.022329146599442403,negligible
cit,ptest_rdc,19.0,0.431640625,1.0,False,12,-0.030652312320564517,negligible
cit,r_cforest,1.0,0.0009765625,0.1171875,False,12,-0.24953826879659585,small
cit,r_ctree,4.0,0.013671875,1.0,False,12,-0.2881721084380573,small
cit,rf,25.0,0.845703125,1.0,False,12,0.0619845391231107,negligible
cit,rfe,25.0,0.845703125,1.0,False,12,0.013865566493545358,negligible
cit,xgb,18.0,0.375,1.0,False,12,-0.12248010747059342,negligible
cpi,et,10.0,0.1640625,1.0,False,12,0.13168782638320709,negligible
cpi,lgbm,24.0,0.76953125,1.0,False,12,0.014493175035926613,negligible
cpi,pi,10.0,0.1640625,1.0,False,12,0.050497216188089986,negligible
cpi,ptest_dc,21.0,0.556640625,1.0,False,12,-0.02723993801216402,negligible
cpi,ptest_pc,21.0,0.556640625,1.0,False,12,-0.02044789095639856,negligible
cpi,ptest_rdc,21.0,0.556640625,1.0,False,12,-0.028551961567626443,negligible
cpi,r_cforest,13.0,0.04248046875,1.0,False,12,-0.24350940290552606,small
cpi,r_ctree,18.0,0.375,1.0,False,12,-0.28527400236998324,small
cpi,rf,14.0,0.193359375,1.0,False,12,0.06072740984145044,negligible
cpi,rfe,22.0,0.625,1.0,False,12,0.014603774111188404,negligible
cpi,xgb,22.0,0.625,1.0,False,12,-0.11907457772963442,negligible
et,lgbm,15.5,0.2421875,1.0,False,12,-0.10869808226902508,negligible
et,pi,8.0,0.09765625,1.0,False,12,-0.07732637991853279,negligible
et,ptest_dc,13.0,0.16015625,1.0,False,12,-0.1445423532136651,negligible
et,ptest_pc,6.0,0.02734375,1.0,False,12,-0.13888714636756502,negligible
et,ptest_rdc,11.0,0.10546875,1.0,False,12,-0.14562785507224354,negligible
et,r_cforest,3.0,0.00244140625,0.2880859375,False,12,-0.3487633629214726,small
et,r_ctree,4.0,0.013671875,1.0,False,12,-0.34634352756595993,small
et,rf,14.0,0.193359375,1.0,False,12,-0.06772970054735733,negligible
et,rfe,17.0,0.322265625,1.0,False,12,-0.10851376873742373,negligible
et,xgb,0.0,0.001953125,0.232421875,False,12,-0.2157904878334285,small
lgbm,pi,26.0,0.921875,1.0,False,12,0.03363474738554769,negligible
lgbm,ptest_dc,15.0,0.42578125,1.0,False,12,-0.03940769771852412,negligible
lgbm,ptest_pc,11.0,0.10546875,1.0,False,12,-0.03297700716922148,negligible
lgbm,ptest_rdc,5.0,0.0390625,1.0,False,12,-0.04065080206481181,negligible
lgbm,r_cforest,7.0,0.00927734375,1.0,False,12,-0.24887217535136344,small
lgbm,r_ctree,13.0,0.16015625,1.0,False,12,-0.2895729262613755,small
lgbm,rf,8.0,0.09765625,1.0,False,12,0.04319218716484249,negligible
lgbm,rfe,19.0,0.431640625,1.0,False,12,0.00011196649765187834,negligible
lgbm,xgb,2.0,0.01171875,1.0,False,12,-0.12714855301052436,negligible
pi,ptest_dc,25.0,0.845703125,1.0,False,12,-0.07262097524970874,negligible
pi,ptest_pc,25.0,0.845703125,1.0,False,12,-0.06632334291003945,negligible
pi,ptest_rdc,21.0,0.556640625,1.0,False,12,-0.07383567204471118,negligible
pi,r_cforest,5.0,0.0048828125,0.546875,False,12,-0.28217721631408704,small
pi,r_ctree,9.0,0.064453125,1.0,False,12,-0.3090505154740673,small
pi,rf,11.0,0.10546875,1.0,False,12,0.009750175888221043,negligible
pi,rfe,20.0,0.4921875,1.0,False,12,-0.03350267371086261,negligible
pi,xgb,7.0,0.037109375,1.0,False,12,-0.15634407393188826,negligible
ptest_dc,ptest_pc,13.0,0.16015625,1.0,False,12,0.006499552175882492,negligible
ptest_dc,ptest_rdc,13.0,0.30078125,1.0,False,12,-0.001259404665515464,negligible
ptest_dc,r_cforest,8.0,0.01220703125,1.0,False,12,-0.20808165389526292,small
ptest_dc,r_ctree,11.5,0.111328125,1.0,False,12,-0.26455744914055945,small
ptest_dc,rf,14.0,0.359375,1.0,False,12,0.08187422306133955,negligible
ptest_dc,rfe,15.0,0.232421875,1.0,False,12,0.039499891307343,negligible
ptest_dc,xgb,9.0,0.12890625,1.0,False,12,-0.0912915254346358,negligible
ptest_pc,ptest_rdc,12.0,0.130859375,1.0,False,12,-0.007758458981128917,negligible
ptest_pc,r_cforest,8.0,0.01220703125,1.0,False,12,-0.2150168433938376,small
ptest_pc,r_ctree,8.0,0.09765625,1.0,False,12,-0.2688902848968186,small
ptest_pc,rf,14.0,0.193359375,1.0,False,12,0.07564234136483657,negligible
ptest_pc,rfe,12.0,0.130859375,1.0,False,12,0.03307225448112159,negligible
ptest_pc,xgb,19.0,0.416015625,1.0,False,12,-0.09734292003943322,negligible
ptest_rdc,r_cforest,17.0,0.09228515625,1.0,False,12,-0.20672857878796105,small
ptest_rdc,r_ctree,22.0,0.625,1.0,False,12,-0.2637077984474887,small
ptest_rdc,rf,10.0,0.1640625,1.0,False,12,0.08307556184809586,negligible
ptest_rdc,rfe,12.0,0.130859375,1.0,False,12,0.040742414072564695,negligible
ptest_rdc,xgb,12.0,0.25,1.0,False,12,-0.09011259854008626,negligible
r_cforest,r_ctree,21.0,0.17626953125,1.0,False,12,-0.12132753030260064,negligible
r_cforest,rf,4.0,0.00341796875,0.39306640625,False,12,0.2909261025923323,small
r_cforest,rfe,3.0,0.00244140625,0.2880859375,False,12,0.24890437520027273,small
r_cforest,xgb,14.0,0.05224609375,1.0,False,12,0.1016656042585449,negligible
r_ctree,rf,7.0,0.037109375,1.0,False,12,0.3141177854263197,small
r_ctree,rfe,9.0,0.064453125,1.0,False,12,0.2896023194794342,small
r_ctree,xgb,25.0,0.845703125,1.0,False,12,0.19245265562172015,negligible
rf,rfe,25.0,0.845703125,1.0,False,12,-0.04305433587685407,negligible
rf,xgb,7.0,0.07421875,1.0,False,12,-0.16419186851871423,negligible
rfe,xgb,6.0,0.02734375,1.0,False,12,-0.12720694446440306,negligible
