method,r2_mean,r2_ci_lo,r2_ci_hi,r2_formatted,mse_mean,mse_ci_lo,mse_ci_hi,mse_formatted,mae_mean,mae_ci_lo,mae_ci_hi,mae_formatted
boruta,0.5968934421536202,0.2855537544582044,0.8494591758342528,"0.597 [0.286, 0.849]",100194.91450835706,48.13477948489715,296922.78793783596,"100194.915 [48.135, 296922.788]",48.898486202832686,2.9344732296282543,125.69501076622929,"48.898 [2.934, 125.695]"
cat,0.3150300283512744,-0.43185176212085347,0.8423998452489625,"0.315 [-0.432, 0.842]",105748.26831994696,42.3655424964533,313564.0435847792,"105748.268 [42.366, 313564.044]",47.48286100045295,2.835571522413995,121.38721605038292,"47.483 [2.836, 121.387]"
cif,0.43687053198072573,0.006047635713589798,0.8130553522485567,"0.437 [0.006, 0.813]",104656.66886349286,277.3669638138396,309695.7661791591,"104656.669 [277.367, 309695.766]",54.2638220598414,4.405282874487014,136.90027586469833,"54.264 [4.405, 136.900]"
cit,0.5072580785447917,0.23068337863803454,0.7614143847930379,"0.507 [0.231, 0.761]",103345.18545902071,480.9767524268028,301859.83528402814,"103345.185 [480.977, 301859.835]",54.53982302082259,8.263583288150711,126.76827550587858,"54.540 [8.264, 126.768]"
cpi,0.24996853362117208,-0.4520530598456835,0.7754672591058117,"0.250 [-0.452, 0.775]",94505.81969268211,489.9707823741095,277635.49355604517,"94505.820 [489.971, 277635.494]",54.69917802362939,6.889582326679538,131.66821845106955,"54.699 [6.890, 131.668]"
et,0.5839055436742823,0.28080209743071055,0.8480374850901936,"0.584 [0.281, 0.848]",88749.37262749868,47.051899977382284,262583.61835490237,"88749.373 [47.052, 262583.618]",40.33652614545594,2.947904176113717,99.95507665057195,"40.337 [2.948, 99.955]"
lgbm,0.48792151313872284,0.07414910328932892,0.8363203612901078,"0.488 [0.074, 0.836]",102877.97862161898,46.94782328208114,304950.65105992154,"102877.979 [46.948, 304950.651]",52.832203334001655,2.917202286868047,137.39166422850477,"52.832 [2.917, 137.392]"
pi,0.328148596818899,-0.33452523892382774,0.8305771557629607,"0.328 [-0.335, 0.831]",100987.5006467884,92.56802037154097,299340.48471231357,"100987.501 [92.568, 299340.485]",48.57214910858526,3.473864198582235,124.41589729792614,"48.572 [3.474, 124.416]"
ptest_dc,0.6123456990037309,0.36317721703446976,0.8400777761343691,"0.612 [0.363, 0.840]",137895.58445770916,52.290769670507075,409704.3226845189,"137895.584 [52.291, 409704.323]",58.46461510990367,3.034400892219011,153.3852045487825,"58.465 [3.034, 153.385]"
ptest_pc,0.5934494305337181,0.2904471881754581,0.844078009941826,"0.593 [0.290, 0.844]",111676.40541104875,53.02349635500371,330997.0412088702,"111676.405 [53.023, 330997.041]",57.490390135437615,3.098394913078648,150.567005910624,"57.490 [3.098, 150.567]"
ptest_rdc,0.37873772292771896,-0.12268212324393807,0.8221201635177925,"0.379 [-0.123, 0.822]",137364.44707872605,51.789751001134995,408132.8313832671,"137364.447 [51.790, 408132.831]",58.655767396803675,3.078231128999507,153.93551798996407,"58.656 [3.078, 153.936]"
r_cforest,0.23660335278084985,-0.1389558899348728,0.5853129480233078,"0.237 [-0.139, 0.585]",199744.79750648944,3826.049560212837,585220.3455433727,"199744.798 [3826.050, 585220.346]",96.17773500439652,19.52759793050547,225.03311011966528,"96.178 [19.528, 225.033]"
r_ctree,0.2486310587746878,-0.20878826621332972,0.6503887247214287,"0.249 [-0.209, 0.650]",390147.1210442731,571.4812031689303,1161245.6060249654,"390147.121 [571.481, 1161245.606]",131.99709808576148,9.422306194605714,350.142969558047,"131.997 [9.422, 350.143]"
rf,0.616323116364445,0.31687700158803606,0.8553627791845906,"0.616 [0.317, 0.855]",95859.84476599055,42.791171898764844,283911.24305654183,"95859.845 [42.791, 283911.243]",47.42730098999075,2.861370375032672,121.23485548615024,"47.427 [2.861, 121.235]"
rfe,0.5050859217573941,0.1298841605066384,0.8367564764109434,"0.505 [0.130, 0.837]",107091.65778469604,43.257058965980285,317613.0345734406,"107091.658 [43.257, 317613.035]",52.81721195426152,2.8846689754507455,137.45430389332682,"52.817 [2.885, 137.454]"
xgb,0.16634888305331408,-0.5656423763869131,0.7785106169814906,"0.166 [-0.566, 0.779]",208933.4697751853,125.46279314998134,623040.6611468921,"208933.470 [125.463, 623040.661]",75.08411492701309,3.639228982320627,203.3560142886814,"75.084 [3.639, 203.356]"
