method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,46.0,0.45428466796875,1.0,False,15,-0.022913088944712372,negligible
boruta,cif,32.0,0.12054443359375,1.0,False,15,-0.04993763799479313,negligible
boruta,cit,25.0,0.04791259765625,1.0,False,15,-0.029228163439102083,negligible
boruta,cpi,29.0,0.083251953125,1.0,False,15,-0.03889485521748298,negligible
boruta,et,43.0,0.359130859375,1.0,False,15,0.03615832785669827,negligible
boruta,lgbm,41.0,0.30279541015625,1.0,False,15,-0.056160899123569585,negligible
boruta,pi,42.0,0.33026123046875,1.0,False,15,-0.04177058600885246,negligible
boruta,ptest_dc,24.0,0.041259765625,1.0,False,15,-0.08650217848934344,negligible
boruta,ptest_pc,32.0,0.12054443359375,1.0,False,15,-0.06708046669225495,negligible
boruta,ptest_rdc,39.0,0.25238037109375,1.0,False,15,-0.08604413968310626,negligible
boruta,r_cforest,9.0,0.00201416015625,0.21148681640625,False,15,-0.09741016877684079,negligible
boruta,r_ctree,7.0,0.00115966796875,0.134521484375,False,15,-0.09745053318530392,negligible
boruta,rf,43.0,0.359130859375,1.0,False,15,-0.014610121170933096,negligible
boruta,rfe,49.0,0.5614013671875,1.0,False,15,-0.0064883281176094845,negligible
boruta,xgb,11.0,0.00335693359375,0.335693359375,False,15,-0.06976818990953967,negligible
cat,cif,18.0,0.01507568359375,1.0,False,15,-0.027151389538546386,negligible
cat,cit,8.0,0.00152587890625,0.164794921875,False,15,-0.006230574772904246,negligible
cat,cpi,20.0,0.02154541015625,1.0,False,15,-0.0161067729855477,negligible
cat,et,54.0,0.76153564453125,1.0,False,15,0.058459926348801164,negligible
cat,lgbm,32.0,0.12054443359375,1.0,False,15,-0.03353963032603052,negligible
cat,pi,35.0,0.1688232421875,1.0,False,15,-0.019032062170660547,negligible
cat,ptest_dc,16.0,0.01025390625,0.9638671875,False,15,-0.06459708694579164,negligible
cat,ptest_pc,16.0,0.01025390625,0.9638671875,False,15,-0.04465420798754968,negligible
cat,ptest_rdc,18.0,0.01507568359375,1.0,False,15,-0.06393837022066173,negligible
cat,r_cforest,9.0,0.00201416015625,0.21148681640625,False,15,-0.0739875775105895,negligible
cat,r_ctree,7.0,0.00115966796875,0.134521484375,False,15,-0.07213422610196693,negligible
cat,rf,31.0,0.10699462890625,1.0,False,15,0.008334333709946682,negligible
cat,rfe,44.0,0.389404296875,1.0,False,15,0.016611183350947852,negligible
cat,xgb,0.0,6.103515625e-05,0.00732421875,True,15,-0.046276571055260673,negligible
cif,cit,45.0,0.42120361328125,1.0,False,15,0.021035355498938514,negligible
cif,cpi,48.0,0.52447509765625,1.0,False,15,0.010998222868341402,negligible
cif,et,29.0,0.083251953125,1.0,False,15,0.08467225362210397,negligible
cif,lgbm,45.0,0.42120361328125,1.0,False,15,-0.006528692650558161,negligible
cif,pi,36.0,0.1876220703125,1.0,False,15,0.008036442807524167,negligible
cif,ptest_dc,58.0,0.93408203125,1.0,False,15,-0.03821688523086709,negligible
cif,ptest_pc,44.0,0.389404296875,1.0,False,15,-0.017799990669107053,negligible
cif,ptest_rdc,59.0,0.97796630859375,1.0,False,15,-0.03735084886839843,negligible
cif,r_cforest,8.0,0.00152587890625,0.164794921875,False,15,-0.04600696476886889,negligible
cif,r_ctree,21.0,0.02557373046875,1.0,False,15,-0.04225499914641286,negligible
cif,rf,49.0,0.5614013671875,1.0,False,15,0.0354724715491851,negligible
cif,rfe,45.0,0.42120361328125,1.0,False,15,0.04385245463586941,negligible
cif,xgb,5.0,0.0006103515625,0.072021484375,False,15,-0.018334798746769247,negligible
cit,cpi,57.0,0.890380859375,1.0,False,15,-0.009958122587518936,negligible
cit,et,15.0,0.00836181640625,0.802734375,False,15,0.06478315353941826,negligible
cit,lgbm,40.0,0.27685546875,1.0,False,15,-0.027480908768943147,negligible
cit,pi,20.0,0.02154541015625,1.0,False,15,-0.012904164439484432,negligible
cit,ptest_dc,42.0,0.33026123046875,1.0,False,15,-0.05878535984503755,negligible
cit,ptest_pc,39.0,0.25238037109375,1.0,False,15,-0.03867112821531777,negligible
cit,ptest_rdc,50.0,0.5994873046875,1.0,False,15,-0.05807733399454961,negligible
cit,r_cforest,13.0,0.00537109375,0.53173828125,False,15,-0.06783847690743401,negligible
cit,r_ctree,8.0,0.00152587890625,0.164794921875,False,15,-0.06554319262585234,negligible
cit,rf,20.0,0.02154541015625,1.0,False,15,0.014601709163975735,negligible
cit,rfe,35.0,0.1688232421875,1.0,False,15,0.02294786752180514,negligible
cit,xgb,58.0,0.93408203125,1.0,False,15,-0.040044018971087156,negligible
cpi,et,13.0,0.00537109375,0.53173828125,False,15,0.07385376881906998,negligible
cpi,lgbm,51.0,0.638671875,1.0,False,15,-0.0174633506499666,negligible
cpi,pi,29.0,0.083251953125,1.0,False,15,-0.0029429247365941745,negligible
cpi,ptest_dc,43.0,0.359130859375,1.0,False,15,-0.048868003293060035,negligible
cpi,ptest_pc,44.0,0.389404296875,1.0,False,15,-0.02865864499029431,negligible
cpi,ptest_rdc,44.0,0.389404296875,1.0,False,15,-0.0480821786380474,negligible
cpi,r_cforest,21.0,0.02557373046875,1.0,False,15,-0.05725689488178573,negligible
cpi,r_ctree,42.0,0.33026123046875,1.0,False,15,-0.05422392976418095,negligible
cpi,rf,22.0,0.0301513671875,1.0,False,15,0.024416772814027432,negligible
cpi,rfe,22.0,0.0301513671875,1.0,False,15,0.03273964889624213,negligible
cpi,xgb,55.0,0.803955078125,1.0,False,15,-0.02960648626369841,negligible
et,lgbm,48.0,0.52447509765625,1.0,False,15,-0.090487205928803,negligible
et,pi,15.0,0.00836181640625,0.802734375,False,15,-0.07658078834704321,negligible
et,ptest_dc,28.0,0.072998046875,1.0,False,15,-0.1191221968781311,negligible
et,ptest_pc,37.0,0.207763671875,1.0,False,15,-0.10087873888614102,negligible
et,ptest_rdc,37.0,0.207763671875,1.0,False,15,-0.11900807703047432,negligible
et,r_cforest,7.0,0.00115966796875,0.134521484375,False,15,-0.13243961589589864,negligible
et,r_ctree,7.0,0.00115966796875,0.134521484375,False,15,-0.1357638736495129,negligible
et,rf,48.0,0.52447509765625,1.0,False,15,-0.05042368929318711,negligible
et,rfe,56.0,0.846923828125,1.0,False,15,-0.042821175964919064,negligible
et,xgb,3.0,0.00030517578125,0.03631591796875,True,15,-0.10538101367962542,negligible
lgbm,pi,59.0,0.97796630859375,1.0,False,15,0.014508728324235574,negligible
lgbm,ptest_dc,40.0,0.27685546875,1.0,False,15,-0.03170046547229982,negligible
lgbm,ptest_pc,34.0,0.15142822265625,1.0,False,15,-0.011256665617168742,negligible
lgbm,ptest_rdc,45.0,0.42120361328125,1.0,False,15,-0.030790567319612116,negligible
lgbm,r_cforest,18.0,0.01507568359375,1.0,False,15,-0.039098871039720935,negligible
lgbm,r_ctree,30.0,0.0946044921875,1.0,False,15,-0.03493883160688287,negligible
lgbm,rf,43.0,0.359130859375,1.0,False,15,0.04180947566502924,negligible
lgbm,rfe,59.0,0.97796630859375,1.0,False,15,0.05015722280466957,negligible
