method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,59.0,0.97796630859375,1.0,False,15,0.02761376199634644,negligible
boruta,cif,39.0,0.25238037109375,1.0,False,15,0.1424566867069225,negligible
boruta,cit,26.0,0.05535888671875,1.0,False,15,0.17804201634405487,negligible
boruta,cpi,25.0,0.04791259765625,1.0,False,15,0.3759049799741785,small
boruta,et,36.0,0.1876220703125,1.0,False,15,0.0065058779419209165,negligible
boruta,lgbm,50.0,0.5994873046875,1.0,False,15,0.20313708024099947,small
boruta,pi,49.0,0.5614013671875,1.0,False,15,0.07133159340618896,negligible
boruta,ptest_dc,32.0,0.19812291175396723,1.0,False,15,0.0017255772595798997,negligible
boruta,ptest_pc,53.0,0.7197265625,1.0,False,15,0.0019073711773813968,negligible
boruta,ptest_rdc,59.0,0.97796630859375,1.0,False,15,0.2683475472038112,small
boruta,r_cforest,4.0,0.00042724609375,0.04998779296875,True,15,0.6368448231826352,medium
boruta,r_ctree,6.0,0.0008544921875,0.0965576171875,False,15,0.8457619262880716,large
boruta,rf,27.0,0.063720703125,1.0,False,15,-0.06860077620007736,negligible
boruta,rfe,52.0,0.9749599188317098,1.0,False,15,-0.0035042624824920183,negligible
boruta,xgb,12.0,0.0042724609375,0.4229736328125,False,15,0.33531802365192215,small
cat,cif,23.0,0.11585149752593009,1.0,False,15,0.11651760165744673,negligible
cat,cit,24.0,0.13295729296233563,1.0,False,15,0.14770796542181022,negligible
cat,cpi,20.0,0.04132685891250041,1.0,False,15,0.3570349312685838,small
cat,et,44.0,0.916511907863894,1.0,False,15,-0.020632979678536074,negligible
cat,lgbm,30.0,0.15781136896845493,1.0,False,15,0.17822191013113325,negligible
cat,pi,35.0,0.46307101501458814,1.0,False,15,0.043995072005576986,negligible
cat,ptest_dc,41.0,0.4703377962613965,1.0,False,15,-0.0263955593911258,negligible
cat,ptest_pc,33.0,0.38235208985751545,1.0,False,15,-0.025819286728176453,negligible
cat,ptest_rdc,38.0,0.6001794871405539,1.0,False,15,0.25219372022720404,small
cat,r_cforest,3.0,0.00030517578125,0.03662109375,True,15,0.6018497811361941,medium
cat,r_ctree,1.0,0.0012250235420688657,0.1359776131696441,False,15,0.8224717933699007,large
cat,rf,32.0,0.3454475304692258,1.0,False,15,-0.09609485101284411,negligible
cat,rfe,41.0,0.4703377962613965,1.0,False,15,-0.030934568985353388,negligible
cat,xgb,1.0,0.0018714329102470315,0.19462902266569126,False,15,0.31552076224112696,small
cif,cit,30.0,0.2787073832496024,1.0,False,15,0.014348116485916263,negligible
cif,cpi,17.0,0.025842854459788903,1.0,False,15,0.26381279739295205,small
cif,et,11.0,0.015906444101703374,1.0,False,15,-0.1344830291933464,negligible
cif,lgbm,47.0,0.7298909084206947,1.0,False,15,0.06330629437376528,negligible
cif,pi,24.0,0.13295729296233563,1.0,False,15,-0.07405891509250376,negligible
cif,ptest_dc,36.0,0.30028987962532405,1.0,False,15,-0.14280329443375345,negligible
cif,ptest_pc,27.0,0.1960509634811064,1.0,False,15,-0.14110833317699992,negligible
cif,ptest_rdc,44.0,0.916511907863894,1.0,False,15,0.1730103151405867,negligible
cif,r_cforest,13.0,0.00537109375,0.51025390625,False,15,0.4325838148484713,small
cif,r_ctree,1.0,0.0012250235420688657,0.1359776131696441,False,15,0.7014142976083313,medium
cif,rf,12.0,0.01922343909754908,1.0,False,15,-0.20587118012120725,small
cif,rfe,42.0,0.5097974849608639,1.0,False,15,-0.14502758703992524,negligible
cif,xgb,19.0,0.06403014843302322,1.0,False,15,0.2187542909797658,small
cit,cpi,50.0,0.8752911852109797,1.0,False,15,0.26650686571564663,small
cit,et,12.0,0.01922343909754908,1.0,False,15,-0.16793307398741367,negligible
cit,lgbm,33.0,0.22089889066779878,1.0,False,15,0.0553999415566591,negligible
cit,pi,19.0,0.06403014843302322,1.0,False,15,-0.09850680050946842,negligible
cit,ptest_dc,28.0,0.12404279309009482,1.0,False,15,-0.17929208867883756,negligible
cit,ptest_pc,14.0,0.027707849358079868,1.0,False,15,-0.17664087065054482,negligible
cit,ptest_rdc,34.0,0.421578895217645,1.0,False,15,0.1708800895427843,negligible
cit,r_cforest,9.0,0.00201416015625,0.20745849609375,False,15,0.4622921715334282,small
cit,r_ctree,13.0,0.013150364234284666,1.0,False,15,0.726449741857942,medium
cit,rf,12.0,0.01922343909754908,1.0,False,15,-0.2538086596238543,small
cit,rfe,22.0,0.055532980815942684,1.0,False,15,-0.18076070024243193,negligible
cit,xgb,31.0,0.31089682851661204,1.0,False,15,0.21994296806165836,small
cpi,et,15.0,0.018566712279734193,1.0,False,15,-0.3692022776491812,small
cpi,lgbm,19.0,0.03546470751403722,1.0,False,15,-0.20933223217830424,small
cpi,pi,15.0,0.018566712279734193,1.0,False,15,-0.32491179879341875,small
cpi,ptest_dc,15.0,0.018566712279734193,1.0,False,15,-0.3770637782737201,small
cpi,ptest_pc,11.0,0.009181421103092478,0.8538721625876005,False,15,-0.3751385257637408,small
cpi,ptest_rdc,35.0,0.2719476239947354,1.0,False,15,-0.05723251583945167,negligible
cpi,r_cforest,40.0,0.27685546875,1.0,False,15,0.042091725007949686,negligible
cpi,r_ctree,31.0,0.1771140408635976,1.0,False,15,0.35039393453408196,small
cpi,rf,12.0,0.011007912955186742,0.9907121659668068,False,15,-0.4206599758566344,small
cpi,rfe,24.0,0.07359392381144039,1.0,False,15,-0.3774253253979287,small
cpi,xgb,52.0,0.9749599188317098,1.0,False,15,-0.04737878004635681,negligible
et,lgbm,26.0,0.09619703646278292,1.0,False,15,0.19495942511147438,negligible
et,pi,16.0,0.03924327615032666,1.0,False,15,0.06376347630552338,negligible
et,ptest_dc,46.0,0.683239071626591,1.0,False,15,-0.004931805280482759,negligible
et,ptest_pc,31.0,0.31089682851661204,1.0,False,15,-0.004659549289650414,negligible
et,ptest_rdc,29.0,0.24886387493792206,1.0,False,15,0.2632232787061441,small
et,r_cforest,3.0,0.00030517578125,0.03662109375,True,15,0.6199551387540896,medium
et,r_ctree,1.0,0.0012250235420688657,0.1359776131696441,False,15,0.8348991361043744,large
et,rf,44.0,0.916511907863894,1.0,False,15,-0.07369218759117996,negligible
et,rfe,27.0,0.10942115881922926,1.0,False,15,-0.00990442881888866,negligible
et,xgb,2.0,0.0023655770533978757,0.23892328239318544,False,15,0.32839898156376524,small
lgbm,pi,51.0,0.9249783071207602,1.0,False,15,-0.13697992637559306,negligible
lgbm,ptest_dc,52.0,0.9749599188317098,1.0,False,15,-0.2040049213048884,small
lgbm,ptest_pc,33.0,0.22089889066779878,1.0,False,15,-0.20196433391629268,small
lgbm,ptest_rdc,49.0,0.8260910288588201,1.0,False,15,0.12590428154764172,negligible
lgbm,r_cforest,16.0,0.01025390625,0.943359375,False,15,0.3437448842544092,small
lgbm,r_ctree,0.0,0.0014737808438751421,0.15474698860688993,False,15,0.6317442829414986,medium
lgbm,rf,27.0,0.10942115881922926,1.0,False,15,-0.26366216987148705,small
lgbm,rfe,48.0,0.7775646168566407,1.0,False,15,-0.2054069213963695,small
lgbm,xgb,13.0,0.013150364234284666,1.0,False,15,0.16268690726524093,negligible
pi,ptest_dc,48.0,0.7775646168566407,1.0,False,15,-0.07082334566100722,negligible
pi,ptest_pc,33.0,0.38235208985751545,1.0,False,15,-0.06971148597787727,negligible
pi,ptest_rdc,45.0,0.972125329731665,1.0,False,15,0.22479845536211907,small
pi,r_cforest,4.0,0.00042724609375,0.04998779296875,True,15,0.5426534245107419,medium
pi,r_ctree,5.0,0.002864815552489834,0.2864815552489834,False,15,0.7819255721297087,medium
pi,rf,21.0,0.08686008151624075,1.0,False,15,-0.13885109491930667,negligible
pi,rfe,34.0,0.24549352944751968,1.0,False,15,-0.07436488876373525,negligible
pi,xgb,6.0,0.0057715890441035304,0.5425293701457319,False,15,0.281963382262047,small
ptest_dc,ptest_pc,46.0,0.683239071626591,1.0,False,15,0.00021108356637599605,negligible
ptest_dc,ptest_rdc,49.0,0.8260910288588201,1.0,False,15,0.26870946049389516,small
ptest_dc,r_cforest,7.0,0.00115966796875,0.1298828125,False,15,0.6437471985054991,medium
ptest_dc,r_ctree,7.0,0.004285695299481487,0.4229736328125,False,15,0.8498461037226007,large
ptest_dc,rf,13.0,0.013150364234284666,1.0,False,15,-0.07181517399632963,negligible
ptest_dc,rfe,27.0,0.1960509634811064,1.0,False,15,-0.0052843756013015416,negligible
ptest_dc,xgb,8.0,0.005213241256099401,0.5004711605855425,False,15,0.33642188960710667,small
ptest_pc,ptest_rdc,34.0,0.421578895217645,1.0,False,15,0.26755241518195755,small
ptest_pc,r_cforest,4.0,0.00042724609375,0.04998779296875,True,15,0.6364447583366096,medium
ptest_pc,r_ctree,1.0,0.0012250235420688657,0.1359776131696441,False,15,0.8454071219248496,large
ptest_pc,rf,23.0,0.11585149752593009,1.0,False,15,-0.07083117228622489,negligible
ptest_pc,rfe,49.0,0.8260910288588201,1.0,False,15,-0.005413185049800613,negligible
