method,avg_rank,std_rank,cd
et,5.0,3.7416573867739413,5.956015253524448
rf,5.1,2.8879058156387303,5.956015253524448
cat,5.633333333333334,4.540435612973226,5.956015253524448
boruta,6.466666666666667,4.096611065529925,5.956015253524448
rfe,6.966666666666667,3.8577483357811486,5.956015253524448
ptest_dc,7.1,3.7336309405188937,5.956015253524448
ptest_pc,7.733333333333333,2.7438820836342237,5.956015253524448
ptest_rdc,7.733333333333333,3.641733408999377,5.956015253524448
lgbm,8.033333333333333,3.84042821686448,5.956015253524448
cif,8.166666666666666,3.3549300373563016,5.956015253524448
pi,8.366666666666667,3.1436002007606216,5.956015253524448
cit,10.166666666666666,3.819540402834992,5.956015253524448
xgb,11.2,2.87981480886069,5.956015253524448
cpi,11.4,3.7912179221634483,5.956015253524448
r_cforest,12.6,4.673328578219168,5.956015253524448
r_ctree,14.333333333333334,2.0548046676563256,5.956015253524448
