method,avg_rank,std_rank,cd
cpi,1.0,0.0,23.067547886657533
et,2.5,0.0,23.067547886657533
rfe,2.5,0.0,23.067547886657533
ptest_pc,4.0,0.0,23.067547886657533
ptest_rdc,5.5,0.0,23.067547886657533
rf,5.5,0.0,23.067547886657533
xgb,7.0,0.0,23.067547886657533
cif,8.5,0.0,23.067547886657533
pi,8.5,0.0,23.067547886657533
cat,10.0,0.0,23.067547886657533
boruta,11.0,0.0,23.067547886657533
r_ctree,12.0,0.0,23.067547886657533
cit,13.0,0.0,23.067547886657533
lgbm,14.5,0.0,23.067547886657533
ptest_dc,14.5,0.0,23.067547886657533
r_cforest,16.0,0.0,23.067547886657533
