method,avg_rank,std_rank,cd
rf,4.75,2.6160561920570435,5.766886971664383
rfe,5.375,4.211220131980754,5.766886971664383
cat,5.5,3.9409706926086114,5.766886971664383
et,6.40625,3.5672939236205363,5.766886971664383
pi,6.8125,3.1862742741327215,5.766886971664383
ptest_rdc,7.34375,4.523268833211221,5.766886971664383
ptest_pc,7.9375,3.5482169818093143,5.766886971664383
cit,8.375,3.75624480032918,5.766886971664383
cif,8.4375,2.4486922530199666,5.766886971664383
ptest_dc,8.8125,3.5876306596415413,5.766886971664383
boruta,9.4375,5.061728336250376,5.766886971664383
lgbm,9.5,4.677071733467427,5.766886971664383
cpi,10.0625,4.478682144336657,5.766886971664383
r_ctree,11.75,5.202163011671203,5.766886971664383
xgb,12.5625,2.524102563288584,5.766886971664383
r_cforest,12.9375,3.7661112237957073,5.766886971664383
