method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,26.0,0.02899169921875,1.0,False,16,0.01433730387184157,negligible
boruta,cif,51.0,0.40374755859375,1.0,False,16,0.0043281253113609565,negligible
boruta,cit,51.0,0.40374755859375,1.0,False,16,0.008448264268585911,negligible
boruta,cpi,63.0,0.820892333984375,1.0,False,16,-0.02497111926881064,negligible
boruta,et,12.0,0.00213623046875,0.18585205078125,False,16,0.028687592740923716,negligible
boruta,lgbm,43.0,0.21142578125,1.0,False,16,-0.004898650880820885,negligible
boruta,pi,43.0,0.21142578125,1.0,False,16,0.005762752115264202,negligible
boruta,ptest_dc,41.0,0.17535400390625,1.0,False,16,0.004263069254828859,negligible
boruta,ptest_pc,21.0,0.013092041015625,0.955718994140625,False,16,0.010175117418999935,negligible
boruta,ptest_rdc,46.0,0.274444580078125,1.0,False,16,0.0004643321664633001,negligible
boruta,r_cforest,21.0,0.013092041015625,0.955718994140625,False,16,-0.06944356942545926,negligible
boruta,r_ctree,4.0,0.000213623046875,0.02435302734375,True,16,-0.1051647998449528,negligible
boruta,rf,26.0,0.02899169921875,1.0,False,16,0.014180407212803106,negligible
boruta,rfe,14.0,0.00335693359375,0.27862548828125,False,16,0.005977378650378639,negligible
boruta,xgb,32.0,0.065399169921875,1.0,False,16,-0.045801435277324005,negligible
cat,cif,9.0,0.001007080078125,0.097686767578125,False,16,-0.009960690973573981,negligible
cat,cit,41.0,0.17535400390625,1.0,False,16,-0.0060301072523263576,negligible
cat,cpi,7.0,0.000579833984375,0.05914306640625,False,16,-0.03851763724598162,negligible
cat,et,65.0,0.899932861328125,1.0,False,16,0.014023750202851314,negligible
cat,lgbm,16.0,0.005157470703125,0.407440185546875,False,16,-0.018841103443718473,negligible
cat,pi,17.0,0.00628662109375,0.4903564453125,False,16,-0.008400330468030787,negligible
cat,ptest_dc,23.0,0.01824951171875,1.0,False,16,-0.01001733862704979,negligible
cat,ptest_pc,46.0,0.274444580078125,1.0,False,16,-0.004238706012754075,negligible
cat,ptest_rdc,20.0,0.010986328125,0.823974609375,False,16,-0.01368334552612883,negligible
cat,r_cforest,8.0,0.000762939453125,0.0762939453125,False,16,-0.08333848065176613,negligible
cat,r_ctree,4.0,0.000213623046875,0.02435302734375,True,16,-0.11878624588280894,negligible
cat,rf,54.0,0.49542236328125,1.0,False,16,-0.000185222722453649,negligible
cat,rfe,62.0,0.781951904296875,1.0,False,16,-0.008366479786479973,negligible
cat,xgb,2.0,9.1552734375e-05,0.010894775390625,True,16,-0.05930578751619157,negligible
cif,cit,65.0,0.899932861328125,1.0,False,16,0.004048791896923634,negligible
cif,cpi,53.0,0.4637451171875,1.0,False,16,-0.028987219445841792,negligible
cif,et,9.0,0.001007080078125,0.097686767578125,False,16,0.0241600566004931,negligible
cif,lgbm,59.0,0.668548583984375,1.0,False,16,-0.009092867107280887,negligible
cif,pi,46.0,0.274444580078125,1.0,False,16,0.0014678043580482673,negligible
cif,ptest_dc,53.0,0.4637451171875,1.0,False,16,-6.230288473934455e-05,negligible
cif,ptest_pc,45.0,0.252227783203125,1.0,False,16,0.005789321887074724,negligible
cif,ptest_rdc,67.0,0.979949951171875,1.0,False,16,-0.003808527877193729,negligible
cif,r_cforest,9.0,0.001007080078125,0.097686767578125,False,16,-0.0734208446043123,negligible
cif,r_ctree,4.0,0.000213623046875,0.02435302734375,True,16,-0.10896194834437478,negligible
cif,rf,20.0,0.010986328125,0.823974609375,False,16,0.009795655482477966,negligible
cif,rfe,30.0,0.0506591796875,1.0,False,16,0.0016270795517997663,negligible
cif,xgb,12.0,0.00213623046875,0.18585205078125,False,16,-0.04974346895847218,negligible
cit,cpi,47.0,0.2978515625,1.0,False,16,-0.0331632368721606,negligible
cit,et,25.0,0.02496337890625,1.0,False,16,0.02033918258037271,negligible
cit,lgbm,58.0,0.632171630859375,1.0,False,16,-0.013155454876975971,negligible
cit,pi,56.0,0.5618896484375,1.0,False,16,-0.00252569284653486,negligible
cit,ptest_dc,63.0,0.820892333984375,1.0,False,16,-0.004109485264306429,negligible
cit,ptest_pc,65.0,0.899932861328125,1.0,False,16,0.001782046978020591,negligible
cit,ptest_rdc,67.0,0.979949951171875,1.0,False,16,-0.00786568091659306,negligible
cit,r_cforest,6.0,0.00042724609375,0.0452880859375,True,16,-0.07826074026430466,negligible
cit,r_ctree,0.0,3.0517578125e-05,0.003662109375,True,16,-0.11410259083822238,negligible
cit,rf,37.0,0.116668701171875,1.0,False,16,0.005855214995751232,negligible
cit,rfe,53.0,0.4637451171875,1.0,False,16,-0.002416020230529779,negligible
cit,xgb,30.0,0.0506591796875,1.0,False,16,-0.05414655721691605,negligible
cpi,et,11.0,0.001678466796875,0.149383544921875,False,16,0.05251016950586728,negligible
cpi,lgbm,42.0,0.19281005859375,1.0,False,16,0.019714743870474515,negligible
cpi,pi,12.0,0.00213623046875,0.18585205078125,False,16,0.030153268114077113,negligible
cpi,ptest_dc,36.0,0.104583740234375,1.0,False,16,0.028912951860466763,negligible
cpi,ptest_pc,38.0,0.129730224609375,1.0,False,16,0.03469809864488391,negligible
cpi,ptest_rdc,39.0,0.14385986328125,1.0,False,16,0.02511642669016926,negligible
cpi,r_cforest,31.0,0.05767822265625,1.0,False,16,-0.041580450224220286,negligible
cpi,r_ctree,37.0,0.116668701171875,1.0,False,16,-0.07610493526507899,negligible
cpi,rf,6.0,0.00042724609375,0.0452880859375,True,16,0.03841038751896856,negligible
cpi,rfe,34.0,0.083251953125,1.0,False,16,0.030629010795912095,negligible
cpi,xgb,58.0,0.632171630859375,1.0,False,16,-0.019885081503567475,negligible
et,lgbm,25.0,0.02496337890625,1.0,False,16,-0.03286488244937809,negligible
et,pi,24.0,0.021392822265625,1.0,False,16,-0.02243197609219467,negligible
et,ptest_dc,15.0,0.004180908203125,0.338653564453125,False,16,-0.024209076017748677,negligible
et,ptest_pc,4.0,0.000213623046875,0.02435302734375,True,16,-0.01843883299798648,negligible
et,ptest_rdc,25.0,0.02496337890625,1.0,False,16,-0.02781570732666962,negligible
et,r_cforest,6.0,0.00042724609375,0.0452880859375,True,16,-0.09867166928994557,negligible
et,r_ctree,3.0,0.000152587890625,0.01800537109375,True,16,-0.13447852670590332,negligible
et,rf,61.0,0.743560791015625,1.0,False,16,-0.014242317619994633,negligible
et,rfe,49.0,0.348388671875,1.0,False,16,-0.022587850465166443,negligible
et,xgb,4.0,0.000213623046875,0.02435302734375,True,16,-0.07366430967687292,negligible
lgbm,pi,53.0,0.4637451171875,1.0,False,16,0.010450325783740715,negligible
lgbm,ptest_dc,55.0,0.528167724609375,1.0,False,16,0.009027009153877061,negligible
lgbm,ptest_pc,43.0,0.21142578125,1.0,False,16,0.014815475486186239,negligible
lgbm,ptest_rdc,61.0,0.743560791015625,1.0,False,16,0.0052893489613704565,negligible
lgbm,r_cforest,11.0,0.001678466796875,0.149383544921875,False,16,-0.06290543285660943,negligible
lgbm,r_ctree,24.0,0.021392822265625,1.0,False,16,-0.09791029519551937,negligible
lgbm,rf,24.0,0.021392822265625,1.0,False,16,0.018696184528080122,negligible
lgbm,rfe,32.0,0.065399169921875,1.0,False,16,0.010713555135935568,negligible
lgbm,xgb,10.0,0.001312255859375,0.122039794921875,False,16,-0.04005626472398069,negligible
pi,ptest_dc,66.0,0.93988037109375,1.0,False,16,-0.0015287210853612541,negligible
pi,ptest_pc,67.0,0.979949951171875,1.0,False,16,0.004257517243149102,negligible
pi,ptest_rdc,63.0,0.820892333984375,1.0,False,16,-0.005229574313133685,negligible
pi,r_cforest,10.0,0.001312255859375,0.122039794921875,False,16,-0.07424758946557168,negligible
pi,r_ctree,18.0,0.00762939453125,0.58746337890625,False,16,-0.10950773486296975,negligible
pi,rf,33.0,0.07391357421875,1.0,False,16,0.00823357808158013,negligible
pi,rfe,50.0,0.375457763671875,1.0,False,16,0.00013943773058279555,negligible
pi,xgb,9.0,0.001007080078125,0.097686767578125,False,16,-0.05074592238378463,negligible
ptest_dc,ptest_pc,38.0,0.129730224609375,1.0,False,16,0.005848722058662854,negligible
ptest_dc,ptest_rdc,51.0,0.40374755859375,1.0,False,16,-0.0037446551214154475,negligible
ptest_dc,r_cforest,6.0,0.00042724609375,0.0452880859375,True,16,-0.07332005108129967,negligible
ptest_dc,r_ctree,3.0,0.000152587890625,0.01800537109375,True,16,-0.10884542889960107,negligible
ptest_dc,rf,13.0,0.002685546875,0.2255859375,False,16,0.009852500230445592,negligible
ptest_dc,rfe,39.0,0.14385986328125,1.0,False,16,0.0016886625235110117,negligible
ptest_dc,xgb,10.0,0.001312255859375,0.122039794921875,False,16,-0.049658744052401345,negligible
ptest_pc,ptest_rdc,62.0,0.781951904296875,1.0,False,16,-0.009572463957571734,negligible
ptest_pc,r_cforest,8.0,0.000762939453125,0.0762939453125,False,16,-0.07964591564572801,negligible
ptest_pc,r_ctree,4.0,0.000213623046875,0.02435302734375,True,16,-0.1153258380149281,negligible
ptest_pc,rf,47.0,0.2978515625,1.0,False,16,0.004060964705432053,negligible
ptest_pc,rfe,65.0,0.899932861328125,1.0,False,16,-0.0041705421579434085,negligible
ptest_pc,xgb,14.0,0.00335693359375,0.27862548828125,False,16,-0.055595005521480195,negligible
ptest_rdc,r_cforest,10.0,0.001312255859375,0.122039794921875,False,16,-0.06903922734852135,negligible
ptest_rdc,r_ctree,18.0,0.00762939453125,0.58746337890625,False,16,-0.10436680801627586,negligible
ptest_rdc,rf,26.0,0.02899169921875,1.0,False,16,0.01352690983201309,negligible
ptest_rdc,rfe,52.0,0.433197021484375,1.0,False,16,0.005433798090716106,negligible
ptest_rdc,xgb,15.0,0.004180908203125,0.338653564453125,False,16,-0.04570473935729761,negligible
r_cforest,r_ctree,43.0,0.21142578125,1.0,False,16,-0.036059666383469906,negligible
r_cforest,rf,8.0,0.000762939453125,0.0762939453125,False,16,0.08331225588441782,negligible
r_cforest,rfe,7.0,0.000579833984375,0.05914306640625,False,16,0.07526604438036168,negligible
r_cforest,xgb,38.0,0.129730224609375,1.0,False,16,0.02112143977485352,negligible
