method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,29.0,0.0443115234375,1.0,False,16,0.015227298983779683,negligible
boruta,cif,52.0,0.433197021484375,1.0,False,16,-5.315226728450416e-05,negligible
boruta,cit,38.0,0.129730224609375,1.0,False,16,0.00841434163833217,negligible
boruta,cpi,67.0,0.979949951171875,1.0,False,16,-0.04385258623053618,negligible
boruta,et,23.0,0.01824951171875,1.0,False,16,0.030716815740635048,negligible
boruta,lgbm,58.0,0.632171630859375,1.0,False,16,-0.017289263005173146,negligible
boruta,pi,49.0,0.348388671875,1.0,False,16,0.0005329620971207626,negligible
boruta,ptest_dc,37.0,0.116668701171875,1.0,False,16,-0.016674130735755143,negligible
boruta,ptest_pc,41.0,0.17535400390625,1.0,False,16,-0.0022448693341611215,negligible
boruta,ptest_rdc,30.0,0.0506591796875,1.0,False,16,-0.014068415152259492,negligible
boruta,r_cforest,15.0,0.004180908203125,0.4013671875,False,16,-0.03287657676513475,negligible
boruta,r_ctree,21.0,0.013092041015625,1.0,False,16,-0.03732759026563501,negligible
boruta,rf,29.0,0.0443115234375,1.0,False,16,0.0017321320069599796,negligible
boruta,rfe,16.0,0.005157470703125,0.479644775390625,False,16,0.004672967171180109,negligible
boruta,xgb,33.0,0.07391357421875,1.0,False,16,-0.0538292361339859,negligible
cat,cif,19.0,0.009185791015625,0.82672119140625,False,16,-0.015166516983432536,negligible
cat,cit,33.0,0.07391357421875,1.0,False,16,-0.0067817048261694345,negligible
cat,cpi,30.0,0.0506591796875,1.0,False,16,-0.058219730415379936,negligible
cat,et,55.0,0.528167724609375,1.0,False,16,0.015407843055166943,negligible
cat,lgbm,29.0,0.0443115234375,1.0,False,16,-0.032158717809003,negligible
cat,pi,49.0,0.348388671875,1.0,False,16,-0.0145474700815465,negligible
cat,ptest_dc,31.0,0.05767822265625,1.0,False,16,-0.03161386087688122,negligible
cat,ptest_pc,30.0,0.0506591796875,1.0,False,16,-0.017339558173479576,negligible
cat,ptest_rdc,28.0,0.03863525390625,1.0,False,16,-0.029052885204007263,negligible
cat,r_cforest,10.0,0.001312255859375,0.14959716796875,False,16,-0.0479589503859128,negligible
cat,r_ctree,6.0,0.00042724609375,0.05084228515625,False,16,-0.05336589207986492,negligible
cat,rf,60.0,0.705718994140625,1.0,False,16,-0.01336515062056958,negligible
cat,rfe,55.0,0.528167724609375,1.0,False,16,-0.010536990668075416,negligible
cat,xgb,8.0,0.000762939453125,0.0885009765625,False,16,-0.06850856386921961,negligible
cif,cit,54.0,0.49542236328125,1.0,False,16,0.008405802103396445,negligible
cif,cpi,57.0,0.596588134765625,1.0,False,16,-0.04354633843041348,negligible
