method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,43.0,0.21142578125,1.0,False,16,0.08857775827443255,negligible
boruta,cif,52.0,0.433197021484375,1.0,False,16,0.09700843083352972,negligible
boruta,cit,53.0,0.4637451171875,1.0,False,16,0.1468249564557979,negligible
boruta,cpi,63.0,0.820892333984375,1.0,False,16,0.24510028498495662,small
boruta,et,23.0,0.01824951171875,1.0,False,16,-0.05495521178279265,negligible
boruta,lgbm,54.0,0.49542236328125,1.0,False,16,0.297030865214326,small
boruta,pi,59.0,0.668548583984375,1.0,False,16,0.04441508052252866,negligible
boruta,ptest_dc,32.0,0.065399169921875,1.0,False,16,0.03919408938100046,negligible
boruta,ptest_pc,32.0,0.065399169921875,1.0,False,16,0.017011663207616677,negligible
boruta,ptest_rdc,54.0,0.49542236328125,1.0,False,16,0.13594706038884563,negligible
boruta,r_cforest,22.0,0.0155029296875,1.0,False,16,0.5065224602716382,medium
boruta,r_ctree,8.0,0.000762939453125,0.0823974609375,False,16,0.6816654188415088,medium
boruta,rf,15.0,0.004180908203125,0.405548095703125,False,16,-0.06552609131113556,negligible
boruta,rfe,33.0,0.07391357421875,1.0,False,16,-0.03175203378794179,negligible
boruta,xgb,18.0,0.00762939453125,0.701904296875,False,16,0.2597028654639582,small
cat,cif,33.0,0.07391357421875,1.0,False,16,0.007256324108448771,negligible
cat,cit,42.0,0.19281005859375,1.0,False,16,0.05177757961339756,negligible
cat,cpi,25.0,0.02496337890625,1.0,False,16,0.1560489026655613,negligible
cat,et,52.0,0.433197021484375,1.0,False,16,-0.1351309306093199,negligible
cat,lgbm,25.0,0.02496337890625,1.0,False,16,0.2297674254090242,small
cat,pi,53.0,0.4637451171875,1.0,False,16,-0.04209142178965536,negligible
cat,ptest_dc,42.0,0.19281005859375,1.0,False,16,-0.04823227179354187,negligible
cat,ptest_pc,55.0,0.528167724609375,1.0,False,16,-0.06919828953532409,negligible
cat,ptest_rdc,30.0,0.0506591796875,1.0,False,16,0.048647808753797595,negligible
cat,r_cforest,26.0,0.02899169921875,1.0,False,16,0.380284022800814,small
cat,r_ctree,4.0,0.000213623046875,0.02435302734375,True,16,0.5339140826959416,medium
cat,rf,50.0,0.375457763671875,1.0,False,16,-0.14503707816689765,negligible
cat,rfe,68.0,1.0,1.0,False,16,-0.11375482058676653,negligible
cat,xgb,16.0,0.005157470703125,0.489959716796875,False,16,0.1654763824173096,negligible
cif,cit,60.0,0.705718994140625,1.0,False,16,0.044645571753781206,negligible
cif,cpi,43.0,0.21142578125,1.0,False,16,0.15002157235200395,negligible
cif,et,18.0,0.00762939453125,0.701904296875,False,16,-0.14360655179089454,negligible
cif,lgbm,36.0,0.104583740234375,1.0,False,16,0.22516476330521518,small
cif,pi,47.0,0.2978515625,1.0,False,16,-0.0496845715517763,negligible
cif,ptest_dc,57.0,0.596588134765625,1.0,False,16,-0.05597254711281067,negligible
cif,ptest_pc,51.0,0.40374755859375,1.0,False,16,-0.07713002849540977,negligible
cif,ptest_rdc,52.0,0.433197021484375,1.0,False,16,0.04193238280314263,negligible
cif,r_cforest,31.0,0.05767822265625,1.0,False,16,0.37423968727500523,small
