method,avg_rank,std_rank,cd
cat,4.375,2.6427968139832467,5.766886971664383
rf,4.5,2.8722813232690143,5.766886971664383
et,4.5625,3.181366648156103,5.766886971664383
rfe,6.25,4.493050188902857,5.766886971664383
ptest_pc,7.5,3.4460121880225554,5.766886971664383
pi,7.75,3.5794552658190883,5.766886971664383
ptest_dc,7.875,2.7357585785299112,5.766886971664383
cit,8.0,4.47213595499958,5.766886971664383
cif,8.375,2.54644359843292,5.766886971664383
ptest_rdc,8.5,3.840572873934304,5.766886971664383
lgbm,9.5,4.0155946010522525,5.766886971664383
boruta,9.5625,3.9523529384405944,5.766886971664383
cpi,10.625,4.702060718451007,5.766886971664383
r_cforest,12.25,5.297405025104273,5.766886971664383
xgb,12.5,2.57390753524675,5.766886971664383
r_ctree,13.875,3.3330729064933458,5.766886971664383
