method,avg_rank,std_rank,cd
et,4.625,2.9553976043842223,5.766886971664383
rf,4.75,2.384848003542364,5.766886971664383
cat,5.0625,4.022883760438524,5.766886971664383
rfe,6.0,4.795831523312719,5.766886971664383
pi,7.375,3.9350190596742984,5.766886971664383
ptest_pc,7.6875,3.2923917977664807,5.766886971664383
ptest_dc,8.0,3.1024184114977142,5.766886971664383
cit,8.0625,3.8805403940688468,5.766886971664383
ptest_rdc,8.4375,3.427257467713799,5.766886971664383
cif,8.5,2.207940216581962,5.766886971664383
boruta,9.5625,4.2568878009644555,5.766886971664383
cpi,9.875,5.02338282435253,5.766886971664383
lgbm,10.0625,3.682199580413859,5.766886971664383
r_cforest,11.875,5.383713866839507,5.766886971664383
xgb,13.0,2.179449471770337,5.766886971664383
r_ctree,13.125,4.484347778663024,5.766886971664383
