method,avg_rank,std_rank,cd
et,4.8125,2.8986796563263075,5.766886971664383
rf,4.875,2.6427968139832467,5.766886971664383
cat,5.25,4.085033659592048,5.766886971664383
rfe,6.0,4.5,5.766886971664383
pi,7.25,3.6996621467371855,5.766886971664383
ptest_pc,7.4375,3.6906765978611564,5.766886971664383
ptest_dc,7.875,3.2185982973959333,5.766886971664383
cit,8.0,3.984344362627307,5.766886971664383
ptest_rdc,8.4375,3.427257467713799,5.766886971664383
cif,8.5,1.6583123951777,5.766886971664383
cpi,9.5625,4.847276941747809,5.766886971664383
boruta,9.6875,4.3691925741491415,5.766886971664383
lgbm,10.25,3.848701079585163,5.766886971664383
r_cforest,11.75,5.50567888638631,5.766886971664383
r_ctree,12.9375,4.561643755270681,5.766886971664383
xgb,13.375,2.1469455046647083,5.766886971664383
