method,r2_mean,r2_ci_lo,r2_ci_hi,r2_formatted,mse_mean,mse_ci_lo,mse_ci_hi,mse_formatted,mae_mean,mae_ci_lo,mae_ci_hi,mae_formatted
boruta,0.5352538220048602,0.293659377909918,0.7399132813368362,"0.535 [0.294, 0.740]",1317217.682171002,1894.1242857946688,3785822.5070035104,"1317217.682 [1894.124, 3785822.507]",223.5548200176025,14.14695547662772,576.9839796369225,"223.555 [14.147, 576.984]"
cat,0.4860089839949324,0.17414972650131944,0.7600646020269709,"0.486 [0.174, 0.760]",1248065.47422723,1077.9314230241657,3602605.8759301193,"1248065.474 [1077.931, 3602605.876]",214.2751389711663,12.42184272900859,562.425429054557,"214.275 [12.422, 562.425]"
cif,0.48150184192746603,0.16358365088917765,0.7456545234654348,"0.482 [0.164, 0.746]",1317465.7560338387,1478.1440834599196,3804461.431146647,"1317465.756 [1478.144, 3804461.431]",220.74212681183164,14.21668824861973,573.8736472581478,"220.742 [14.217, 573.874]"
cit,0.4538250489345135,0.13363227366904212,0.711065576152232,"0.454 [0.134, 0.711]",1278578.0516926213,2218.729937356949,3688160.243525217,"1278578.052 [2218.730, 3688160.244]",218.13785324183635,17.28141989844695,558.567109527201,"218.138 [17.281, 558.567]"
cpi,0.37494044055343384,-0.05067194500699587,0.7109648440458781,"0.375 [-0.051, 0.711]",1542979.0755111938,1485.7046993205001,4483208.450129134,"1542979.076 [1485.705, 4483208.450]",240.7018194972611,14.904753808586,629.6073070357908,"240.702 [14.905, 629.607]"
et,0.5620624287230105,0.31278486276519235,0.7726127183866688,"0.562 [0.313, 0.773]",1181451.960625153,1178.842979114166,3406278.0378549267,"1181451.961 [1178.843, 3406278.038]",205.41781798582127,12.26428307945338,536.9782088147482,"205.418 [12.264, 536.978]"
lgbm,0.2735277228130676,-0.3588242080170279,0.7336591748206495,"0.274 [-0.359, 0.734]",1400914.1037049496,1098.7524860464273,4057320.633668598,"1400914.104 [1098.752, 4057320.634]",226.81917441290585,12.695794549065583,596.7113421983138,"226.819 [12.696, 596.711]"
pi,0.5114630292060391,0.2183412894815807,0.7612672571112686,"0.511 [0.218, 0.761]",1314726.856488424,1131.4515908921917,3803175.7693212987,"1314726.856 [1131.452, 3803175.769]",219.77697536115588,12.98775908108984,577.2629776050717,"219.777 [12.988, 577.263]"
ptest_dc,0.5146988965873318,0.2256722501917452,0.7623301900347936,"0.515 [0.226, 0.762]",1397519.488231365,1288.6781244946994,4037527.5042586415,"1397519.488 [1288.678, 4037527.504]",220.78276388388107,13.058511646715242,574.7598856013162,"220.783 [13.059, 574.760]"
ptest_pc,0.5265152484050456,0.2516158159334002,0.7649219277671568,"0.527 [0.252, 0.765]",1327736.5378000336,1271.8564728859246,3834402.2742202845,"1327736.538 [1271.856, 3834402.274]",217.0021845186095,12.849070868386127,564.4943880935675,"217.002 [12.849, 564.494]"
ptest_rdc,0.4538316388271386,0.08653029721363721,0.7536462354383512,"0.454 [0.087, 0.754]",1384570.098057164,1315.5784395657797,3998559.7679474754,"1384570.098 [1315.578, 3998559.768]",223.2499847747111,12.77554536745601,584.1025135454371,"223.250 [12.776, 584.103]"
r_cforest,0.2399365159596905,-0.12573049369839698,0.5277111923004477,"0.240 [-0.126, 0.528]",1477112.2169382423,7663.927277308817,4187036.2653299933,"1477112.217 [7663.927, 4187036.265]",270.1797147990721,33.09299700998885,645.1059459007591,"270.180 [33.093, 645.106]"
r_ctree,0.14696069529776618,-0.18459739510797613,0.43359705674237076,"0.147 [-0.185, 0.434]",1489628.9853661451,6927.240973576133,4081741.239886413,"1489628.985 [6927.241, 4081741.240]",295.73131926832224,30.303659470998443,691.0392141190998,"295.731 [30.304, 691.039]"
rf,0.5667617813811098,0.32699863786325656,0.7727257756441628,"0.567 [0.327, 0.773]",1309143.5113878087,1129.689891370385,3785655.0655053426,"1309143.511 [1129.690, 3785655.066]",214.39467341508455,12.597882059735618,561.2545448962176,"214.395 [12.598, 561.255]"
rfe,0.5510800057073303,0.291946890864185,0.7721475818371937,"0.551 [0.292, 0.772]",1295672.587464488,1077.2143460377797,3732737.3099191063,"1295672.587 [1077.214, 3732737.310]",219.68564123423727,12.033862438149209,572.2754699687351,"219.686 [12.034, 572.275]"
xgb,0.3722130169176939,-0.02356216159260313,0.6868952110437073,"0.372 [-0.024, 0.687]",1591764.1082877575,2148.7932341164783,4553925.500428428,"1591764.108 [2148.793, 4553925.500]",255.14404010919156,16.060938328575034,656.4155249685521,"255.144 [16.061, 656.416]"
