method_base,mean_sec,std_sec,median_sec,min_sec,max_sec,total_sec,n_runs
rf,2.577,5.07,0.767,0.304,22.16,16237.283,6300
et,2.288,4.209,0.775,0.296,19.685,14417.353,6300
cpi,2.385,4.561,0.776,0.294,24.526,15023.153,6300
r_cforest,1.097,1.186,0.777,0.288,5.069,27638.585,25200
pi,2.42,4.559,0.781,0.296,20.447,15245.959,6300
cat,2.404,4.726,0.785,0.3,19.641,15142.267,6300
lgbm,2.58,5.032,0.788,0.295,22.063,32506.566,12600
r_ctree,2.183,3.871,0.793,0.33,15.204,27503.054,12600
xgb,2.463,4.808,0.798,0.292,35.755,77593.176,31500
boruta,2.47,4.804,0.804,0.301,19.592,15560.135,6300
cif,2.459,4.692,0.805,0.294,23.355,61967.828,25200
ptest_dc,2.164,3.788,0.814,0.33,14.802,13635.629,6300
rfe,2.341,4.182,0.819,0.289,16.314,14749.907,6300
ptest_pc,2.18,3.809,0.826,0.331,15.106,13731.461,6300
cit,3.122,6.589,0.933,0.284,37.588,78671.744,25200
ptest_rdc,2.456,3.948,1.04,0.305,15.26,15472.379,6300
