method,r2_mean,r2_ci_lo,r2_ci_hi,r2_formatted,mse_mean,mse_ci_lo,mse_ci_hi,mse_formatted,mae_mean,mae_ci_lo,mae_ci_hi,mae_formatted
boruta,0.3181299622939569,0.11736284295045235,0.4800709108693794,"0.318 [0.117, 0.480]",2576689.812242864,13676.146936375319,7306135.643050278,"2576689.812 [13676.147, 7306135.643]",353.0053733411337,41.24935939757971,838.4069988241408,"353.005 [41.249, 838.407]"
cat,0.3788777055658249,0.2191176214584772,0.5217426117046516,"0.379 [0.219, 0.522]",2533461.622059761,13125.156226474775,7198810.56589428,"2533461.622 [13125.156, 7198810.566]",345.29510186701157,39.02912421933268,826.5200979037198,"345.295 [39.029, 826.520]"
cif,0.3528407382159281,0.1754250750151666,0.5110660528287837,"0.353 [0.175, 0.511]",2553317.867637719,13206.31422783857,7252650.131059157,"2553317.868 [13206.314, 7252650.131]",347.7072222983097,39.84004088184065,830.4842879412796,"347.707 [39.840, 830.484]"
cit,0.19856895600155805,-0.17486211051779407,0.4768518018631243,"0.199 [-0.175, 0.477]",2571185.080140085,13697.3580619471,7317264.169233304,"2571185.080 [13697.358, 7317264.169]",344.68415352402127,41.85709726637313,825.5537516870438,"344.684 [41.857, 825.554]"
cpi,0.11808681132896282,-0.43806421302004306,0.4825979009715158,"0.118 [-0.438, 0.483]",2719422.570406295,13336.536288115129,7743542.548407881,"2719422.570 [13336.536, 7743542.548]",365.841800594525,40.59920016675105,877.4764241104424,"365.842 [40.599, 877.476]"
et,0.39831431782275617,0.24993405899317253,0.5284080220123776,"0.398 [0.250, 0.528]",2489351.2648438294,13118.882765002556,7069187.202011778,"2489351.265 [13118.883, 7069187.202]",340.79792151898823,39.115596709539844,814.8389325590188,"340.798 [39.116, 814.839]"
lgbm,0.1935546097222731,-0.20956297158236672,0.48716517857249764,"0.194 [-0.210, 0.487]",2611256.7865214264,13167.558355926623,7421003.799152679,"2611256.787 [13167.558, 7421003.799]",352.85823449703025,39.178814036267894,844.0747703805497,"352.858 [39.179, 844.075]"
pi,0.2965807318747994,0.023225380784340274,0.5063123185891645,"0.297 [0.023, 0.506]",2562575.392967647,13173.634070360882,7281311.485489626,"2562575.393 [13173.634, 7281311.485]",349.20580468449543,39.48577147675898,835.426099537462,"349.206 [39.486, 835.426]"
ptest_dc,0.29971370620242177,0.05250445944279316,0.4968790034577693,"0.300 [0.053, 0.497]",2584520.783750978,13078.072132257734,7344954.665079232,"2584520.784 [13078.072, 7344954.665]",347.3420055273043,39.48609697115592,831.579476150355,"347.342 [39.486, 831.579]"
ptest_pc,0.3331088687466587,0.12962211514068578,0.5053585070892802,"0.333 [0.130, 0.505]",2552160.6456104307,13076.029629251077,7249651.269952348,"2552160.646 [13076.030, 7249651.270]",345.93569799773485,39.44137543313758,828.230594089319,"345.936 [39.441, 828.231]"
ptest_rdc,0.29015146637070754,0.02579804477474717,0.5029072997114019,"0.290 [0.026, 0.503]",2578660.1164279995,13090.78268174684,7329813.27298967,"2578660.116 [13090.783, 7329813.273]",347.47973281464664,39.597623778744634,834.021760171827,"347.480 [39.598, 834.022]"
r_cforest,-0.12604398543785644,-0.843507341353781,0.3429206801484818,"-0.126 [-0.844, 0.343]",2641747.2730728122,16464.47256668937,7451308.487722986,"2641747.273 [16464.473, 7451308.488]",375.42515698761963,51.75889048113755,873.0467398822561,"375.425 [51.759, 873.047]"
r_ctree,0.06297116404888634,-0.19755351608865868,0.27057865425351013,"0.063 [-0.198, 0.271]",2675125.832045174,17733.24989276392,7475859.045118557,"2675125.832 [17733.250, 7475859.045]",394.7656029688202,51.82659902635168,920.4608381778494,"394.766 [51.827, 920.461]"
rf,0.3876968939354339,0.23542899870249598,0.525620926511994,"0.388 [0.235, 0.526]",2558552.3841878027,13104.21004638282,7269016.185253102,"2558552.384 [13104.210, 7269016.185]",346.24474609495905,39.31444355643245,826.5858767620024,"346.245 [39.314, 826.586]"
rfe,0.4073942996891718,0.26928843489724985,0.5344665134789582,"0.407 [0.269, 0.534]",2559923.5043246686,13128.614497049219,7259584.546987508,"2559923.504 [13128.614, 7259584.547]",350.7642274054027,38.9857098777757,835.0977017633664,"350.764 [38.986, 835.098]"
xgb,0.30586922237464,0.12658235977856633,0.4616295072583786,"0.306 [0.127, 0.462]",2781099.824352584,13851.57644567061,7880147.467929561,"2781099.824 [13851.576, 7880147.468]",375.51171133836846,41.77049691458438,896.761095982265,"375.512 [41.770, 896.761]"
