method,avg_rank,std_rank,cd
cat,6.541666666666667,3.3132205715218475,6.659027490953155
ptest_dc,6.708333333333333,4.074608024774353,6.659027490953155
ptest_pc,6.708333333333333,2.9044386529739077,6.659027490953155
et,6.958333333333333,3.0717688534277587,6.659027490953155
ptest_rdc,7.041666666666667,3.003181183715398,6.659027490953155
rfe,7.041666666666667,2.349275893168408,6.659027490953155
cif,7.291666666666667,2.4871195968205653,6.659027490953155
rf,7.541666666666667,2.056071631912555,6.659027490953155
pi,7.791666666666667,2.8244345550137204,6.659027490953155
boruta,7.875,2.902046691560975,6.659027490953155
cit,9.291666666666666,4.832435261393116,6.659027490953155
cpi,9.333333333333334,4.818944098266987,6.659027490953155
xgb,9.625,4.439993430926071,6.659027490953155
lgbm,9.958333333333334,3.0308025156530554,6.659027490953155
r_ctree,11.875,3.0695072894521687,6.659027490953155
r_cforest,14.416666666666666,2.8418988174966553,6.659027490953155
