method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,48.0,0.322509765625,1.0,False,16,0.0001583428273810143,negligible
boruta,cif,35.0,0.09344482421875,1.0,False,16,0.0003696507083584723,negligible
boruta,cit,56.0,0.5618896484375,1.0,False,16,0.00017724204430838718,negligible
boruta,cpi,41.0,0.17535400390625,1.0,False,16,-0.001013882939920278,negligible
boruta,et,31.0,0.05767822265625,1.0,False,16,0.00028501890059097224,negligible
boruta,lgbm,62.0,0.781951904296875,1.0,False,16,-0.00013301136029048496,negligible
boruta,pi,63.0,0.820892333984375,1.0,False,16,3.796246159247448e-05,negligible
boruta,ptest_dc,26.0,0.02899169921875,1.0,False,16,0.0003538398678781419,negligible
boruta,ptest_pc,27.0,0.033538818359375,1.0,False,16,0.0003761880782750264,negligible
boruta,ptest_rdc,27.0,0.033538818359375,1.0,False,16,0.0006104117430585973,negligible
boruta,r_cforest,16.0,0.005157470703125,0.44354248046875,False,16,-0.0008398721294668567,negligible
boruta,r_ctree,2.0,9.1552734375e-05,0.01080322265625,True,16,-0.0019365678794450803,negligible
boruta,rf,38.0,0.129730224609375,1.0,False,16,0.00012263386406785582,negligible
boruta,rfe,59.0,0.668548583984375,1.0,False,16,-0.00030875312645754077,negligible
boruta,xgb,34.0,0.083251953125,1.0,False,16,-0.0006440454886292366,negligible
cat,cif,54.0,0.49542236328125,1.0,False,16,0.00021126563764548186,negligible
cat,cit,48.0,0.322509765625,1.0,False,16,1.8953966686981476e-05,negligible
cat,cpi,10.0,0.001312255859375,0.127288818359375,False,16,-0.0011720564122766786,negligible
cat,et,35.0,0.09344482421875,1.0,False,16,0.00012665707037501502,negligible
cat,lgbm,18.0,0.00762939453125,0.6103515625,False,16,-0.0002913197864113985,negligible
cat,pi,8.0,0.000762939453125,0.07781982421875,False,16,-0.00012035051457957007,negligible
cat,ptest_dc,67.0,0.979949951171875,1.0,False,16,0.00019543447685126035,negligible
cat,ptest_pc,63.0,0.820892333984375,1.0,False,16,0.00021777987339074894,negligible
cat,ptest_rdc,57.0,0.596588134765625,1.0,False,16,0.0004520093150375255,negligible
cat,r_cforest,24.0,0.021392822265625,1.0,False,16,-0.0009981226622473886,negligible
cat,r_ctree,6.0,0.00042724609375,0.0452880859375,True,16,-0.002094738174499983,negligible
cat,rf,40.0,0.1590576171875,1.0,False,16,-3.57069184438831e-05,negligible
cat,rfe,48.0,0.322509765625,1.0,False,16,-0.00046707207041928885,negligible
cat,xgb,3.0,0.000152587890625,0.01739501953125,True,16,-0.000802300359895071,negligible
cif,cit,23.0,0.01824951171875,1.0,False,16,-0.00019223354456066727,negligible
cif,cpi,34.0,0.083251953125,1.0,False,16,-0.0013834081947681248,negligible
cif,et,52.0,0.433197021484375,1.0,False,16,-8.460013688127274e-05,negligible
cif,lgbm,54.0,0.49542236328125,1.0,False,16,-0.0005026172001867302,negligible
cif,pi,44.0,0.231201171875,1.0,False,16,-0.00033160840508029217,negligible
cif,ptest_dc,43.0,0.21142578125,1.0,False,16,-1.5862493182456864e-05,negligible
cif,ptest_pc,52.0,0.433197021484375,1.0,False,16,6.485114149423165e-06,negligible
cif,ptest_rdc,29.0,0.0443115234375,1.0,False,16,0.00024078477082886384,negligible
cif,r_cforest,0.0,3.0517578125e-05,0.003662109375,True,16,-0.0012095312037325883,negligible
cif,r_ctree,5.0,0.00030517578125,0.03326416015625,True,16,-0.0023063317188952727,negligible
cif,rf,60.0,0.705718994140625,1.0,False,16,-0.00024697935201483794,negligible
cif,rfe,44.0,0.231201171875,1.0,False,16,-0.0006784304208233058,negligible
cif,xgb,4.0,0.000213623046875,0.023712158203125,True,16,-0.00101366247798433,negligible
cit,cpi,59.0,0.668548583984375,1.0,False,16,-0.0011905855183183668,negligible
cit,et,22.0,0.0155029296875,1.0,False,16,0.00010765703286655461,negligible
cit,lgbm,46.0,0.274444580078125,1.0,False,16,-0.00031016894641170686,negligible
cit,pi,54.0,0.49542236328125,1.0,False,16,-0.000139259314043806,negligible
cit,ptest_dc,24.0,0.021392822265625,1.0,False,16,0.00017640541117151378,negligible
cit,ptest_pc,25.0,0.02496337890625,1.0,False,16,0.00019874273834851445,negligible
cit,ptest_rdc,12.0,0.00213623046875,0.2008056640625,False,16,0.00043289186129375596,negligible
cit,r_cforest,40.0,0.1590576171875,1.0,False,16,-0.001016720724126931,negligible
cit,r_ctree,5.0,0.00030517578125,0.03326416015625,True,16,-0.0021129480669548582,negligible
cit,rf,31.0,0.05767822265625,1.0,False,16,-5.464829536580289e-05,negligible
cit,rfe,38.0,0.129730224609375,1.0,False,16,-0.0004858617051851518,negligible
cit,xgb,39.0,0.14385986328125,1.0,False,16,-0.0008209666129246323,negligible
cpi,et,13.0,0.002685546875,0.244384765625,False,16,0.001298718436527244,negligible
cpi,lgbm,38.0,0.129730224609375,1.0,False,16,0.0008807938646349421,negligible
cpi,pi,26.0,0.02899169921875,1.0,False,16,0.00105161396487421,negligible
cpi,ptest_dc,11.0,0.001678466796875,0.1611328125,False,16,0.0013677440847461263,negligible
cpi,ptest_pc,16.0,0.005157470703125,0.44354248046875,False,16,0.001390086356305579,negligible
cpi,ptest_rdc,16.0,0.005157470703125,0.44354248046875,False,16,0.0016240225231425535,negligible
cpi,r_cforest,41.0,0.17535400390625,1.0,False,16,0.00017431844493998684,negligible
cpi,r_ctree,37.0,0.116668701171875,1.0,False,16,-0.0009217190078208983,negligible
cpi,rf,12.0,0.00213623046875,0.2008056640625,False,16,0.0011363725689357768,negligible
cpi,rfe,12.0,0.00213623046875,0.2008056640625,False,16,0.0007053073263252909,negligible
cpi,xgb,68.0,1.0,1.0,False,16,0.00036996348133943257,negligible
et,lgbm,27.0,0.033538818359375,1.0,False,16,-0.00041798428566525056,negligible
et,pi,16.0,0.005157470703125,0.44354248046875,False,16,-0.00024699814263547766,negligible
et,ptest_dc,64.0,0.860260009765625,1.0,False,16,6.875082618592493e-05,negligible
et,ptest_pc,64.0,0.860260009765625,1.0,False,16,9.109665567909909e-05,negligible
et,ptest_rdc,51.0,0.40374755859375,1.0,False,16,0.00032535883588353625,negligible
et,r_cforest,11.0,0.001678466796875,0.1611328125,False,16,-0.001124825597828018,negligible
et,r_ctree,7.0,0.000579833984375,0.060882568359375,False,16,-0.002221508319400451,negligible
et,rf,55.0,0.528167724609375,1.0,False,16,-0.00016236663782416468,negligible
et,rfe,53.0,0.4637451171875,1.0,False,16,-0.0005937660805599088,negligible
et,xgb,5.0,0.00030517578125,0.03326416015625,True,16,-0.0009289832780888886,negligible
lgbm,pi,67.0,0.979949951171875,1.0,False,16,0.00017094050829386824,negligible
lgbm,ptest_dc,20.0,0.010986328125,0.867919921875,False,16,0.00048682684048458925,negligible
lgbm,ptest_pc,14.0,0.00335693359375,0.3021240234375,False,16,0.0005091725532738831,negligible
lgbm,ptest_rdc,24.0,0.021392822265625,1.0,False,16,0.0007433404692062933,negligible
lgbm,r_cforest,20.0,0.010986328125,0.867919921875,False,16,-0.0007067559262251346,negligible
lgbm,r_ctree,7.0,0.000579833984375,0.060882568359375,False,16,-0.0018032811356442386,negligible
lgbm,rf,41.0,0.17535400390625,1.0,False,16,0.0002556168641099522,negligible
lgbm,rfe,61.0,0.743560791015625,1.0,False,16,-0.0001756947479870448,negligible
lgbm,xgb,20.0,0.010986328125,0.867919921875,False,16,-0.0005109681657404284,negligible
pi,ptest_dc,28.0,0.03863525390625,1.0,False,16,0.0003157956586710702,negligible
