method,r2_mean,r2_ci_lo,r2_ci_hi,r2_formatted,mse_mean,mse_ci_lo,mse_ci_hi,mse_formatted,mae_mean,mae_ci_lo,mae_ci_hi,mae_formatted
boruta,0.22549113440541962,,,0.225 [insufficient data],0.04178097613878348,,,0.042 [insufficient data],0.1662482090642487,,,0.166 [insufficient data]
cat,0.22549113440541954,,,0.225 [insufficient data],0.04178097613878349,,,0.042 [insufficient data],0.1662482090642487,,,0.166 [insufficient data]
cif,0.22549113440541965,,,0.225 [insufficient data],0.04178097613878348,,,0.042 [insufficient data],0.1662482090642487,,,0.166 [insufficient data]
cit,0.22549113440541946,,,0.225 [insufficient data],0.04178097613878349,,,0.042 [insufficient data],0.16624820906424873,,,0.166 [insufficient data]
cpi,0.22549113440541968,,,0.225 [insufficient data],0.04178097613878348,,,0.042 [insufficient data],0.1662482090642487,,,0.166 [insufficient data]
et,0.22549113440541946,,,0.225 [insufficient data],0.04178097613878349,,,0.042 [insufficient data],0.16624820906424873,,,0.166 [insufficient data]
lgbm,0.22549113440541962,,,0.225 [insufficient data],0.04178097613878348,,,0.042 [insufficient data],0.1662482090642487,,,0.166 [insufficient data]
pi,0.22549113440541946,,,0.225 [insufficient data],0.0417809761387835,,,0.042 [insufficient data],0.16624820906424873,,,0.166 [insufficient data]
ptest_dc,0.22549113440541962,,,0.225 [insufficient data],0.04178097613878348,,,0.042 [insufficient data],0.1662482090642487,,,0.166 [insufficient data]
ptest_pc,0.22549113440541954,,,0.225 [insufficient data],0.04178097613878349,,,0.042 [insufficient data],0.1662482090642487,,,0.166 [insufficient data]
ptest_rdc,0.22549113440541962,,,0.225 [insufficient data],0.04178097613878348,,,0.042 [insufficient data],0.1662482090642487,,,0.166 [insufficient data]
r_cforest,0.6103090432068233,,,0.610 [insufficient data],0.02105638369390955,,,0.021 [insufficient data],0.10516679836119712,,,0.105 [insufficient data]
r_ctree,0.2254911344054196,,,0.225 [insufficient data],0.04178097613878349,,,0.042 [insufficient data],0.1662482090642487,,,0.166 [insufficient data]
rf,0.2254911344054195,,,0.225 [insufficient data],0.04178097613878349,,,0.042 [insufficient data],0.16624820906424873,,,0.166 [insufficient data]
rfe,0.22549113440541954,,,0.225 [insufficient data],0.04178097613878349,,,0.042 [insufficient data],0.16624820906424873,,,0.166 [insufficient data]
xgb,0.22549113440541949,,,0.225 [insufficient data],0.041780976138783496,,,0.042 [insufficient data],0.16624820906424873,,,0.166 [insufficient data]
