method,avg_rank,std_rank,cd
cat,4.8,2.4276188608044165,5.956015253524448
cif,5.6,3.0724582991474434,5.956015253524448
ptest_rdc,5.933333333333334,5.195724738239657,5.956015253524448
ptest_pc,6.133333333333334,4.8424052792893,5.956015253524448
rf,6.2,3.0594117081556713,5.956015253524448
ptest_dc,6.466666666666667,4.208985098043892,5.956015253524448
et,6.6,3.2,5.956015253524448
boruta,6.866666666666666,2.9181424837652385,5.956015253524448
rfe,7.466666666666667,3.7570674142947653,5.956015253524448
pi,8.866666666666667,3.1382939455839525,5.956015253524448
lgbm,9.0,3.40587727318528,5.956015253524448
cpi,10.8,3.727376199598497,5.956015253524448
cit,11.333333333333334,3.3399933466334266,5.956015253524448
xgb,11.4,4.062839729384692,5.956015253524448
r_cforest,13.933333333333334,2.5940101944458287,5.956015253524448
r_ctree,14.6,2.154065922853802,5.956015253524448
