method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,33.0,0.1353759765625,1.0,False,15,0.000388548752114112,negligible
boruta,cif,32.0,0.3454475304692258,1.0,False,15,0.0012561507520277623,negligible
boruta,cit,29.0,0.24886387493792206,1.0,False,15,0.000325251941899931,negligible
boruta,cpi,35.0,0.46307101501458814,1.0,False,15,-0.0009016232655591552,negligible
boruta,et,28.0,0.221330082993901,1.0,False,15,0.0015199457629825569,negligible
boruta,lgbm,26.0,0.17295491798842066,1.0,False,15,-0.00014561121405374936,negligible
boruta,pi,34.0,0.421578895217645,1.0,False,15,-1.919951178370706e-05,negligible
boruta,ptest_dc,52.0,0.67877197265625,1.0,False,15,0.0018104496761124859,negligible
boruta,ptest_pc,56.0,0.846923828125,1.0,False,15,0.0011205473569900158,negligible
boruta,ptest_rdc,37.0,0.5524933360016062,1.0,False,15,0.0019427375730448214,negligible
boruta,r_cforest,29.0,0.083251953125,1.0,False,15,3.08034674019328e-05,negligible
boruta,r_ctree,9.0,0.01074678300534386,1.0,False,15,-0.001418307725736315,negligible
boruta,rf,29.0,0.24886387493792206,1.0,False,15,-0.00013047033924290736,negligible
boruta,rfe,33.0,0.38235208985751545,1.0,False,15,-0.0002560427010999684,negligible
boruta,xgb,26.0,0.09619703646278292,1.0,False,15,-0.0009805182773719593,negligible
cat,cif,56.0,0.846923828125,1.0,False,15,0.0008675461417832418,negligible
cat,cit,35.0,0.1688232421875,1.0,False,15,-6.326692675493859e-05,negligible
cat,cpi,24.0,0.041259765625,1.0,False,15,-0.0012900601818981536,negligible
cat,et,48.0,0.52447509765625,1.0,False,15,0.0011313035838419316,negligible
cat,lgbm,18.0,0.01507568359375,1.0,False,15,-0.0005341488856974549,negligible
cat,pi,35.0,0.1688232421875,1.0,False,15,-0.0004076873622744473,negligible
cat,ptest_dc,51.0,0.9249783071207602,1.0,False,15,0.001421822199005076,negligible
cat,ptest_pc,43.0,0.550923682773407,1.0,False,15,0.0007320160381594199,negligible
cat,ptest_rdc,57.0,0.890380859375,1.0,False,15,0.001554072120389082,negligible
cat,r_cforest,18.0,0.01507568359375,1.0,False,15,-0.0003577638716951613,negligible
cat,r_ctree,1.0,0.0001220703125,0.014404296875,True,15,-0.0018067805057691711,negligible
cat,rf,32.0,0.12054443359375,1.0,False,15,-0.0005190035673696826,negligible
cat,rfe,40.0,0.27685546875,1.0,False,15,-0.0006445586023319561,negligible
cat,xgb,10.0,0.0076304147392456095,0.7935631328815433,False,15,-0.0013689468700666175,negligible
cif,cit,4.0,0.0037285953227358883,0.39895969953274,False,15,-0.0009307553714010361,negligible
cif,cpi,13.0,0.023129802497359468,1.0,False,15,-0.002157541611985629,negligible
cif,et,34.0,0.421578895217645,1.0,False,15,0.0002637114861357159,negligible
cif,lgbm,17.0,0.04639946187090464,1.0,False,15,-0.001401747040069604,negligible
cif,pi,19.0,0.06403014843302322,1.0,False,15,-0.001275155972717931,negligible
cif,ptest_dc,54.0,0.76153564453125,1.0,False,15,0.0005543048056409441,negligible
cif,ptest_pc,50.0,0.5994873046875,1.0,False,15,-0.00013538584169929503,negligible
cif,ptest_rdc,32.0,0.3454475304692258,1.0,False,15,0.0006864889496601137,negligible
cif,r_cforest,0.0,6.103515625e-05,0.00732421875,True,15,-0.0012254029957761558,negligible
cif,r_ctree,0.0,0.0014737808438751421,0.1650634545140159,False,15,-0.0026744162640926663,negligible
cif,rf,24.0,0.13295729296233563,1.0,False,15,-0.0013865896119727558,negligible
cif,rfe,32.0,0.3454475304692258,1.0,False,15,-0.0015121239512467344,negligible
cif,xgb,23.0,0.06403929052055474,1.0,False,15,-0.0022364210063860472,negligible
cit,cpi,44.0,0.916511907863894,1.0,False,15,-0.0012267123574717183,negligible
cit,et,4.0,0.0037285953227358883,0.39895969953274,False,15,0.001194498593555007,negligible
cit,lgbm,30.0,0.2787073832496024,1.0,False,15,-0.0004708426875306365,negligible
cit,pi,30.0,0.2787073832496024,1.0,False,15,-0.0003443990072339003,negligible
cit,ptest_dc,16.0,0.01025390625,1.0,False,15,0.0014849924288600717,negligible
cit,ptest_pc,11.0,0.00335693359375,0.362548828125,False,15,0.0007952237937086478,negligible
cit,ptest_rdc,10.0,0.01310361411003846,1.0,False,15,0.0016172383145248183,negligible
cit,r_cforest,20.0,0.02154541015625,1.0,False,15,-0.0002944663993995948,negligible
cit,r_ctree,6.0,0.0057715890441035304,0.6060168496308707,False,15,-0.001743387161858038,negligible
cit,rf,28.0,0.221330082993901,1.0,False,15,-0.00045569925798110783,negligible
cit,rfe,28.0,0.221330082993901,1.0,False,15,-0.0005812474675552917,negligible
cit,xgb,50.0,0.8752911852109797,1.0,False,15,-0.0013055943500471132,negligible
cpi,et,11.0,0.015906444101703374,1.0,False,15,0.0024213475404415803,negligible
cpi,lgbm,26.0,0.17295491798842066,1.0,False,15,0.0007560282694371089,negligible
cpi,pi,35.0,0.46307101501458814,1.0,False,15,0.000882288145643949,negligible
cpi,ptest_dc,38.0,0.22930908203125,1.0,False,15,0.0027117336197505287,negligible
cpi,ptest_pc,43.0,0.359130859375,1.0,False,15,0.0020218075842997015,negligible
cpi,ptest_rdc,27.0,0.1960509634811064,1.0,False,15,0.0028440712415910897,negligible
cpi,r_cforest,25.0,0.04791259765625,1.0,False,15,0.0009324609406557815,negligible
cpi,r_ctree,9.0,0.01074678300534386,1.0,False,15,-0.0005164528847930614,negligible
cpi,rf,30.0,0.2787073832496024,1.0,False,15,0.0007711544901365334,negligible
cpi,rfe,25.0,0.15195618574341047,1.0,False,15,0.0006455780927657319,negligible
cpi,xgb,49.0,0.8260910288588201,1.0,False,15,-7.889164838012714e-05,negligible
et,lgbm,13.0,0.023129802497359468,1.0,False,15,-0.0016655485807753503,negligible
et,pi,21.0,0.08686008151624075,1.0,False,15,-0.0015389113742517123,negligible
et,ptest_dc,58.0,0.93408203125,1.0,False,15,0.0002906314682385569,negligible
et,ptest_pc,43.0,0.359130859375,1.0,False,15,-0.0003990605992671067,negligible
et,ptest_rdc,40.0,0.700703412251682,1.0,False,15,0.00042280261536875867,negligible
et,r_cforest,0.0,6.103515625e-05,0.00732421875,True,15,-0.0014892076836233227,negligible
et,r_ctree,0.0,0.0014737808438751421,0.1650634545140159,False,15,-0.002938296484169588,negligible
et,rf,13.0,0.023129802497359468,1.0,False,15,-0.0016503866637175184,negligible
et,rfe,27.0,0.1960509634811064,1.0,False,15,-0.0017759213388069907,negligible
et,xgb,20.0,0.04132685891250041,1.0,False,15,-0.0025002288772794545,negligible
lgbm,pi,26.0,0.17295491798842066,1.0,False,15,0.00012638943480309557,negligible
lgbm,ptest_dc,43.0,0.359130859375,1.0,False,15,0.0019560386871249804,negligible
lgbm,ptest_pc,50.0,0.5994873046875,1.0,False,15,0.0012661200738163484,negligible
lgbm,ptest_rdc,30.0,0.2787073832496024,1.0,False,15,0.0020883370177444053,negligible
lgbm,r_cforest,30.0,0.0946044921875,1.0,False,15,0.00017642076608853858,negligible
lgbm,r_ctree,9.0,0.01074678300534386,1.0,False,15,-0.0012726845848070076,negligible
lgbm,rf,30.0,0.2787073832496024,1.0,False,15,1.5138778531377215e-05,negligible
lgbm,rfe,45.0,0.972125329731665,1.0,False,15,-0.00011043649582590372,negligible
lgbm,xgb,26.0,0.09619703646278292,1.0,False,15,-0.0008349241550666109,negligible
pi,ptest_dc,45.0,0.42120361328125,1.0,False,15,0.001829368946543746,negligible
pi,ptest_pc,34.0,0.15142822265625,1.0,False,15,0.0011395703105125889,negligible
pi,ptest_rdc,31.0,0.31089682851661204,1.0,False,15,0.001961637874065757,negligible
pi,r_cforest,26.0,0.05535888671875,1.0,False,15,4.9999069517697304e-05,negligible
pi,r_ctree,0.0,0.0014737808438751421,0.1650634545140159,False,15,-0.0013988899855992543,negligible
pi,rf,44.0,0.916511907863894,1.0,False,15,-0.00011125115202668808,negligible
pi,rfe,45.0,0.972125329731665,1.0,False,15,-0.00023680470149635224,negligible
pi,xgb,23.0,0.06403929052055474,1.0,False,15,-0.0009611712328932238,negligible
ptest_dc,ptest_pc,39.0,0.6496440323317323,1.0,False,15,-0.0006895938694518744,negligible
ptest_dc,ptest_rdc,41.0,0.30279541015625,1.0,False,15,0.00013213767158250597,negligible
ptest_dc,r_cforest,2.0,0.00018310546875,0.021240234375,True,15,-0.0017797266836569287,negligible
ptest_dc,r_ctree,4.0,0.00042724609375,0.0487060546875,True,15,-0.003228689907602006,negligible
ptest_dc,rf,48.0,0.52447509765625,1.0,False,15,-0.0019408740146698814,negligible
ptest_dc,rfe,48.0,0.52447509765625,1.0,False,15,-0.002066390964076939,negligible
ptest_dc,xgb,36.0,0.30028987962532405,1.0,False,15,-0.0027906057443785417,negligible
ptest_pc,ptest_rdc,58.0,0.93408203125,1.0,False,15,0.0008217662423401702,negligible
ptest_pc,r_cforest,2.0,0.00018310546875,0.021240234375,True,15,-0.0010897988937723893,negligible
