method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,26.0,0.09619703646278292,1.0,False,15,-0.12690469633272322,negligible
boruta,cif,28.0,0.12404279309009482,1.0,False,15,-0.04975259239018444,negligible
boruta,cit,30.0,0.15781136896845493,1.0,False,15,0.06982031994624197,negligible
boruta,cpi,34.0,0.24549352944751968,1.0,False,15,-0.0005516552016690344,negligible
boruta,et,22.0,0.055532980815942684,1.0,False,15,-0.09953924808976428,negligible
boruta,lgbm,36.0,0.30028987962532405,1.0,False,15,-0.029898834927198806,negligible
boruta,pi,30.0,0.15781136896845493,1.0,False,15,-0.019330715523234048,negligible
boruta,ptest_dc,37.0,0.33053567270784123,1.0,False,15,0.036518727534248153,negligible
boruta,ptest_pc,45.0,0.6377666989276032,1.0,False,15,0.01211159743654781,negligible
boruta,ptest_rdc,52.0,0.9749599188317098,1.0,False,15,0.017857102189770227,negligible
boruta,r_cforest,8.0,0.00152587890625,0.1708984375,False,15,0.2715778997180669,small
boruta,r_ctree,3.0,0.0018871793085090975,0.20758972393600073,False,15,0.293719273857164,small
boruta,rf,43.0,0.550923682773407,1.0,False,15,-0.06234009720491999,negligible
boruta,rfe,48.0,0.7775646168566407,1.0,False,15,-0.11137120069166351,negligible
boruta,xgb,43.0,0.359130859375,1.0,False,15,-0.06371696012571292,negligible
cat,cif,45.0,0.6377666989276032,1.0,False,15,0.0786308803955738,negligible
cat,cit,30.0,0.15781136896845493,1.0,False,15,0.19505520678339935,negligible
cat,cpi,23.0,0.06403929052055474,1.0,False,15,0.12694065469011426,negligible
cat,et,39.0,0.6496440323317323,1.0,False,15,0.0273756660351139,negligible
cat,lgbm,12.0,0.011007912955186742,1.0,False,15,0.09791625941031255,negligible
cat,pi,32.0,0.3454475304692258,1.0,False,15,0.10908768478181428,negligible
cat,ptest_dc,45.0,0.6377666989276032,1.0,False,15,0.1628756891635012,negligible
cat,ptest_pc,36.0,0.30028987962532405,1.0,False,15,0.13903548384323236,negligible
cat,ptest_rdc,45.0,0.6377666989276032,1.0,False,15,0.14424958065171772,negligible
cat,r_cforest,5.0,0.0006103515625,0.0701904296875,False,15,0.39306205895143187,small
cat,r_ctree,3.0,0.0018871793085090975,0.20758972393600073,False,15,0.416223902678092,small
cat,rf,26.0,0.09619703646278292,1.0,False,15,0.06577334994728731,negligible
cat,rfe,14.0,0.015653550837455003,1.0,False,15,0.015168146401831298,negligible
cat,xgb,24.0,0.041259765625,1.0,False,15,0.06437112359867189,negligible
cif,cit,15.0,0.018566712279734193,1.0,False,15,0.11971869128863435,negligible
cif,cpi,19.0,0.03546470751403722,1.0,False,15,0.049434255724536226,negligible
cif,et,45.0,0.6377666989276032,1.0,False,15,-0.05094957150084252,negligible
cif,lgbm,21.0,0.04798974969495946,1.0,False,15,0.019864267567002165,negligible
cif,pi,20.0,0.04132685891250041,1.0,False,15,0.030803853390125525,negligible
cif,ptest_dc,45.0,0.6377666989276032,1.0,False,15,0.08648518012849526,negligible
cif,ptest_pc,43.0,0.550923682773407,1.0,False,15,0.06201766507496744,negligible
cif,ptest_rdc,52.0,0.9749599188317098,1.0,False,15,0.0676137218800892,negligible
cif,r_cforest,0.0,6.103515625e-05,0.00732421875,True,15,0.32228294226093357,small
cif,r_ctree,1.0,0.0012250235420688657,0.1396526837958507,False,15,0.3451779122762033,small
cif,rf,40.0,0.43262594902013973,1.0,False,15,-0.012845299412148679,negligible
cif,rfe,43.0,0.550923682773407,1.0,False,15,-0.06306217290979368,negligible
cif,xgb,33.0,0.1353759765625,1.0,False,15,-0.014248574535556351,negligible
cit,cpi,50.0,0.8752911852109797,1.0,False,15,-0.07069318315725107,negligible
cit,et,12.0,0.011007912955186742,1.0,False,15,-0.1680475716080947,negligible
cit,lgbm,39.0,0.39672623294506304,1.0,False,15,-0.09982075768322664,negligible
cit,pi,33.0,0.22089889066779878,1.0,False,15,-0.08973122040101979,negligible
cit,ptest_dc,16.0,0.021943664659377988,1.0,False,15,-0.0334889743899686,negligible
cit,ptest_pc,22.0,0.055532980815942684,1.0,False,15,-0.05788381951182264,negligible
cit,ptest_rdc,23.0,0.06403929052055474,1.0,False,15,-0.05191727900071909,negligible
cit,r_cforest,12.0,0.0042724609375,0.4315185546875,False,15,0.20121618143097494,small
cit,r_ctree,13.0,0.023129802497359468,1.0,False,15,0.22240696312154773,small
cit,rf,32.0,0.19812291175396723,1.0,False,15,-0.1319886429963291,negligible
cit,rfe,34.0,0.24549352944751968,1.0,False,15,-0.17952540311589735,negligible
cit,xgb,54.0,0.76153564453125,1.0,False,15,-0.13333319424710557,negligible
cpi,et,14.0,0.015653550837455003,1.0,False,15,-0.09945129844761928,negligible
cpi,lgbm,22.0,0.055532980815942684,1.0,False,15,-0.029486625959543503,negligible
cpi,pi,33.0,0.22089889066779878,1.0,False,15,-0.01886617327252018,negligible
cpi,ptest_dc,38.0,0.3626859408352129,1.0,False,15,0.037241746329482434,negligible
cpi,ptest_pc,38.0,0.3626859408352129,1.0,False,15,0.012721206797573322,negligible
cpi,ptest_rdc,34.0,0.24549352944751968,1.0,False,15,0.01849113633044056,negligible
cpi,r_cforest,20.0,0.02154541015625,1.0,False,15,0.27336230033147374,small
cpi,r_ctree,8.0,0.005213241256099401,0.5161108843538407,False,15,0.2956427032484281,small
cpi,rf,20.0,0.07473549830588254,1.0,False,15,-0.062081548532794496,negligible
cpi,rfe,21.0,0.04798974969495946,1.0,False,15,-0.1113355950389325,negligible
cpi,xgb,52.0,0.67877197265625,1.0,False,15,-0.06346490137168682,negligible
et,lgbm,15.0,0.018566712279734193,1.0,False,15,0.0703564114335386,negligible
et,pi,14.0,0.027707849358079868,1.0,False,15,0.08140159160702858,negligible
et,ptest_dc,36.0,0.30028987962532405,1.0,False,15,0.1356287370472831,negligible
et,ptest_pc,27.0,0.10942115881922926,1.0,False,15,0.11166699560555986,negligible
et,ptest_rdc,40.0,0.43262594902013973,1.0,False,15,0.11699359841274055,negligible
et,r_cforest,0.0,6.103515625e-05,0.00732421875,True,15,0.3668617731171718,small
et,r_ctree,1.0,0.0012250235420688657,0.1396526837958507,False,15,0.38981034966153694,small
et,rf,31.0,0.1771140408635976,1.0,False,15,0.0381479071290165,negligible
et,rfe,42.0,0.5097974849608639,1.0,False,15,-0.012129184681764037,negligible
et,xgb,33.0,0.1353759765625,1.0,False,15,0.036750913586996344,negligible
lgbm,pi,25.0,0.08428387967828295,1.0,False,15,0.010792480608454889,negligible
lgbm,ptest_dc,49.0,0.8260910288588201,1.0,False,15,0.06655310300931715,negligible
lgbm,ptest_pc,44.0,0.5936182407945829,1.0,False,15,0.04210477176851891,negligible
lgbm,ptest_rdc,52.0,0.9749599188317098,1.0,False,15,0.047762055126531144,negligible
lgbm,r_cforest,14.0,0.0067138671875,0.657958984375,False,15,0.3021015873957931,small
