method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,17.0,0.00628662109375,0.47149658203125,False,16,0.0011252003077845618,negligible
boruta,cif,18.0,0.00762939453125,0.54931640625,False,16,0.001693319501297754,negligible
boruta,cit,51.0,0.40374755859375,1.0,False,16,0.0008800729764087868,negligible
boruta,cpi,67.0,0.979949951171875,1.0,False,16,-0.000497569985090905,negligible
boruta,et,20.0,0.010986328125,0.758056640625,False,16,0.0017335296006875521,negligible
boruta,lgbm,25.0,0.02496337890625,1.0,False,16,0.0005966760660394183,negligible
boruta,pi,40.0,0.1590576171875,1.0,False,16,0.0006983029814122067,negligible
boruta,ptest_dc,11.0,0.001678466796875,0.15777587890625,False,16,0.0018690039730582869,negligible
boruta,ptest_pc,11.0,0.001678466796875,0.15777587890625,False,16,0.0016993149136804045,negligible
boruta,ptest_rdc,17.0,0.00628662109375,0.47149658203125,False,16,0.0021428182300544146,negligible
boruta,r_cforest,30.0,0.0506591796875,1.0,False,16,-0.0006913632485684347,negligible
boruta,r_ctree,10.0,0.001312255859375,0.127288818359375,False,16,-0.0030824949492944316,negligible
boruta,rf,11.0,0.001678466796875,0.15777587890625,False,16,0.000852351590262807,negligible
boruta,rfe,33.0,0.07391357421875,1.0,False,16,0.00035483224388046554,negligible
boruta,xgb,54.0,0.49542236328125,1.0,False,16,-0.0006273192207852648,negligible
cat,cif,67.0,0.979949951171875,1.0,False,16,0.0005678871426503912,negligible
cat,cit,31.0,0.05767822265625,1.0,False,16,-0.0002451333987021684,negligible
cat,cpi,9.0,0.001007080078125,0.101715087890625,False,16,-0.0016220509872057584,negligible
cat,et,66.0,0.93988037109375,1.0,False,16,0.0006082177456251238,negligible
cat,lgbm,12.0,0.00213623046875,0.1922607421875,False,16,-0.0005283744628009222,negligible
cat,pi,11.0,0.001678466796875,0.15777587890625,False,16,-0.00042676806826336854,negligible
cat,ptest_dc,60.0,0.705718994140625,1.0,False,16,0.000743571781929681,negligible
cat,ptest_pc,61.0,0.743560791015625,1.0,False,16,0.0005739703960435014,negligible
cat,ptest_rdc,66.0,0.93988037109375,1.0,False,16,0.001017282816066827,negligible
cat,r_cforest,14.0,0.00335693359375,0.2752685546875,False,16,-0.001816471193991358,negligible
cat,r_ctree,0.0,3.0517578125e-05,0.003662109375,True,16,-0.004207180750873213,negligible
cat,rf,55.0,0.528167724609375,1.0,False,16,-0.0002728285712933866,negligible
cat,rfe,54.0,0.49542236328125,1.0,False,16,-0.0007701673365152826,negligible
cat,xgb,4.0,0.000213623046875,0.0230712890625,True,16,-0.0017520786908838749,negligible
cif,cit,10.0,0.001312255859375,0.127288818359375,False,16,-0.0008130741792333449,negligible
cif,cpi,38.0,0.129730224609375,1.0,False,16,-0.002189908724688322,negligible
cif,et,47.0,0.2978515625,1.0,False,16,4.039978889625066e-05,negligible
cif,lgbm,21.0,0.013092041015625,0.877166748046875,False,16,-0.0010962948938523737,negligible
cif,pi,61.0,0.743560791015625,1.0,False,16,-0.0009946779204476914,negligible
cif,ptest_dc,21.0,0.013092041015625,0.877166748046875,False,16,0.00017572100573734524,negligible
cif,ptest_pc,67.0,0.979949951171875,1.0,False,16,6.128872684840782e-06,negligible
cif,ptest_rdc,28.0,0.03863525390625,1.0,False,16,0.0004494364613000148,negligible
cif,r_cforest,1.0,6.103515625e-05,0.00714111328125,True,16,-0.00238468611787386,negligible
cif,r_ctree,0.0,3.0517578125e-05,0.003662109375,True,16,-0.004775673730796055,negligible
cif,rf,63.0,0.820892333984375,1.0,False,16,-0.0008407618178773427,negligible
cif,rfe,59.0,0.668548583984375,1.0,False,16,-0.0013381118599328338,negligible
cif,xgb,9.0,0.001007080078125,0.101715087890625,False,16,-0.0023201040598576504,negligible
cit,cpi,60.0,0.705718994140625,1.0,False,16,-0.0013770830849533751,negligible
cit,et,10.0,0.001312255859375,0.127288818359375,False,16,0.0008533787371255097,negligible
cit,lgbm,45.0,0.252227783203125,1.0,False,16,-0.0002832765554311836,negligible
cit,pi,38.0,0.129730224609375,1.0,False,16,-0.00018166514096365873,negligible
cit,ptest_dc,14.0,0.00335693359375,0.2752685546875,False,16,0.0009887597306485097,negligible
cit,ptest_pc,19.0,0.009185791015625,0.64300537109375,False,16,0.0008191383212173209,negligible
cit,ptest_rdc,16.0,0.005157470703125,0.40228271484375,False,16,0.0012624947400600851,negligible
cit,r_cforest,13.0,0.002685546875,0.233642578125,False,16,-0.001571367714917143,negligible
cit,r_ctree,5.0,0.00030517578125,0.03265380859375,True,16,-0.003962182119241829,negligible
cit,rf,35.0,0.09344482421875,1.0,False,16,-2.7701034790199457e-05,negligible
cit,rfe,37.0,0.116668701171875,1.0,False,16,-0.0005250818356562184,negligible
cit,xgb,21.0,0.013092041015625,0.877166748046875,False,16,-0.001507050804611178,negligible
cpi,et,22.0,0.0155029296875,0.961181640625,False,16,0.002230040137225686,negligible
cpi,lgbm,38.0,0.129730224609375,1.0,False,16,0.0010937986907998212,negligible
cpi,pi,23.0,0.01824951171875,1.0,False,16,0.0011953696928311227,negligible
cpi,ptest_dc,25.0,0.02496337890625,1.0,False,16,0.0023654806575792936,negligible
cpi,ptest_pc,28.0,0.03863525390625,1.0,False,16,0.002195861699844932,negligible
cpi,ptest_rdc,30.0,0.0506591796875,1.0,False,16,0.0026391649061456063,negligible
cpi,r_cforest,49.0,0.348388671875,1.0,False,16,-0.00019339245351302593,negligible
cpi,r_ctree,21.0,0.013092041015625,0.877166748046875,False,16,-0.0025831865984054705,negligible
cpi,rf,15.0,0.004180908203125,0.330291748046875,False,16,0.0013493678805949955,negligible
cpi,rfe,32.0,0.065399169921875,1.0,False,16,0.000852086954219535,negligible
cpi,xgb,43.0,0.21142578125,1.0,False,16,-0.00012954336972198613,negligible
et,lgbm,6.0,0.00042724609375,0.04486083984375,True,16,-0.001136563553690947,negligible
et,pi,26.0,0.02899169921875,1.0,False,16,-0.0010349581921489496,negligible
et,ptest_dc,64.0,0.860260009765625,1.0,False,16,0.0001353023817459577,negligible
et,ptest_pc,64.0,0.860260009765625,1.0,False,16,-3.4268416443164754e-05,negligible
et,ptest_rdc,61.0,0.743560791015625,1.0,False,16,0.00040898476537208877,negligible
et,r_cforest,1.0,6.103515625e-05,0.00714111328125,True,16,-0.0024248189668770364,negligible
et,r_ctree,0.0,3.0517578125e-05,0.003662109375,True,16,-0.004815536324087595,negligible
et,rf,49.0,0.348388671875,1.0,False,16,-0.0008810624725723449,negligible
et,rfe,56.0,0.5618896484375,1.0,False,16,-0.00137835281840052,negligible
et,xgb,8.0,0.000762939453125,0.079345703125,False,16,-0.002360231446680422,negligible
lgbm,pi,40.0,0.1590576171875,1.0,False,16,0.00010160251010472298,negligible
lgbm,ptest_dc,12.0,0.00213623046875,0.1922607421875,False,16,0.0012719560361242528,negligible
lgbm,ptest_pc,18.0,0.00762939453125,0.54931640625,False,16,0.0011023361008999236,negligible
lgbm,ptest_rdc,23.0,0.01824951171875,1.0,False,16,0.0015456790240611865,negligible
lgbm,r_cforest,16.0,0.005157470703125,0.40228271484375,False,16,-0.0012878984119556354,negligible
lgbm,r_ctree,8.0,0.000762939453125,0.079345703125,False,16,-0.003678489052709197,negligible
lgbm,rf,16.0,0.005157470703125,0.40228271484375,False,16,0.00025557275958686457,negligible
lgbm,rfe,42.0,0.19281005859375,1.0,False,16,-0.00024178463182185594,negligible
lgbm,xgb,20.0,0.010986328125,0.758056640625,False,16,-0.001223678248311624,negligible
pi,ptest_dc,38.0,0.129730224609375,1.0,False,16,0.0011703422863285164,negligible
pi,ptest_pc,42.0,0.19281005859375,1.0,False,16,0.0010007271662641468,negligible
pi,ptest_rdc,49.0,0.348388671875,1.0,False,16,0.001444060959479402,negligible
pi,r_cforest,24.0,0.021392822265625,1.0,False,16,-0.001389529582349555,negligible
pi,r_ctree,1.0,6.103515625e-05,0.00714111328125,True,16,-0.003780125567468732,negligible
pi,rf,32.0,0.065399169921875,1.0,False,16,0.0001539632064030911,negligible
pi,rfe,59.0,0.668548583984375,1.0,False,16,-0.00034338694980829234,negligible
pi,xgb,9.0,0.001007080078125,0.101715087890625,False,16,-0.0013252767693959647,negligible
ptest_dc,ptest_pc,52.0,0.433197021484375,1.0,False,16,-0.00016957839974628816,negligible
ptest_dc,ptest_rdc,66.0,0.93988037109375,1.0,False,16,0.0002736992755169421,negligible
ptest_dc,r_cforest,3.0,0.000152587890625,0.017242431640625,True,16,-0.002560356045728676,negligible
ptest_dc,r_ctree,3.0,0.000152587890625,0.017242431640625,True,16,-0.0049512773006907,negligible
ptest_dc,rf,56.0,0.5618896484375,1.0,False,16,-0.001016443266607963,negligible
ptest_dc,rfe,53.0,0.4637451171875,1.0,False,16,-0.001513765000305799,negligible
ptest_dc,xgb,13.0,0.002685546875,0.233642578125,False,16,-0.0024957195124394064,negligible
ptest_pc,ptest_rdc,41.0,0.17535400390625,1.0,False,16,0.0004432718888322872,negligible
ptest_pc,r_cforest,3.0,0.000152587890625,0.017242431640625,True,16,-0.0023906271346347146,negligible
ptest_pc,r_ctree,2.0,9.1552734375e-05,0.01043701171875,True,16,-0.004781426501935614,negligible
ptest_pc,rf,52.0,0.433197021484375,1.0,False,16,-0.000846823658411016,negligible
ptest_pc,rfe,51.0,0.40374755859375,1.0,False,16,-0.001344133930975149,negligible
ptest_pc,xgb,12.0,0.00213623046875,0.1922607421875,False,16,-0.0023260483238490516,negligible
ptest_rdc,r_cforest,3.0,0.000152587890625,0.017242431640625,True,16,-0.002834211126445073,negligible
ptest_rdc,r_ctree,3.0,0.000152587890625,0.017242431640625,True,16,-0.005225248024977122,negligible
ptest_rdc,rf,63.0,0.820892333984375,1.0,False,16,-0.0012901744252386887,negligible
ptest_rdc,rfe,54.0,0.49542236328125,1.0,False,16,-0.0017874977344614605,negligible
ptest_rdc,xgb,13.0,0.002685546875,0.233642578125,False,16,-0.0027694836340154496,negligible
r_cforest,r_ctree,21.0,0.013092041015625,0.877166748046875,False,16,-0.002391195178688614,negligible
r_cforest,rf,13.0,0.002685546875,0.233642578125,False,16,0.0015436325159026683,negligible
r_cforest,rfe,14.0,0.00335693359375,0.2752685546875,False,16,0.0010460431608600898,negligible
r_cforest,xgb,49.0,0.348388671875,1.0,False,16,6.38248193906502e-05,negligible
r_ctree,rf,8.0,0.000762939453125,0.079345703125,False,16,0.003934401804006351,negligible
r_ctree,rfe,9.0,0.001007080078125,0.101715087890625,False,16,0.0034366165806158856,negligible
r_ctree,xgb,5.0,0.00030517578125,0.03265380859375,True,16,0.0024542575971422628,negligible
rf,rfe,53.0,0.4637451171875,1.0,False,16,-0.0004973736640934497,negligible
rf,xgb,17.0,0.00628662109375,0.47149658203125,False,16,-0.0014793257047468862,negligible
rfe,xgb,13.0,0.002685546875,0.233642578125,False,16,-0.0009819007953743636,negligible
