method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,9.0,0.001007080078125,0.10675048828125,False,16,-0.13403423998659444,negligible
boruta,cif,22.0,0.0155029296875,1.0,False,16,-0.07386630497668133,negligible
boruta,cit,67.0,0.979949951171875,1.0,False,16,0.01605390543788054,negligible
boruta,cpi,63.0,0.820892333984375,1.0,False,16,-0.004632839515608463,negligible
boruta,et,14.0,0.00335693359375,0.32562255859375,False,16,-0.11755645088456901,negligible
boruta,lgbm,37.0,0.116668701171875,1.0,False,16,-0.049693451566649685,negligible
boruta,pi,45.0,0.252227783203125,1.0,False,16,-0.05356430822669874,negligible
boruta,ptest_dc,39.0,0.14385986328125,1.0,False,16,-0.015680206957571687,negligible
boruta,ptest_pc,38.0,0.129730224609375,1.0,False,16,-0.016645389710625978,negligible
boruta,ptest_rdc,32.0,0.065399169921875,1.0,False,16,-0.018115677901897356,negligible
boruta,r_cforest,28.0,0.03863525390625,1.0,False,16,0.31808270714693165,small
boruta,r_ctree,3.0,0.000152587890625,0.0177001953125,True,16,0.470376571035656,small
boruta,rf,3.0,0.000152587890625,0.0177001953125,True,16,-0.10175084888101739,negligible
boruta,rfe,17.0,0.00628662109375,0.5657958984375,False,16,-0.13636520370190308,negligible
boruta,xgb,54.0,0.49542236328125,1.0,False,16,-0.01122536109389289,negligible
cat,cif,51.0,0.40374755859375,1.0,False,16,0.05975644949947323,negligible
cat,cit,18.0,0.00762939453125,0.67901611328125,False,16,0.14517041708773576,negligible
cat,cpi,20.0,0.010986328125,0.911865234375,False,16,0.12627008531894113,negligible
cat,et,58.0,0.632171630859375,1.0,False,16,0.015752765116873704,negligible
cat,lgbm,20.0,0.010986328125,0.911865234375,False,16,0.08368490817168162,negligible
cat,pi,25.0,0.02496337890625,1.0,False,16,0.07837979718000065,negligible
cat,ptest_dc,50.0,0.375457763671875,1.0,False,16,0.11416670515676343,negligible
cat,ptest_pc,46.0,0.274444580078125,1.0,False,16,0.11403758000947568,negligible
cat,ptest_rdc,51.0,0.40374755859375,1.0,False,16,0.11160102225724948,negligible
cat,r_cforest,14.0,0.00335693359375,0.32562255859375,False,16,0.4365639543423111,small
cat,r_ctree,1.0,6.103515625e-05,0.00726318359375,True,16,0.5938957150610915,medium
