method,avg_rank,std_rank,cd
cat,5.3125,2.7775607554111215,5.766886971664383
et,5.625,3.3330729064933458,5.766886971664383
ptest_dc,5.6875,4.149077457700687,5.766886971664383
rf,5.9375,2.6093282181435127,5.766886971664383
ptest_rdc,6.0625,4.351274956837363,5.766886971664383
ptest_pc,6.5,4.373213921133975,5.766886971664383
cif,6.75,2.331844763272204,5.766886971664383
rfe,7.0,4.650268809434569,5.766886971664383
pi,7.5625,3.353519606324078,5.766886971664383
lgbm,9.75,2.5617376914898995,5.766886971664383
cit,9.9375,4.130205049389195,5.766886971664383
cpi,10.125,4.5397549493337195,5.766886971664383
boruta,10.4375,3.707572487490973,5.766886971664383
xgb,11.625,3.950870157319777,5.766886971664383
r_cforest,13.0,4.046603514059662,5.766886971664383
r_ctree,14.6875,1.8614090764794289,5.766886971664383
