method,avg_rank,std_rank,cd
et,5.4375,3.121873435935544,5.766886971664383
ptest_rdc,5.4375,3.968134794837494,5.766886971664383
cat,5.5,3.427827300200522,5.766886971664383
rf,5.875,2.7357585785299112,5.766886971664383
ptest_dc,6.0,4.123105625617661,5.766886971664383
ptest_pc,6.1875,4.260556741788566,5.766886971664383
cif,6.5625,2.714975828621684,5.766886971664383
rfe,7.0,4.527692569068709,5.766886971664383
pi,7.9375,2.9255074346171126,5.766886971664383
lgbm,9.5,3.0,5.766886971664383
cit,10.25,3.766629793329841,5.766886971664383
cpi,10.4375,4.315216535702467,5.766886971664383
boruta,10.5,3.3726843908080104,5.766886971664383
xgb,12.0625,4.00731752547761,5.766886971664383
r_cforest,12.875,4.2260353760942415,5.766886971664383
r_ctree,14.4375,2.262983373778959,5.766886971664383
