method,avg_rank,std_rank,cd
cat,5.1875,3.1665981352233503,5.766886971664383
ptest_rdc,5.6875,4.1790960446010335,5.766886971664383
et,5.75,3.191786333700926,5.766886971664383
rf,5.875,2.666341125962693,5.766886971664383
ptest_dc,6.0625,4.379907961361745,5.766886971664383
ptest_pc,6.375,4.399928976699511,5.766886971664383
cif,6.75,2.6100766272276377,5.766886971664383
rfe,7.0,4.513867521316947,5.766886971664383
pi,7.8125,3.225266461860167,5.766886971664383
lgbm,9.375,2.8476964374736293,5.766886971664383
cit,10.0,3.640054944640259,5.766886971664383
cpi,10.3125,4.440140059727846,5.766886971664383
boruta,10.5,3.48209706929603,5.766886971664383
xgb,12.0,3.9370039370059056,5.766886971664383
r_cforest,12.875,4.328322423295196,5.766886971664383
r_ctree,14.4375,2.262983373778959,5.766886971664383
