method,r2_mean,r2_ci_lo,r2_ci_hi,r2_formatted,mse_mean,mse_ci_lo,mse_ci_hi,mse_formatted,mae_mean,mae_ci_lo,mae_ci_hi,mae_formatted
boruta,0.18771621074876443,0.06690026466893402,0.31649666769107043,"0.188 [0.067, 0.316]",5154799.3044421915,27101.454840702383,14648984.107192412,"5154799.304 [27101.455, 14648984.107]",568.9394271275021,64.5598166375294,1347.5745101805496,"568.939 [64.560, 1347.575]"
cat,0.22559994256901372,0.09160050249311863,0.36565385584254123,"0.226 [0.092, 0.366]",5150428.655272006,26902.01303061181,14641108.655941065,"5150428.655 [26902.013, 14641108.656]",567.3275051716657,63.91044883215904,1345.705135825015,"567.328 [63.910, 1345.705]"
cif,0.20825822717149428,0.08192463234947354,0.34391973735784903,"0.208 [0.082, 0.344]",5147313.528503146,26829.90035774193,14635478.063963437,"5147313.529 [26829.900, 14635478.064]",566.5144132374096,63.92926962601655,1344.3773681121295,"566.514 [63.929, 1344.377]"
cit,0.18322311940036007,0.05512581200063951,0.32362995204079453,"0.183 [0.055, 0.324]",5150007.180287174,27073.695396406452,14642407.059690423,"5150007.180 [27073.695, 14642407.060]",567.6786109271859,64.4848954134229,1345.9433245289679,"567.679 [64.485, 1345.943]"
cpi,0.18900278150725314,0.0641393388287967,0.32761760332279855,"0.189 [0.064, 0.328]",5162795.9519992005,27041.177781246268,14669267.682094224,"5162795.952 [27041.178, 14669267.682]",569.6529150810832,64.30839801995737,1348.8390159280493,"569.653 [64.308, 1348.839]"
et,0.22095778395037002,0.08571624171855745,0.36000804893977656,"0.221 [0.086, 0.360]",5147445.968261587,26864.52147619761,14636304.134049006,"5147445.968 [26864.521, 14636304.134]",566.4565822285988,63.856642953547365,1344.5579605998687,"566.457 [63.857, 1344.558]"
lgbm,0.20145095402153895,0.07709387922206036,0.3376213189501974,"0.201 [0.077, 0.338]",5154359.206798886,26858.79406227041,14649557.794854611,"5154359.207 [26858.794, 14649557.795]",568.0844461888796,63.98668047657026,1346.7548047332568,"568.084 [63.987, 1346.755]"
pi,0.20271273481152674,0.07350773446413969,0.34220210554888,"0.203 [0.074, 0.342]",5153512.327709418,26995.06725544213,14648166.48664943,"5153512.328 [26995.067, 14648166.487]",567.9388628859458,64.15045320363228,1346.4748274153217,"567.939 [64.150, 1346.475]"
ptest_dc,0.19212585128678308,0.06397489951732734,0.33295068045385257,"0.192 [0.064, 0.333]",5146465.322316971,26761.554027495884,14634060.079824993,"5146465.322 [26761.554, 14634060.080]",566.2629079654024,63.78728365277818,1343.8363958158186,"566.263 [63.787, 1343.836]"
ptest_pc,0.19236642552704425,0.06495253575670581,0.33227824763300057,"0.192 [0.065, 0.332]",5148167.386998303,26777.358203440293,14638325.042465104,"5148167.387 [26777.358, 14638325.042]",566.5056401465362,63.799564706996954,1344.0860582657144,"566.506 [63.800, 1344.086]"
ptest_rdc,0.1928205113813584,0.06508934526744757,0.33390314726263487,"0.193 [0.065, 0.334]",5143967.158142997,26761.294637031588,14629683.678725151,"5143967.158 [26761.295, 14629683.679]",565.8712398886265,63.80831310025874,1343.4120450578357,"565.871 [63.808, 1343.412]"
r_cforest,0.10037766627507226,-0.01890966646807731,0.2341793486587187,"0.100 [-0.019, 0.234]",5158285.170503915,27497.233380319332,14658564.535957813,"5158285.171 [27497.233, 14658564.536]",569.930290146051,65.5371435891382,1348.2904220448636,"569.930 [65.537, 1348.290]"
r_ctree,0.07500901998815807,-0.013273938955277679,0.17161006806492565,"0.075 [-0.013, 0.172]",5171831.036805872,28200.405956617204,14685531.441203298,"5171831.037 [28200.406, 14685531.441]",573.3610285387753,67.19113541526855,1352.2875076614557,"573.361 [67.191, 1352.288]"
rf,0.21629177791749865,0.08484225855627672,0.3553185403274926,"0.216 [0.085, 0.355]",5151934.238236421,26856.945807516902,14643451.686564825,"5151934.238 [26856.946, 14643451.687]",567.7182901276267,63.88601508026518,1346.3898322715715,"567.718 [63.886, 1346.390]"
rfe,0.22655753885043448,0.09132747172192916,0.3666237275716861,"0.227 [0.091, 0.367]",5155608.056338168,26874.843801059094,14650532.291912513,"5155608.056 [26874.844, 14650532.292]",568.4309381704575,63.900258170021736,1347.145716603262,"568.431 [63.900, 1347.146]"
xgb,0.19074649356639367,0.07110096327155818,0.32136481384390775,"0.191 [0.071, 0.321]",5161083.687995784,27252.969277712156,14664091.661543816,"5161083.688 [27252.969, 14664091.662]",569.8387690324755,64.80253015211832,1348.5085275502422,"569.839 [64.803, 1348.509]"
