experiment,method,base_dataset,n_samples,n_features,n_informative,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,f1_at_10_mean,f1_at_10_std,spread_at_10_mean,spread_at_10_std,lr_ba_mean,lr_ba_std,knn_ba_mean,knn_ba_std,elapsed_seconds_mean,elapsed_seconds_std
sample_size,cif,easy,50,100,10,0.5,0.08944271909999157,0.5,0.08944271909999157,0.5,0.08944271909999155,0.81010101010101,0.05728261365154673,0.887962962962963,0.05019680062381408,0.8648148148148149,0.05079106722926841,2.2790057754000372,4.083989098354399
sample_size,cif,easy,100,100,10,0.6,0.12649110640673514,0.6,0.12649110640673514,0.6,0.12649110640673514,0.8949494949494949,0.038648740342846474,0.8861519607843137,0.0841148832330812,0.9156862745098039,0.04978507729800802,0.668589470200186,0.02955308024789661
sample_size,cif,easy,200,100,10,0.68,0.17204650534085253,0.68,0.17204650534085253,0.68,0.17204650534085253,0.888888888888889,0.02927550857816048,0.9109625668449197,0.05820559557576974,0.926114081996435,0.04683217912033404,2.7294617974001083,0.07231851739335016
sample_size,cif,easy,500,100,10,0.74,0.16248076809271922,0.74,0.16248076809271922,0.74,0.16248076809271922,0.8787878787878787,0.029275508578160487,0.9136737425894053,0.05857668387701256,0.9376458213807611,0.0693678829018595,15.717021853999995,0.5736929521006716
sample_size,cif,easy,1000,100,10,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185568,0.915151515151515,0.03703091470671386,0.9018144434023518,0.07299929808036086,0.9736021932039535,0.012413838455540352,29.27932603900008,1.6270556204939561
sample_size,cif,easy,2000,100,10,0.9200000000000002,0.039999999999999994,0.9200000000000002,0.039999999999999994,0.9200000000000002,0.039999999999999994,0.9070707070707069,0.04580114767173589,0.923701845558133,0.05450204664480345,0.9872995750241259,0.0030777396466612904,55.5355571772001,4.439837440305563
sample_size,rf,easy,50,100,10,0.48,0.15999999999999998,0.48,0.15999999999999998,0.48,0.15999999999999998,0.8808080808080808,0.05244749489190777,0.8537037037037036,0.06731933603442049,0.888888888888889,0.07236157022199799,0.16142064840014428,0.01805116597900177
sample_size,rf,easy,100,100,10,0.64,0.13564659966250536,0.64,0.13564659966250536,0.64,0.13564659966250536,0.8969696969696969,0.06651344498244174,0.870343137254902,0.09561619751898337,0.9120098039215687,0.06418410576544963,0.15679507099994225,0.004577317834277668
sample_size,rf,easy,200,100,10,0.8200000000000001,0.132664991614216,0.8200000000000001,0.132664991614216,0.8200000000000001,0.132664991614216,0.909090909090909,0.048231662166922526,0.9311348781937017,0.032711403661881105,0.9569518716577541,0.035994749307396164,0.14499995480018696,0.005168682400959404
sample_size,rf,easy,500,100,10,0.9800000000000001,0.03999999999999999,0.9800000000000001,0.03999999999999999,0.9800000000000001,0.03999999999999999,0.9111111111111111,0.050058633104500476,0.9316790973417479,0.04246737159711901,0.9712468923312297,0.03420061947066716,0.16541621999986092,0.004891636830148735
sample_size,rf,easy,1000,100,10,1.0,0.0,1.0,0.0,1.0,0.0,0.9070707070707069,0.04580114767173589,0.9038224755308659,0.07212650715492529,0.983603876584181,0.0052364595636691215,0.18427930900006687,0.040075146085005925
sample_size,rf,easy,2000,100,10,1.0,0.0,1.0,0.0,1.0,0.0,0.9070707070707069,0.04580114767173589,0.9246024467581353,0.05590277819205975,0.9897001792211373,0.002924170255494312,0.18547584300013115,0.006624446844929206
sample_size,et,easy,50,100,10,0.5599999999999999,0.11999999999999997,0.5599999999999999,0.11999999999999997,0.5599999999999999,0.11999999999999997,0.8383838383838385,0.04426040868728616,0.8907407407407408,0.047987624147592375,0.9074074074074074,0.03624736876122849,0.11150031620009031,0.005352427160664914
sample_size,et,easy,100,100,10,0.68,0.14696938456699069,0.68,0.14696938456699069,0.68,0.1469693845669907,0.8646464646464646,0.05806104187151482,0.8802696078431372,0.09235725370847755,0.9216911764705882,0.053111110708948486,0.1274070440000287,0.01868772236827208
sample_size,et,easy,200,100,10,0.78,0.13266499161421602,0.78,0.13266499161421602,0.78,0.13266499161421602,0.905050505050505,0.028282828282828312,0.9251633986928104,0.04262360141842274,0.95,0.0401073479877448,0.11430092239997976,0.007018013076874595
sample_size,et,easy,500,100,10,0.9800000000000001,0.03999999999999999,0.9800000000000001,0.03999999999999999,0.9800000000000001,0.03999999999999999,0.9111111111111111,0.050058633104500476,0.9296662841843564,0.043935765301663286,0.9792312105565116,0.018800580106806575,0.11936107760002415,0.00267426051652481
sample_size,et,easy,1000,100,10,1.0,0.0,1.0,0.0,1.0,0.0,0.9070707070707069,0.04580114767173589,0.9038224755308659,0.07212650715492529,0.983603876584181,0.0052364595636691215,0.11993103820013858,0.004598647382849601
sample_size,et,easy,2000,100,10,1.0,0.0,1.0,0.0,1.0,0.0,0.9070707070707069,0.04580114767173589,0.9246024467581353,0.05590277819205975,0.9897001792211373,0.002924170255494312,0.12773149380000176,0.004223325844200661
sample_size,cif,moderate,50,100,10,0.18,0.116619037896906,0.18,0.116619037896906,0.18,0.116619037896906,0.7494949494949494,0.13004829850045319,0.7212962962962963,0.03575920651356949,0.7481481481481481,0.08105686923008269,0.22592870019998373,0.05220233663575965
sample_size,cif,moderate,100,100,10,0.26,0.08,0.26,0.08,0.26,0.08,0.8121212121212121,0.1023347486215268,0.6784313725490196,0.04165477050477483,0.6087009803921568,0.06689492893130487,0.7136685127999044,0.04169920103265812
sample_size,cif,moderate,200,100,10,0.32,0.14696938456699066,0.32,0.14696938456699066,0.32,0.14696938456699066,0.8505050505050505,0.08014882595910046,0.6821152703505644,0.0658390685063758,0.6754604872251931,0.08811324335881213,2.8810662865998893,0.07889399801371852
sample_size,cif,moderate,500,100,10,0.41999999999999993,0.2039607805437114,0.41999999999999993,0.2039607805437114,0.41999999999999993,0.2039607805437114,0.898989898989899,0.0592439527216775,0.6633008223369669,0.08357313885255577,0.678461464907248,0.11635019147006756,16.879139204600143,1.6347944197144313
sample_size,cif,moderate,1000,100,10,0.7799999999999999,0.16,0.7799999999999999,0.16,0.7799999999999999,0.16,0.898989898989899,0.03779451905832265,0.6874179352139096,0.050659222143520345,0.8207981627107233,0.0737390909493196,27.665784699399957,0.9890582194201136
sample_size,cif,moderate,2000,100,10,0.9199999999999999,0.07483314773547882,0.9199999999999999,0.07483314773547882,0.9200000000000002,0.07483314773547878,0.8727272727272727,0.062463130641374966,0.7010222797647947,0.05096094588565425,0.8729960499421576,0.03275289966599851,48.25338633500005,4.285434363572097
sample_size,rf,moderate,50,100,10,0.26,0.04898979485566356,0.26,0.04898979485566356,0.26,0.04898979485566354,0.7818181818181819,0.13348629120550942,0.7541666666666667,0.06045877984508661,0.7092592592592593,0.05150345920434583,0.1468559341999935,0.0047605910461938
sample_size,rf,moderate,100,100,10,0.3,0.0632455532033676,0.3,0.0632455532033676,0.3,0.0632455532033676,0.8929292929292929,0.045443320724048455,0.6595588235294118,0.04974131708679052,0.6381127450980393,0.06317945741226427,0.1499870343999646,0.003344921209801065
sample_size,rf,moderate,200,100,10,0.58,0.0748331477354788,0.58,0.0748331477354788,0.58,0.0748331477354788,0.901010101010101,0.04580114767173589,0.7293820558526442,0.06237185356768244,0.7489601901366608,0.09704059365815379,0.15441906740015837,0.0033106401697377895
sample_size,rf,moderate,500,100,10,0.74,0.12000000000000002,0.74,0.12000000000000002,0.7400000000000001,0.12000000000000004,0.8767676767676766,0.05656565656565655,0.6856664754255115,0.06712743557662443,0.7861397972843756,0.07392963158225345,0.15722804560027726,0.0030809323302120437
sample_size,rf,moderate,1000,100,10,0.9800000000000001,0.03999999999999999,0.9800000000000001,0.03999999999999999,0.9800000000000001,0.03999999999999999,0.9171717171717171,0.03906884768851254,0.6818291128586201,0.05887204506249514,0.8872255489021956,0.015039857885497901,0.16294292980019237,0.0061849099260980105
sample_size,rf,moderate,2000,100,10,1.0,0.0,1.0,0.0,1.0,0.0,0.9070707070707069,0.04580114767173589,0.6983231734728741,0.05359481430502126,0.9017985050919183,0.011489759563263754,0.17745912020036486,0.0034122763087818322
sample_size,et,moderate,50,100,10,0.2,0.10954451150103323,0.2,0.10954451150103323,0.2,0.10954451150103323,0.8,0.05244749489190776,0.7384259259259259,0.04748474594428917,0.760648148148148,0.011766912062165605,0.131700610200096,0.015972668485197607
sample_size,et,moderate,100,100,10,0.36,0.10198039027185571,0.36,0.10198039027185571,0.36000000000000004,0.10198039027185571,0.9494949494949495,0.03440280073924528,0.668014705882353,0.056699817292877985,0.6841911764705882,0.06472583991090604,0.11374799620007252,0.001984399730148623
sample_size,et,moderate,200,100,10,0.5399999999999999,0.10198039027185568,0.5399999999999999,0.10198039027185568,0.5399999999999999,0.10198039027185567,0.8767676767676769,0.025070047769678496,0.7321152703505645,0.05998589001897659,0.7641117052881758,0.09729515631379594,0.11858620500006509,0.005035495960047777
sample_size,et,moderate,500,100,10,0.8,0.0894427190999916,0.8,0.0894427190999916,0.8,0.0894427190999916,0.8707070707070705,0.06558659830605224,0.6789252247083573,0.0633644304228266,0.7921543316121629,0.05448595387760662,0.11910979860003863,0.004287281960150255
sample_size,et,moderate,1000,100,10,0.9800000000000001,0.03999999999999999,0.9800000000000001,0.03999999999999999,0.9800000000000001,0.03999999999999999,0.9070707070707069,0.04580114767173589,0.6838347401582379,0.06108511207616078,0.8864211336363418,0.015189474710199111,0.1356081036001342,0.02343609679614155
sample_size,et,moderate,2000,100,10,1.0,0.0,1.0,0.0,1.0,0.0,0.9070707070707069,0.04580114767173589,0.6983231734728741,0.05359481430502126,0.9017985050919183,0.011489759563263754,0.12485295459973714,0.002007461203150558
sample_size,cif,highdim,50,500,5,0.08,0.07483314773547883,0.16,0.14966629547095767,0.10666666666666666,0.09977753031397177,0.7871743486973948,0.08599412992504042,0.8314814814814815,0.0864687912015188,0.811574074074074,0.10195281191482078,0.26832496739989437,0.038564024371281716
sample_size,cif,highdim,100,500,5,0.21999999999999997,0.039999999999999994,0.43999999999999995,0.07999999999999999,0.29333333333333333,0.053333333333333344,0.7959919839679358,0.13769387267368588,0.8106617647058822,0.08541763369075925,0.779656862745098,0.1256677904260176,0.6907658345999153,0.036352613437337034
sample_size,cif,highdim,200,500,5,0.26,0.1019803902718557,0.52,0.2039607805437114,0.3466666666666667,0.1359738536958076,0.8565130260521043,0.07958309205030291,0.7962269756387403,0.09225406918494881,0.7859774212715389,0.11117660221468363,2.759514066399606,0.17468351727606732
sample_size,cif,highdim,500,500,5,0.27999999999999997,0.07483314773547883,0.5599999999999999,0.14966629547095767,0.37333333333333335,0.09977753031397177,0.6769539078156311,0.14032292518056913,0.8243449990437941,0.0710862033667789,0.8179862306368332,0.074006165124727,16.32023832340001,0.7442266087382995
sample_size,cif,highdim,1000,500,5,0.3,0.0632455532033676,0.6,0.1264911064067352,0.4,0.08432740427115679,0.7895791583166333,0.08736187877478821,0.8320022605391626,0.08145415055734267,0.8316114758434937,0.06423877696870775,26.901636508200134,0.9741827819126211
sample_size,cif,highdim,2000,500,5,0.27999999999999997,0.07483314773547883,0.5599999999999999,0.14966629547095767,0.37333333333333335,0.09977753031397177,0.8368737474949899,0.1461283290132569,0.8172942403481326,0.05716145066220207,0.8111027194859531,0.06940728216180551,52.777877827400154,3.850552893176994
sample_size,rf,highdim,50,500,5,0.06000000000000001,0.08,0.12000000000000002,0.16,0.08,0.10666666666666666,0.8416833667334668,0.07081836557452438,0.8412037037037038,0.08433807872268463,0.7791666666666666,0.07425614198684793,0.15389973519995692,0.010081766967017677
sample_size,rf,highdim,100,500,5,0.18,0.07483314773547882,0.36,0.14966629547095764,0.24,0.09977753031397178,0.845691382765531,0.10383005150564201,0.8077205882352942,0.10826940598967189,0.7629901960784314,0.13806353186565512,0.15207765180020943,0.0036812409566946403
sample_size,rf,highdim,200,500,5,0.26,0.1019803902718557,0.52,0.2039607805437114,0.3466666666666667,0.1359738536958076,0.8877755511022045,0.04357507951880361,0.801247771836007,0.09517948789693453,0.7889780154486037,0.09616965505890808,0.14827108779973058,0.01061873348121658
sample_size,rf,highdim,500,500,5,0.45999999999999996,0.04898979485566354,0.9199999999999999,0.09797958971132709,0.6133333333333333,0.06531972647421806,0.7943887775551102,0.09469950428838271,0.827122776821572,0.07748100114746961,0.875196022183974,0.059419898302361183,0.16082362460001604,0.0018378915269542432
sample_size,rf,highdim,1000,500,5,0.44000000000000006,0.04898979485566355,0.8800000000000001,0.0979795897113271,0.5866666666666667,0.06531972647421806,0.8316633266533066,0.10749406343982222,0.8393922997378738,0.0790345059796869,0.903788807926316,0.039198647018129605,0.1751571367996803,0.009375869276070953
sample_size,rf,highdim,2000,500,5,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,0.7314629258517035,0.2505539022299572,0.8308967650285016,0.056697893243950734,0.9124004243764723,0.03678955855248003,0.23992635419981526,0.012168172151345254
sample_size,et,highdim,50,500,5,0.13999999999999999,0.07999999999999999,0.27999999999999997,0.15999999999999998,0.18666666666666665,0.10666666666666667,0.7422845691382766,0.10476650312302016,0.8541666666666666,0.06996716847152801,0.8245370370370371,0.08333847720749854,0.12363056559970573,0.012006827240651795
sample_size,et,highdim,100,500,5,0.24,0.04898979485566356,0.48,0.09797958971132711,0.32,0.06531972647421809,0.7731462925851703,0.09207451849974568,0.8427696078431373,0.06537114377084503,0.816421568627451,0.0433095933551208,0.12207352540008287,0.006992647904765439
sample_size,et,highdim,200,500,5,0.28,0.09797958971132713,0.56,0.19595917942265426,0.37333333333333335,0.13063945294843618,0.7503006012024048,0.1439017303619824,0.8151218062982769,0.09536179082878694,0.7898692810457517,0.11145630175662402,0.11922362960012833,0.005498581026546593
sample_size,et,highdim,500,500,5,0.42000000000000004,0.07483314773547883,0.8400000000000001,0.14966629547095767,0.5599999999999999,0.09977753031397174,0.8160320641282566,0.07420135673963543,0.8212086441002103,0.0813904435460671,0.8632243258749283,0.06281022822426617,0.12943874020020302,0.01997932543199368
sample_size,et,highdim,1000,500,5,0.45999999999999996,0.04898979485566354,0.9199999999999999,0.09797958971132709,0.6133333333333333,0.06531972647421806,0.8420841683366733,0.07213760824114505,0.838810331144939,0.07919900356271171,0.9117992929803045,0.026304589549288035,0.1240206965998368,0.0036946089781484765
sample_size,et,highdim,2000,500,5,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,0.8316633266533066,0.08212032645500282,0.8304990619361877,0.05831298449076375,0.9121954289618961,0.03511485484641227,0.13551108180035953,0.005291378638692389
