dim_bin,method_base,mean,std
low,boruta,0.6408571428571429,0.2351963324053196
low,cat,0.648,0.2022339420949005
low,cif,0.6037142857142858,0.25490286831676806
low,cit,0.3934285714285714,0.18132926475534486
low,cpi,0.448,0.24584571302583366
low,et,0.6714285714285714,0.24090496595074543
low,lgbm,0.6237142857142858,0.205803991840365
low,pi,0.5188571428571428,0.20728524190216252
low,ptest_dc,0.632,0.23119877500371483
low,ptest_mc,0.5674285714285714,0.29599183408609203
low,ptest_pc,0.6262857142857143,0.23216974708478316
low,ptest_rdc,0.6145714285714285,0.24632360267118197
low,r_cforest,0.25142857142857145,0.2614321677051972
low,r_ctree,0.05757142857142858,0.07723652827397191
low,rf,0.6651428571428571,0.23243289605087825
low,rfe,0.6619999999999999,0.22280190232375274
low,xgb,0.5072,0.21510867916853246
medium,boruta,,
medium,cat,,
medium,cif,,
medium,cit,,
medium,cpi,,
medium,et,,
medium,lgbm,,
medium,pi,,
medium,ptest_dc,,
medium,ptest_mc,,
medium,ptest_pc,,
medium,ptest_rdc,,
medium,r_cforest,,
medium,r_ctree,,
medium,rf,,
medium,rfe,,
medium,xgb,,
high,boruta,0.336,0.16258121989093485
high,cat,0.322,0.1607253964413356
high,cif,0.235,0.17152874555818282
high,cit,0.1305,0.12649011322517895
high,cpi,0.19400000000000003,0.18888502063532767
high,et,0.326,0.17935257717349784
high,lgbm,0.34299999999999997,0.1312373129991327
high,pi,0.23600000000000002,0.22293039089292754
high,ptest_dc,0.49200000000000005,0.02768874620972692
high,ptest_mc,0.188,0.033166247903554
high,ptest_pc,0.496,0.019999999999999997
high,ptest_rdc,0.3,0.17728105208558365
high,r_cforest,0.0055000000000000005,0.024957249880706814
high,r_ctree,0.001,0.01
high,rf,0.298,0.19947891300760057
high,rfe,0.18,0.060609152673132646
high,xgb,0.2496,0.1703405518790456
