class_sep,method,mean,std
0.1,boruta__7f986516a1727870,0.504,0.09780933834080804
0.1,cat__024a0842d4337711,0.784,0.06879922480183435
0.1,cif__0e3eeca79b93fdaa,0.124,0.07234178138070235
0.1,cif__46bf14ac07a4daa4,0.21600000000000003,0.10677078252031312
0.1,cif__4ee6725d43ec8e5a,0.26,0.11180339887498948
0.1,cif__6556bbc3e830b25a,0.06,0.07071067811865477
0.1,cit__2f00ba06d3fd6444,0.124,0.052281290471193745
0.1,cit__43b7bdcb1c91e9ad,0.1,0.0
0.1,cit__bc8d0ddbb26c15b5,0.1,0.0
0.1,cit__f79ebf6949fbb266,0.1,0.0
0.1,cpi__6e89acc5e72da5a8,0.28,0.12583057392117916
0.1,et__f5580a1865f967c8,0.628,0.10614455552060438
0.1,lgbm__3de1e81aa7b72795,0.7440000000000001,0.07681145747868613
0.1,lgbm__71ba9ba402678146,0.764,0.07571877794400372
0.1,pi__6e89acc5e72da5a8,0.3,0.11547005383792516
0.1,ptest_mc__307d6fc3284c28e2,0.068,0.07483314773547883
0.1,ptest_rdc__307d6fc3284c28e2,0.312,0.08326663997864532
0.1,r_cforest__2ceb10303a012721,0.04,0.05773502691896259
0.1,r_cforest__37be32340835a93b,0.24400000000000002,0.1325393023471403
0.1,r_cforest__5c2653de657569d8,0.07600000000000001,0.07788880963698615
0.1,r_cforest__fb88a07ec8f619b0,0.0,0.0
0.1,r_ctree__9d1ca9c27dfc7f5e,0.0,0.0
0.1,r_ctree__b6e09ceb0eb26367,0.064,0.06377042156569664
0.1,rf__27caa3a0a3b84fd9,0.5519999999999999,0.10049875621120888
0.1,rfe__99914b932bd37a50,0.792,0.07593857166596349
0.1,xgb__1c62fadfc5e2988f,0.7559999999999999,0.09609023536933052
0.1,xgb__25fa52189eed6675,0.736,0.09949874371066202
0.1,xgb__71ba9ba402678146,0.5,0.1414213562373095
0.1,xgb__c019cf602a5db652,0.264,0.06999999999999999
0.1,xgb__c2661145d45caaf6,0.5479999999999999,0.10847426730181986
0.5,boruta__7f986516a1727870,0.18,0.05
0.5,cat__024a0842d4337711,0.172,0.06137317546507323
0.5,cif__0e3eeca79b93fdaa,0.064,0.06377042156569664
0.5,cif__46bf14ac07a4daa4,0.064,0.06377042156569664
0.5,cif__4ee6725d43ec8e5a,0.064,0.05686240703077327
0.5,cif__6556bbc3e830b25a,0.14,0.05773502691896258
0.5,cit__2f00ba06d3fd6444,0.0,0.0
0.5,cit__43b7bdcb1c91e9ad,0.004,0.02
0.5,cit__bc8d0ddbb26c15b5,0.12,0.09128709291752768
0.5,cit__f79ebf6949fbb266,0.0,0.0
0.5,cpi__6e89acc5e72da5a8,0.02,0.040824829046386304
0.5,et__f5580a1865f967c8,0.15200000000000002,0.050990195135927854
0.5,lgbm__3de1e81aa7b72795,0.21600000000000003,0.06244997998398397
0.5,lgbm__71ba9ba402678146,0.23600000000000002,0.06999999999999999
0.5,pi__6e89acc5e72da5a8,0.02,0.040824829046386304
0.5,ptest_mc__307d6fc3284c28e2,0.188,0.033166247903554
0.5,ptest_rdc__307d6fc3284c28e2,0.132,0.05567764362830022
0.5,r_cforest__2ceb10303a012721,0.0,0.0
0.5,r_cforest__37be32340835a93b,0.0,0.0
0.5,r_cforest__5c2653de657569d8,0.008,0.027688746209726913
0.5,r_cforest__fb88a07ec8f619b0,0.0,0.0
0.5,r_ctree__9d1ca9c27dfc7f5e,0.0,0.0
0.5,r_ctree__b6e09ceb0eb26367,0.0,0.0
0.5,rf__27caa3a0a3b84fd9,0.10400000000000001,0.045460605656619524
0.5,rfe__99914b932bd37a50,0.16400000000000003,0.04898979485566357
0.5,xgb__1c62fadfc5e2988f,0.264,0.08103497187428811
0.5,xgb__25fa52189eed6675,0.23600000000000002,0.06999999999999999
0.5,xgb__71ba9ba402678146,0.04800000000000001,0.06531972647421809
0.5,xgb__c019cf602a5db652,0.08,0.05773502691896258
0.5,xgb__c2661145d45caaf6,0.24,0.07071067811865475
1.0,boruta__7f986516a1727870,0.6123076923076923,0.22006430899845333
1.0,cat__024a0842d4337711,0.6098461538461538,0.20114251065262892
1.0,cif__0e3eeca79b93fdaa,0.6136,0.2400752570179987
1.0,cif__2dd11a912cc98703,0.5985,0.2195192325682119
1.0,cif__40426895fc45caef,0.574,0.2319331042005875
1.0,cif__46bf14ac07a4daa4,0.62,0.22611729756492435
1.0,cif__4ee6725d43ec8e5a,0.6352000000000001,0.24305050583592044
1.0,cif__6556bbc3e830b25a,0.6336,0.24657132711416124
1.0,cif__a01a3672a449d400,0.574,0.23236602559162167
1.0,cif__f996d20e25e412cc,0.6035,0.21719488504670703
1.0,cit__2416a5074f8a84c3,0.37450000000000006,0.18211418914913582
1.0,cit__2cd925b5323e9208,0.451,0.19898991161519497
1.0,cit__2f00ba06d3fd6444,0.3952,0.15337914229230315
1.0,cit__43b7bdcb1c91e9ad,0.36,0.12951522516054664
1.0,cit__bc8d0ddbb26c15b5,0.4304,0.1652095443622647
1.0,cit__bd4437cf99705bab,0.44049999999999995,0.18650380248592396
1.0,cit__f1d3d418e5d1e316,0.38549999999999995,0.17719123473902904
1.0,cit__f79ebf6949fbb266,0.3272,0.12073431241179276
1.0,cpi__6e89acc5e72da5a8,0.452,0.24652648669458477
1.0,et__f09eb85fc7f75870,0.626,0.2173943456199763
1.0,et__f5580a1865f967c8,0.6527999999999999,0.255764508622615
1.0,lgbm__3de1e81aa7b72795,0.5532307692307693,0.21234368028388628
1.0,lgbm__71ba9ba402678146,0.6163076923076923,0.1864513410091291
1.0,pi__6e89acc5e72da5a8,0.5236923076923077,0.19928552342820377
1.0,ptest_dc__307d6fc3284c28e2,0.6145,0.22132481416875568
1.0,ptest_mc__307d6fc3284c28e2,0.6208,0.24039483650726523
1.0,ptest_pc__307d6fc3284c28e2,0.61,0.22146156806690695
1.0,ptest_rdc__307d6fc3284c28e2,0.6076923076923076,0.23393288864814002
1.0,r_cforest__2ceb10303a012721,0.17292307692307693,0.16425780584382216
1.0,r_cforest__37be32340835a93b,0.5424615384615386,0.2601876742487222
1.0,r_cforest__5c2653de657569d8,0.17846153846153845,0.18146549147535254
1.0,r_cforest__fb88a07ec8f619b0,0.07938461538461539,0.09641533295721053
1.0,r_ctree__9d1ca9c27dfc7f5e,0.05446153846153846,0.07629601969357656
1.0,r_ctree__b6e09ceb0eb26367,0.06307692307692307,0.0792893411508316
1.0,rf__27caa3a0a3b84fd9,0.6584,0.2590877295683902
1.0,rf__aed17443e3db937d,0.62,0.1943937877701294
1.0,rfe__99914b932bd37a50,0.5904615384615385,0.23465518943702182
1.0,xgb__1c62fadfc5e2988f,0.5984615384615385,0.18231392314274814
1.0,xgb__25fa52189eed6675,0.4492307692307692,0.16641005886756866
1.0,xgb__71ba9ba402678146,0.5067692307692307,0.19104252396760424
1.0,xgb__c019cf602a5db652,0.2990769230769231,0.18483996311894232
1.0,xgb__c2661145d45caaf6,0.5446153846153846,0.205052514525427
2.0,boruta__7f986516a1727870,1.0,0.0
2.0,cat__024a0842d4337711,0.8320000000000001,0.06271629240742259
2.0,cif__0e3eeca79b93fdaa,0.8560000000000001,0.0650640709864771
2.0,cif__46bf14ac07a4daa4,0.86,0.07071067811865474
2.0,cif__4ee6725d43ec8e5a,0.848,0.06531972647421808
2.0,cif__6556bbc3e830b25a,0.82,0.04999999999999999
2.0,cit__2f00ba06d3fd6444,0.376,0.07788880963698616
2.0,cit__43b7bdcb1c91e9ad,0.488,0.06658328118479391
2.0,cit__bc8d0ddbb26c15b5,0.532,0.05567764362830021
2.0,cit__f79ebf6949fbb266,0.35600000000000004,0.06506407098647712
2.0,cpi__6e89acc5e72da5a8,0.484,0.16248076809271916
2.0,et__f5580a1865f967c8,1.0,0.0
2.0,lgbm__3de1e81aa7b72795,0.872,0.06137317546507321
2.0,lgbm__71ba9ba402678146,0.8,0.02886751345948132
2.0,pi__6e89acc5e72da5a8,0.608,0.15524174696260026
2.0,ptest_mc__307d6fc3284c28e2,0.8,0.0
2.0,ptest_rdc__307d6fc3284c28e2,0.86,0.04999999999999997
2.0,r_cforest__2ceb10303a012721,0.09600000000000002,0.07895146188218008
2.0,r_cforest__37be32340835a93b,0.868,0.06271629240742259
2.0,r_cforest__5c2653de657569d8,0.068,0.08524474568362947
2.0,r_cforest__fb88a07ec8f619b0,0.07200000000000001,0.05416025603090641
2.0,r_ctree__9d1ca9c27dfc7f5e,0.0,0.0
2.0,r_ctree__b6e09ceb0eb26367,0.024,0.066332495807108
2.0,rf__27caa3a0a3b84fd9,1.0,0.0
2.0,rfe__99914b932bd37a50,0.996,0.02
2.0,xgb__1c62fadfc5e2988f,0.8160000000000001,0.04725815626252608
2.0,xgb__25fa52189eed6675,0.796,0.03511884584284248
2.0,xgb__71ba9ba402678146,0.632,0.06904105059069326
2.0,xgb__c019cf602a5db652,0.20800000000000002,0.16051998837112674
2.0,xgb__c2661145d45caaf6,0.7,0.057735026918962595
