size_bin,method_base,mean,std
small,boruta,0.336,0.16258121989093485
small,cat,0.322,0.1607253964413356
small,cif,0.235,0.17152874555818282
small,cit,0.1305,0.12649011322517895
small,cpi,0.19400000000000003,0.18888502063532767
small,et,0.326,0.17935257717349784
small,lgbm,0.34299999999999997,0.1312373129991327
small,pi,0.23600000000000002,0.22293039089292754
small,ptest_dc,0.49200000000000005,0.02768874620972692
small,ptest_mc,0.188,0.033166247903554
small,ptest_pc,0.496,0.019999999999999997
small,ptest_rdc,0.3,0.17728105208558365
small,r_cforest,0.0055000000000000005,0.024957249880706814
small,r_ctree,0.001,0.01
small,rf,0.298,0.19947891300760057
small,rfe,0.18,0.060609152673132646
small,xgb,0.2496,0.1703405518790456
medium,boruta,0.6408571428571429,0.2351963324053196
medium,cat,0.648,0.2022339420949005
medium,cif,0.6037142857142858,0.25490286831676806
medium,cit,0.3934285714285714,0.18132926475534486
medium,cpi,0.448,0.24584571302583366
medium,et,0.6714285714285714,0.24090496595074543
medium,lgbm,0.6237142857142858,0.205803991840365
medium,pi,0.5188571428571428,0.20728524190216252
medium,ptest_dc,0.632,0.23119877500371483
medium,ptest_mc,0.5674285714285714,0.29599183408609203
medium,ptest_pc,0.6262857142857143,0.23216974708478316
medium,ptest_rdc,0.6145714285714285,0.24632360267118197
medium,r_cforest,0.25142857142857145,0.2614321677051972
medium,r_ctree,0.05757142857142858,0.07723652827397191
medium,rf,0.6651428571428571,0.23243289605087825
medium,rfe,0.6619999999999999,0.22280190232375274
medium,xgb,0.5072,0.21510867916853246
large,boruta,,
large,cat,,
large,cif,,
large,cit,,
large,cpi,,
large,et,,
large,lgbm,,
large,pi,,
large,ptest_dc,,
large,ptest_mc,,
large,ptest_pc,,
large,ptest_rdc,,
large,r_cforest,,
large,r_ctree,,
large,rf,,
large,rfe,,
large,xgb,,
