dataset_type,method_base,mean,std
bias,boruta,0.976,0.043588989435406726
bias,cat,0.9359999999999999,0.06377042156569662
bias,cif,0.8710000000000001,0.06558978733019494
bias,cit,0.561,0.12300529675710326
bias,cpi,0.732,0.09882644720249065
bias,et,0.968,0.04760952285695232
bias,lgbm,0.92,0.04948716593053933
bias,pi,0.7440000000000001,0.11210114480533492
bias,ptest_mc,0.8,0.0
bias,ptest_rdc,0.764,0.09073771725877468
bias,r_cforest,0.35200000000000004,0.3122029901693883
bias,r_ctree,0.024000000000000004,0.05174505793221382
bias,rf,0.9840000000000001,0.03741657386773942
bias,rfe,0.996,0.019999999999999993
bias,xgb,0.74,0.20200606825762252
confounder,boruta,0.502,0.09997958975384393
confounder,cat,0.478,0.1233710183279092
confounder,cif,0.397,0.06090605666675086
confounder,cit,0.44799999999999995,0.15169395266912233
confounder,cpi,0.35,0.21688894929555683
confounder,et,0.40800000000000003,0.07515969393123371
confounder,lgbm,0.595,0.1431076447287075
confounder,pi,0.44799999999999995,0.154179857865509
confounder,ptest_dc,0.4,0.0
confounder,ptest_mc,0.4,0.0
confounder,ptest_pc,0.4,0.0
confounder,ptest_rdc,0.37800000000000006,0.04184519575964802
confounder,r_cforest,0.187,0.16543227978837716
confounder,r_ctree,0.013000000000000001,0.036666666666666674
confounder,rf,0.436,0.08514093957572194
confounder,rfe,0.456,0.10909647481163873
confounder,xgb,0.49839999999999995,0.14942137393275368
friedman,boruta,0.5,0.0
friedman,cat,0.5,0.0
friedman,cif,0.46399999999999997,0.04824181513244219
friedman,cit,0.415,0.038599209705627274
friedman,cpi,0.5,0.0
friedman,et,0.5,0.0
friedman,lgbm,0.5,0.0
friedman,pi,0.5,0.0
friedman,ptest_dc,0.5,0.0
friedman,ptest_pc,0.456,0.050662280511902205
friedman,ptest_rdc,0.5,0.0
friedman,r_cforest,0.155,0.20810593650369713
friedman,r_ctree,0.004,0.01979486637221574
friedman,rf,0.5,0.0
friedman,rfe,0.5,0.0
friedman,xgb,0.42,0.1611450959088854
heteroscedastic,boruta,0.40800000000000003,0.05715476066494084
heteroscedastic,cat,0.35600000000000004,0.1044030650891055
heteroscedastic,cif,0.35700000000000004,0.10941072648834335
heteroscedastic,cit,0.3,0.0
heteroscedastic,cpi,0.28400000000000003,0.12138094304022083
heteroscedastic,et,0.428,0.08426149773176358
heteroscedastic,lgbm,0.342,0.10515294982615968
heteroscedastic,pi,0.268,0.13140268896284682
heteroscedastic,ptest_dc,0.408,0.09539392014169458
heteroscedastic,ptest_pc,0.424,0.09255628917943215
heteroscedastic,ptest_rdc,0.368,0.09000000000000001
heteroscedastic,r_cforest,0.14800000000000002,0.12511005256383376
heteroscedastic,r_ctree,0.12200000000000001,0.07365113574085852
heteroscedastic,rf,0.4,0.07071067811865477
heteroscedastic,rfe,0.38,0.07071067811865475
heteroscedastic,xgb,0.27440000000000003,0.12041862464457197
nonlinear,boruta,0.5,0.0
nonlinear,cat,0.5,0.0
nonlinear,cif,0.457,0.05366374921488414
nonlinear,cit,0.337,0.0525222415609412
nonlinear,cpi,0.44799999999999995,0.06531972647421808
nonlinear,et,0.5,0.0
nonlinear,lgbm,0.5,0.0
nonlinear,pi,0.452,0.06531972647421809
nonlinear,ptest_mc,0.43200000000000005,0.04760952285695232
nonlinear,ptest_rdc,0.48,0.04082482904638629
nonlinear,r_cforest,0.125,0.17371461561068396
nonlinear,r_ctree,0.002,0.014142135623730952
nonlinear,rf,0.5,0.0
nonlinear,rfe,0.5,0.0
nonlinear,xgb,0.4672,0.06571689035110649
redundant,boruta,0.36200000000000004,0.07253429871306344
redundant,cat,0.5,0.0
redundant,cif,0.4965,0.030699549044860393
redundant,cit,0.35100000000000003,0.11561067920278233
redundant,cpi,0.324,0.10796824930109247
redundant,et,0.47200000000000003,0.04535573676110726
redundant,lgbm,0.43700000000000006,0.12115187896924162
redundant,pi,0.44,0.08081220356417688
redundant,ptest_dc,0.46799999999999997,0.04760952285695233
redundant,ptest_mc,0.47200000000000003,0.045825756949558386
redundant,ptest_pc,0.46799999999999997,0.04760952285695232
redundant,ptest_rdc,0.46,0.04948716593053936
redundant,r_cforest,0.4025,0.14850595981475792
redundant,r_ctree,0.109,0.0739847104051734
redundant,rf,0.49200000000000005,0.027404751561786973
redundant,rfe,0.496,0.03475864303027553
redundant,xgb,0.36719999999999997,0.15197547889294172
standard,boruta,0.624,0.31849393061467257
standard,cat,0.594,0.29875837336644756
standard,cif,0.53025,0.32197687847994494
standard,cit,0.34149999999999997,0.25176619220786395
standard,cpi,0.43,0.31253282655869563
standard,et,0.623,0.3302447821868139
standard,lgbm,0.5955,0.27331898275029914
standard,pi,0.48300000000000004,0.31656457684512235
standard,ptest_dc,0.652,0.16442850937072181
standard,ptest_mc,0.49400000000000005,0.3099769576689763
standard,ptest_pc,0.654,0.16188935500923504
standard,ptest_rdc,0.57,0.3006726465843549
standard,r_cforest,0.14550000000000002,0.2739843399655643
standard,r_ctree,0.009500000000000001,0.035582023579471295
standard,rf,0.6030000000000001,0.3439094900896708
standard,rfe,0.546,0.3758948918207984
standard,xgb,0.4534,0.28093823624627945
toeplitz,boruta,0.8460000000000001,0.09521190115972365
toeplitz,cat,0.7,0.08571428571428574
toeplitz,cif,0.951,0.05110831929840322
toeplitz,cit,0.2155,0.03764085773271209
toeplitz,cpi,0.254,0.1971325049041784
toeplitz,et,0.9640000000000001,0.0484873221385061
toeplitz,lgbm,0.5489999999999999,0.12987562037455974
toeplitz,pi,0.466,0.1685593215991307
toeplitz,ptest_dc,1.0,0.0
toeplitz,ptest_mc,1.0,0.0
toeplitz,ptest_pc,1.0,0.0
toeplitz,ptest_rdc,1.0,0.0
toeplitz,r_cforest,0.312,0.3201067661086575
toeplitz,r_ctree,0.159,0.05522223238420329
toeplitz,rf,0.9159999999999999,0.07384484561897192
toeplitz,rfe,0.742,0.1553008929367078
toeplitz,xgb,0.4776,0.1695086212874231
weak_signal,boruta,0.672,0.18630674727886978
weak_signal,cat,0.8460000000000001,0.08134080483135298
